,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
5,DeleteEvent,2023-03-23 13:00:05+00:00,38982731,home-assistant/frontend,6835241,steverep,13844975,home-assistant,branch,renovate/mdi-js-7.x,user
75,DeleteEvent,2022-11-02 19:07:01+00:00,13565268,django-hijack/django-hijack,49699333,dependabot[bot],61549581,django-hijack,branch,dependabot/npm_and_yarn/stylelint-14.14.0,user
87,DeleteEvent,2022-09-03 18:47:17+00:00,15666556,escherba/python-cityhash,474486,escherba,,,branch,es/drop-cp311,user
92,DeleteEvent,2022-10-21 12:17:20+00:00,53360534,vmware/alb-sdk,49699333,dependabot[bot],473334,vmware,branch,dependabot/maven/java/com.fasterxml.jackson.core-jackson-databind-2.13.4.1,user
245,DeleteEvent,2022-08-30 09:47:22+00:00,13258039,aio-libs/aiohttp,578543,webknjaz,7049303,aio-libs,branch,patchback/backports/3.8/64516524f7ba36d7efdd7853fe6414d8466accea/pr-6875,user
268,DeleteEvent,2021-11-12 19:57:21+00:00,19141754,opendatateam/udata,57526019,quaxsze,19330690,opendatateam,branch,mongoListEndpoints,user
296,DeleteEvent,2022-11-10 23:53:33+00:00,43091756,hackingmaterials/matminer,1404564,tschaume,14116185,hackingmaterials,tag,v0.8.0,user
342,DeleteEvent,2021-08-02 18:35:20+00:00,3409513,twisted/klein,50002,wsanchez,716546,twisted,branch,requires-io-master,user
351,DeleteEvent,2021-07-19 18:44:26+00:00,226992487,googleapis/python-bigtable,60162190,gcf-merge-on-green[bot],16785467,googleapis,branch,requirements-txt-not-executable,user
465,DeleteEvent,2022-08-19 16:40:42+00:00,49453831,django-functest/django-functest,62745,spookylukey,16612481,django-functest,branch,pytest,user
472,DeleteEvent,2023-03-17 23:24:43+00:00,90194616,pydantic/pydantic,1755071,adriangb,110818415,pydantic,branch,fix-private-attrs,user
475,DeleteEvent,2023-06-21 00:57:52+00:00,8819472,mar10/pyftpsync,49699333,dependabot[bot],,,branch,dependabot/pip/cryptography-39.0.1,user
525,DeleteEvent,2021-04-28 11:54:10+00:00,23594485,disposable-email-domains/disposable-email-domains,1814954,martenson,78930081,disposable-email-domains,branch,gha,user
608,DeleteEvent,2021-04-15 08:51:38+00:00,23351485,OnroerendErfgoed/language-tags,1926276,goessebr,1157802,OnroerendErfgoed,branch,feature/74_update_python_version,user
639,DeleteEvent,2022-11-08 02:43:10+00:00,26947860,facelessuser/pymdown-extensions,49699333,dependabot[bot],,,branch,dependabot/npm_and_yarn/stylelint-14.14.1,user
687,DeleteEvent,2022-08-02 14:23:19+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
688,DeleteEvent,2022-08-02 07:26:02+00:00,38982731,home-assistant/frontend,41286756,delete-merged-branch[bot],13844975,home-assistant,branch,dependabot/github_actions/actions/stale-5.1.1,user
694,DeleteEvent,2023-01-23 09:19:12+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,vers-adv-man,user
708,DeleteEvent,2023-05-17 13:13:34+00:00,59046255,plus3it/watchmaker,37929162,mergify[bot],15047853,plus3it,branch,dependabot/docker/ci/centos7/python-38-centos7-9a1c4c5,user
745,DeleteEvent,2022-08-06 08:45:25+00:00,898046,romgar/django-dirtyfields,18750802,LincolnPuzey,,,branch,django41,user
780,DeleteEvent,2023-01-20 16:11:47+00:00,94730967,bachya/regenmaschine,49699333,dependabot[bot],,,branch,dependabot/pip/isort-5.11.4,user
958,DeleteEvent,2022-08-23 10:00:12+00:00,25413181,marshmallow-code/apispec,1767010,lafrech,10334301,marshmallow-code,branch,dependabot/pip/flake8-bugbear-22.8.22,user
1041,DeleteEvent,2022-08-02 14:13:18+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
1053,DeleteEvent,2022-10-18 16:42:19+00:00,72477752,pulumi/pulumi,26634292,bors[bot],21992475,pulumi,branch,staging.tmp,user
1072,DeleteEvent,2022-09-21 21:21:53+00:00,49976939,learningequality/kolibri,49699333,dependabot[bot],3926525,learningequality,branch,dependabot/npm_and_yarn/fuse.js-6.6.2,user
1087,DeleteEvent,2023-05-15 14:30:37+00:00,66363927,zhmcclient/python-zhmcclient,8939758,andy-maier,21196715,zhmcclient,branch,andy/add-group,user
1119,DeleteEvent,2023-03-23 04:58:33+00:00,7036008,luqasz/librouteros,41898282,github-actions[bot],,,branch,dependabot/pip/pylint-2.17.1,user
1148,DeleteEvent,2021-11-05 00:01:05+00:00,71932349,ray-project/ray,8068268,amogkam,22125274,ray-project,branch,test_wheels/train-release,user
1193,DeleteEvent,2023-01-13 08:59:10+00:00,61572326,DataDog/dd-trace-py,62392438,mabdinur,365230,DataDog,branch,juanjux/factorize-test-django-appsec,user
1196,DeleteEvent,2022-11-08 12:03:58+00:00,18470884,aio-libs/aiodocker,49699333,dependabot[bot],7049303,aio-libs,branch,dependabot/pip/mypy-0.982,user
1211,DeleteEvent,2021-08-16 17:00:00+00:00,17010581,plaid/plaid-python,3845873,stephenjayakar,3579888,plaid,branch,generated_08_12_21_23_02_09,user
1213,DeleteEvent,2022-08-16 19:05:05+00:00,102759628,randovania/randovania,884928,henriquegemignani,45249075,randovania,branch,bugfix/logical-hints,user
1285,DeleteEvent,2022-11-11 13:34:43+00:00,25027539,Clinical-Genomics/scout,28093618,northwestwitch,6412433,Clinical-Genomics,branch,update_report_load_instructions,user
1438,DeleteEvent,2022-11-08 15:54:16+00:00,81450738,jupyterlab/pytest-check-links,2096628,blink1073,22800682,jupyterlab,branch,dependabot/github_actions/actions/checkout-3,user
1475,DeleteEvent,2022-02-22 09:56:06+00:00,38982731,home-assistant/frontend,5662298,bramkragten,13844975,home-assistant,branch,thermostat-card-editor-ha-form,user
1535,DeleteEvent,2023-05-26 14:23:08+00:00,7460583,sciunto-org/python-bibtexparser,4815944,MiWeiss,8595754,sciunto-org,branch,test_case_272,user
1550,DeleteEvent,2023-05-17 19:15:44+00:00,143328315,mindsdb/mindsdb,7192539,ZoranPandovski,31035808,mindsdb,branch,docs-nav-updates,user
1584,DeleteEvent,2022-08-12 23:00:48+00:00,226992648,googleapis/python-tasks,78513119,gcf-owl-bot[bot],16785467,googleapis,branch,owl-bot-copy,user
1624,DeleteEvent,2023-05-09 05:37:50+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,slowest_ruptures,user
1675,DeleteEvent,2022-02-25 23:16:39+00:00,17420614,seleniumbase/SeleniumBase,6788579,mdmintz,17287301,seleniumbase,branch,refresh-python-dependencies,user
1742,DeleteEvent,2021-07-27 21:22:42+00:00,226992475,googleapis/python-bigquery,247555,tswast,16785467,googleapis,branch,move-samples,user
1747,DeleteEvent,2022-08-01 19:27:06+00:00,73318173,smartystreets/smartystreets-python-sdk,82837771,SmartyCaroine,969237,smartystreets,tag,4.11.3,user
1787,DeleteEvent,2022-02-16 18:04:33+00:00,61572326,DataDog/dd-trace-py,155673,majorgreys,365230,DataDog,branch,dbapi-method-prefix-name,user
1797,DeleteEvent,2022-11-15 13:58:50+00:00,71356982,Cornices/cornice.ext.swagger,546692,leplatrem,22174083,Cornices,branch,upgrade-python-versions,user
1843,DeleteEvent,2023-03-01 13:42:46+00:00,38982731,home-assistant/frontend,5662298,bramkragten,13844975,home-assistant,branch,more-info-position,user
1879,DeleteEvent,2021-04-26 18:34:20+00:00,138967965,Azure/iotedgehubdev,49699333,dependabot[bot],6844498,Azure,branch,dependabot/pip/pyyaml-5.4,user
1906,DeleteEvent,2021-11-04 15:06:17+00:00,226992567,googleapis/python-monitoring,60162190,gcf-merge-on-green[bot],16785467,googleapis,branch,release-v2.6.0,user
