,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
40,DeleteEvent,2023-03-06 07:53:20+00:00,37137879,QCoDeS/Qcodes,2678795,alexcjohnson,20478252,QCoDeS,branch,gh-readonly-queue/master/pr-5050-bf9241181034a85ab12592c09b29c61ed83de3c8,deploy_key
94,DeleteEvent,2023-06-06 16:42:20+00:00,14993021,ipython/traitlets,2096628,blink1073,230453,ipython,branch,pre-commit-ci-update-config,user
106,DeleteEvent,2022-08-18 20:32:04+00:00,71948498,localstack/localstack,3996682,thrau,28732122,localstack,branch,set-profile-to-config,user
108,DeleteEvent,2021-04-05 20:58:15+00:00,37137879,QCoDeS/Qcodes,49699333,dependabot[bot],20478252,QCoDeS,branch,dependabot/github_actions/pre-commit/action-v2.0.2,user
155,DeleteEvent,2022-09-06 18:37:34+00:00,62947699,ccnmtl/django-lti-provider,36773036,ndittren,52456,ccnmtl,branch,prep-release-0.4.3,user
199,DeleteEvent,2022-09-06 13:24:24+00:00,94917848,jupyterlab/jupyterlab-git,8435071,fcollonval,22800682,jupyterlab,branch,fcollonval-patch-1,user
283,DeleteEvent,2022-11-10 07:51:51+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
316,DeleteEvent,2022-02-03 12:49:54+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
363,DeleteEvent,2021-07-19 17:46:41+00:00,3409513,twisted/klein,50002,wsanchez,716546,twisted,branch,requires-io-master,user
413,DeleteEvent,2022-11-08 02:43:16+00:00,26947860,facelessuser/pymdown-extensions,49699333,dependabot[bot],,,branch,dependabot/npm_and_yarn/sass-1.56.0,user
474,DeleteEvent,2022-10-10 15:27:20+00:00,47115470,python-distro/distro,5331869,HorlogeSkynet,86745383,python-distro,branch,release-1.8.0,user
496,DeleteEvent,2021-04-26 08:02:53+00:00,84304681,home-assistant-libs/pydroid-ipcam,49699333,dependabot[bot],63743711,home-assistant-libs,branch,dependabot/pip/black-21.4b0,user
498,DeleteEvent,2022-10-16 12:25:29+00:00,106854381,samuelcolvin/watchfiles,4039449,samuelcolvin,,,branch,force-polling-wsl2,user
528,DeleteEvent,2022-08-20 21:51:46+00:00,66363927,zhmcclient/python-zhmcclient,8939758,andy-maier,21196715,zhmcclient,branch,start_1.4.1,user
