,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
180,ReleaseEvent,2021-04-08 12:00:08+00:00,367233,jazzband/django-model-utils,3122442,hramezani,15129049,jazzband,published,4.1.1,4.1.1,"- Applied `isort` to codebase (Refs GH-#402)
- Fix `TypeError` in save when model inherits from both TimeStampModel
  and StatusModel. (Fixes GH-465)
"
545,ReleaseEvent,2022-08-20 00:09:13+00:00,49976939,learningequality/kolibri,1680573,rtibbles,3926525,learningequality,published,v0.16.0-alpha5,v0.16.0-alpha5,Updates Greek translations.
577,ReleaseEvent,2023-03-22 11:44:34+00:00,34138622,jupyter-widgets/ipywidgets,21197331,martinRenou,25869250,jupyter-widgets,published,8.0.1,Release 8.0.1,**Full Changelog**: https://github.com/jupyter-widgets/ipywidgets/compare/8.0.0...8.0.1
951,ReleaseEvent,2023-05-13 00:51:02+00:00,69317217,scaleapi/scaleapi-python-client,15111405,fatihkurtoglu,21693938,scaleapi,published,v.2.14.0,v.2.14.0,"## New Features
- Added proxy support while initializing the SDK Client. `requests` package's `proxies`, `cert` and `verify` parameters can be passed to client to be used during API calls."
1182,ReleaseEvent,2023-03-15 14:34:25+00:00,35301403,okta/okta-sdk-python,1906920,bretterer,362460,okta,published,v2.9.2,Version 2.9.2,"## What's Changed
* Add missing dependency in setup.py by @justinabrokwah-okta in https://github.com/okta/okta-sdk-python/pull/351
* Update __init__.py by @bretterer in https://github.com/okta/okta-sdk-python/pull/352


**Full Changelog**: https://github.com/okta/okta-sdk-python/compare/v2.9.1...v2.9.2"
1193,ReleaseEvent,2022-09-30 01:00:13+00:00,54980593,pypa/setuptools,41898282,github-actions[bot],647025,pypa,published,v65.4.1,v65.4.1,
1389,ReleaseEvent,2022-08-27 22:59:05+00:00,24499768,noripyt/django-cachalot,60190294,Andrew-Chen-Wang,11004809,noripyt,published,v2.5.2,v2.5.2,"## What's Changed
* Add Django 4.1 support by @dmkoch in https://github.com/noripyt/django-cachalot/pull/219

## New Contributors
* @dmkoch made their first contribution in https://github.com/noripyt/django-cachalot/pull/219

**Full Changelog**: https://github.com/noripyt/django-cachalot/compare/v2.5.1...v2.5.2"
1435,ReleaseEvent,2022-09-27 16:21:33+00:00,2786727,JessicaTegner/pypandoc,41898282,github-actions[bot],,,published,latest,Latest Development Version,
1495,ReleaseEvent,2021-04-29 05:25:50+00:00,31927550,BingAds/BingAds-Python-SDK,29188289,qitia,8107929,BingAds,published,v13.0.9,Version 13.0.9,"* Update Bing Ads API Version 13 service proxies to reflect recent interface changes. For details please see the Bing Ads API Release Notes: https://docs.microsoft.com/en-us/bingads/guides/release-notes. 
* Add bulk mappings for video ad extensions i.e., BulkVideoAdExtension, BulkAccountVideoAdExtension, BulkAdGroupVideoAdExtension, and BulkCampaignVideoAdExtension. 
* Add CashbackAdjustment mapping in the BulkAdGroupBiddableCriterion and BulkCampaignBiddableCriterion. 
* Cache SDK snapshot of the singleWsdl proxies for all Bing Ads API Version 13 services."
1596,ReleaseEvent,2022-08-15 14:24:01+00:00,226992659,googleapis/python-translate,55107282,release-please[bot],16785467,googleapis,published,v3.8.1,v3.8.1,"## [3.8.1](https://github.com/googleapis/python-translate/compare/v3.8.0...v3.8.1) (2022-08-11)


### Bug Fixes

* **deps:** allow protobuf < 5.0.0 ([#425](https://github.com/googleapis/python-translate/issues/425)) ([ba884c6](https://github.com/googleapis/python-translate/commit/ba884c67316cbc321b6936b7e124d6fe7b2b9c1f))
* **deps:** require proto-plus >= 1.22.0 ([ba884c6](https://github.com/googleapis/python-translate/commit/ba884c67316cbc321b6936b7e124d6fe7b2b9c1f))"
1605,ReleaseEvent,2021-11-10 12:05:39+00:00,43645564,ganga-devs/ganga,19779552,mesmith75,13271048,ganga-devs,published,8.5.5,8.5.5,"**************************************************************************************************************
8.5.5 (2021/11/10)


--------------------------------------------------------------------------------------------------------------
ganga/ganga/GangaCore
--------------------------------------------------------------------------------------------------------------
* Removal of use of popen2 #1983 
* Removal of Root application #1988 

--------------------------------------------------------------------------------------------------------------
ganga/ganga/GangaDirac
--------------------------------------------------------------------------------------------------------------
* Added `getSize()` function to DiracFile #1978  

--------------------------------------------------------------------------------------------------------------
ganga/ganga/GangaLHCb
--------------------------------------------------------------------------------------------------------------
* Added nMakeCores to initial GaudiExec build #1990 
* Some fixes for python 3.8 #1991 #1992 
* Bugifx for GaudiExec Dirac wrapper script and UTF-8 #1994

--------------------------------------------------------------------------------------------------------------
ganga/ganga/GangaND280
--------------------------------------------------------------------------------------------------------------
* Updates to bring into line with production code #1981  

**************************************************************************************************************"
1653,ReleaseEvent,2022-09-14 18:33:26+00:00,26481039,zerwes/hiyapyco,9654986,zerwes,,,published,release-0.5.1,hiyapyco release 0.5.1,release including pr #52 by ryanfaircloth and closing issue #53 
1744,ReleaseEvent,2023-05-27 06:45:43+00:00,26985599,swift-nav/libsbp,183436,silverjam,1069835,swift-nav,published,v4.14.1,v4.14.1,"[Protocol Documentation](https://github.com/swift-nav/libsbp/blob/v4.14.1/docs/sbp.pdf)
[Full Changelog](https://github.com/swift-nav/libsbp/compare/v4.14.0...v4.14.1)

**Closed issues:**

- Cannot access `GPSTime` inside `BaseTime` [\#1331](https://github.com/swift-nav/libsbp/issues/1331)

**Merged pull requests:**

- pass all features to docs.rs build [\#1333](https://github.com/swift-nav/libsbp/pull/1333) ([pcrumley](https://github.com/pcrumley))
- Make the BaseTime inner public [\#1332](https://github.com/swift-nav/libsbp/pull/1332) ([pcrumley](https://github.com/pcrumley))
- Auto submodule update: cmake - Fix TEST\_SRCS property - use CMAKE\_SOURCE\_DIR \(\#154\) [\#1330](https://github.com/swift-nav/libsbp/pull/1330) ([swiftnav-svc-jenkins](https://github.com/swiftnav-svc-jenkins))
- Make MSG\_INS\_UPDATES public \[DEVINFRA-1066\] [\#1329](https://github.com/swift-nav/libsbp/pull/1329) ([ljbade](https://github.com/ljbade))
- Miscellaneous SBP doc updates \[DEVINFRA-1065\] [\#1328](https://github.com/swift-nav/libsbp/pull/1328) ([ljbade](https://github.com/ljbade))
- docker: pin key python tools \(tox, sphinx\) [\#1327](https://github.com/swift-nav/libsbp/pull/1327) ([silverjam](https://github.com/silverjam))
- Add description of difference between \_GNSS messages and fused messages \[DEVINFRA-566\] [\#1326](https://github.com/swift-nav/libsbp/pull/1326) ([ljbade](https://github.com/ljbade))
- pin rust test deps [\#1325](https://github.com/swift-nav/libsbp/pull/1325) ([silverjam](https://github.com/silverjam))
- Auto submodule update: cmake - add FindBoringSSL.cmake \(\#152\) [\#1324](https://github.com/swift-nav/libsbp/pull/1324) ([swiftnav-svc-jenkins](https://github.com/swiftnav-svc-jenkins))
- prep next release \#no\_auto\_pr [\#1323](https://github.com/swift-nav/libsbp/pull/1323) ([adrian-kong](https://github.com/adrian-kong))"
1816,ReleaseEvent,2022-02-05 13:27:53+00:00,121019060,feluxe/sty,6545589,feluxe,,,published,v1.0.1,v1.0.1,This is not really a software release. The only thing which changed is the README.rst within the pypi package in order to render correctly on https://pypi.org/project/sty/
1928,ReleaseEvent,2021-07-06 20:41:53+00:00,4127088,Azure/azure-sdk-for-python,53356347,azure-sdk,6844498,Azure,published,azure-monitor-query_1.0.0b2,azure-monitor-query_1.0.0b2,"## 1.0.0b2 (2021-07-06)

### Breaking Changes

- `workspaces`, `workspace_ids`, `qualified_names` and `azure_resource_ids` are now merged into a single `additional_workspaces` list in the query API.
- The `LogQueryRequest` object now takes in a `workspace_id` and `additional_workspaces` instead of `workspace`.
- `aggregation` param is now a list instead of a string in the `query` method.
- `duration` must now be provided as a timedelta instead of a string.

"
2102,ReleaseEvent,2022-02-17 17:43:10+00:00,459368113,py-mine/mcstatus,99699801,py-mine-bot,76232844,py-mine,published,release-5.1.2,release-5.1.2,"* Lots of documentation related changes
* CLI bugfix #114 "
