,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
38,ReleaseEvent,2023-03-07 17:55:44+00:00,161867312,taskcluster/taskcluster,59450477,taskcluster-bot,6257436,taskcluster,published,v48.0.0,v48.0.0,"### DEPLOYERS

▶ [patch] [#6067](https://github.com/taskcluster/taskcluster/issues/6067)
Worker-manager now considers `stoppingCapacity` when estimating the required number of workers to start, preventing failed to start workers from growing beyond `maxCapacity` and slowing down the scanner loop.

### USERS

▶ [MAJOR] [#6059](https://github.com/taskcluster/taskcluster/issues/6059)
It is now possible to seal a task group which is an operation to prevent additional tasks from being added.

New APIs:

* HTTP API `queue.sealTaskGroup` to seal task group and prevent addition of new tasks to it. This operation is irreversible.
* HTTP API `queue.getTaskGroup` to return task group information without tasks (use `queue.listTaskGroup` to return information with tasks)
* Pulse exchange `exchange/taskcluster-queue/v1/task-group-sealed` reports when a task group is sealed.

Updated APIs:

* HTTP API `queue.createTask` returns HTTP `409` error if task group was sealed.
* HTTP API `queue.listTaskGroup` returns extra fields `schedulerId`, `expires`, `sealed`.
* Pulse exchange `exchange/taskcluster-queue/v1/task-group-resolved` publishes extra fields `schedulerId`, `expires`, `sealed`.

UI updates:

* Task group view displays expiration and sealing time.
* Task group view actions includes seal task group action.

### OTHER

▶ Additional change not described here: [#6052](https://github.com/taskcluster/taskcluster/issues/6052).
"
123,ReleaseEvent,2023-05-17 03:47:07+00:00,32944298,Z3Prover/z3,447027,jfleisher,11668813,Z3Prover,published,Nightly,Nightly,"nightly build

## Changes:

* 06ea765b8229ea784fe6f805379c9e508eb9fed6 fix #6721
* c9d8e646ed505a9cd4c84b2cb31d846b8588109f fix missing <cstdint> include (#6720)
* 520e692a43c41e8981eb091494bef0297ecbe3c6 Fix building with gcc 13 (#6723) [ #6722 ]
* f928b4460665410c83fbe2db2f202cba868fec56 update version number

This list of changes was [auto generated](https://dev.azure.com/z3build/Z3Build/_build/results?buildId=4838&view=logs)."
139,ReleaseEvent,2021-07-14 00:43:44+00:00,72477752,pulumi/pulumi,30351955,pulumi-bot,21992475,pulumi,published,v3.7.0,v3.7.0,"
### Improvements

- [sdk/nodejs] - Support for calling resource methods
  [#7377](https://github.com/pulumi/pulumi/pull/7377)

- [sdk/go] - Support for calling resource methods
  [#7437](https://github.com/pulumi/pulumi/pull/7437)

### Bug Fixes

- [codegen/go] - Reimplement strict go enums to be Inputs.
  [#7383](https://github.com/pulumi/pulumi/pull/7383)

- [codegen/go] - Emit To[ElementType]Output methods for go enum output types
  [#7499](https://github.com/pulumi/pulumi/pull/7499)

"
171,ReleaseEvent,2022-11-11 18:55:37+00:00,47271181,pmxbot/pmxbot,308610,jaraco,60832277,pmxbot,published,v1122.14.0,,
662,ReleaseEvent,2021-11-17 14:52:34+00:00,40975824,common-workflow-language/schema_salad,1316612,tetron,9947495,common-workflow-language,published,8.2.20211116214159,8.2.20211116214159,"## What's Changed
* release-test: newer pip by @mr-c in https://github.com/common-workflow-language/schema_salad/pull/474
* Bump cachecontrol from 0.12.9 to 0.12.10 by @dependabot in https://github.com/common-workflow-language/schema_salad/pull/475
* Fix #473: Add `--codegen-parser-info` by @tom-tan in https://github.com/common-workflow-language/schema_salad/pull/476
* Symbols with inVocab: false should still have avro-safe names by @tetron in https://github.com/common-workflow-language/schema_salad/pull/477

**Full Changelog**: https://github.com/common-workflow-language/schema_salad/compare/8.2.20211104054942...8.2.20211116214159"
765,ReleaseEvent,2022-10-05 11:51:24+00:00,44563779,googlefonts/glyphsLib,41898282,github-actions[bot],6466306,googlefonts,published,v6.1.0,v6.1.0,"- Support for loading .glyphspackage sources (#803).
- Support converting ""meta Table"" custom parameter to UFO 'public.openTypeMeta' (#808).
- Parse GSInstance.type attribute for Glyphs3 sources, and ignore instances marked as 'variable' when building DS axis mappings (#812).
- Write out master names when saving a Glyphs2 source as format 3, previously they were incorrectly reset to 'Regular' (#811).
"
769,ReleaseEvent,2022-08-15 14:30:07+00:00,226992471,googleapis/python-automl,55107282,release-please[bot],16785467,googleapis,published,v2.8.1,v2.8.1,"## [2.8.1](https://github.com/googleapis/python-automl/compare/v2.8.0...v2.8.1) (2022-08-11)


### Bug Fixes

* **deps:** allow protobuf < 5.0.0 ([#417](https://github.com/googleapis/python-automl/issues/417)) ([cbb1fce](https://github.com/googleapis/python-automl/commit/cbb1fce19f82a8e3e0291ef4856bf28b19d9b198))
* **deps:** require proto-plus >= 1.22.0 ([cbb1fce](https://github.com/googleapis/python-automl/commit/cbb1fce19f82a8e3e0291ef4856bf28b19d9b198))"
993,ReleaseEvent,2021-08-13 06:18:31+00:00,69360747,equinor/segyio,8667957,jokva,525862,equinor,published,1.9.7,Version 1.9.7,"# Version 1.9.7

This release only comes with packaging updates and python versions."
1017,ReleaseEvent,2021-08-03 19:50:54+00:00,38581626,pybind/pybind11,4616906,henryiii,17565521,pybind,published,v2.7.1,Version 2.7.1,"Minor missing functionality added:

-   Allow Python builtins to be used as callbacks in CPython. [#1413](https://github.com/pybind/pybind11/pull/1413)

Bug fixes:

-   Fix regression in CMake Python package config: improper use of absolute path. [#3144](https://github.com/pybind/pybind11/pull/3144)
-   Fix Mingw64 and add to the CI testing matrix. [#3132](https://github.com/pybind/pybind11/pull/3132)
-   Specified UTF8-encoding in setup.py calls of open(). [#3137](https://github.com/pybind/pybind11/pull/3137)
-   Add clang-tidy-readability rules to make boolean casts explicit improving code readability. Also enabled other misc and readability clang-tidy checks. [#3148](https://github.com/pybind/pybind11/pull/3148)
-   Move object in `.pop()` for list. [#3116](https://github.com/pybind/pybind11/pull/3116)

Backend and tidying up:

-   Removed and fixed warning suppressions. [#3127](https://github.com/pybind/pybind11/pull/3127) [#3129](https://github.com/pybind/pybind11/pull/3129) [#3135](https://github.com/pybind/pybind11/pull/3135) [#3141](https://github.com/pybind/pybind11/pull/3141) [#3142](https://github.com/pybind/pybind11/pull/3142) [#3150](https://github.com/pybind/pybind11/pull/3150) [#3152](https://github.com/pybind/pybind11/pull/3152) [#3160](https://github.com/pybind/pybind11/pull/3160) [#3161](https://github.com/pybind/pybind11/pull/3161)
"
1120,ReleaseEvent,2023-01-23 13:58:45+00:00,23351485,OnroerendErfgoed/language-tags,676018,koenedaele,1157802,OnroerendErfgoed,published,1.2.0,,"- Update data to version 2022-06-28 (#89)
- Drop support for Python 3.6 and 3.7 and add support for Python 3.10 (#87)
- Drop universal wheels
- Drop tox support"
