,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
6,DeleteEvent,2023-03-23 13:23:53+00:00,71948498,localstack/localstack,5170829,viren-nadkarni,28732122,localstack,branch,ses-sent-email-counter,user
42,DeleteEvent,2023-01-02 23:35:27+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
43,DeleteEvent,2023-01-02 21:45:04+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
102,DeleteEvent,2022-08-27 09:44:50+00:00,7701103,adamchainz/django-cors-headers,857609,adamchainz,,,branch,upgrade_requirements,user
130,DeleteEvent,2021-07-30 17:27:49+00:00,43677177,AMICI-dev/AMICI,18048784,dweindl,68919097,AMICI-dev,branch,optimize_transpose,user
184,DeleteEvent,2022-02-11 04:24:58+00:00,33148320,DataBiosphere/toil,49699333,dependabot[bot],32805087,DataBiosphere,branch,dependabot/pip/cwltool-3.1.20220204090313,user
204,DeleteEvent,2023-06-23 06:27:18+00:00,7490857,zopefoundation/zope.event,386619,icemac,1163184,zopefoundation,branch,config-with-pure-python-template-165a1ea9,user
276,DeleteEvent,2023-05-15 01:54:56+00:00,53143022,oduwsdl/ipwb,2514780,machawk1,4416806,oduwsdl,branch,issue-800,user
375,DeleteEvent,2021-08-30 22:56:11+00:00,85508223,pypa/cibuildwheel,9768336,mayeut,647025,pypa,branch,pre-commit-ci-update-config,user
381,DeleteEvent,2022-08-11 10:58:37+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
421,DeleteEvent,2023-06-17 04:20:12+00:00,406264340,pytest-dev/pytest-localserver,615345,diazona,8897583,pytest-dev,branch,remove-runtests/1/dev,user
423,DeleteEvent,2023-03-20 13:32:50+00:00,61572326,DataDog/dd-trace-py,723615,emmettbutler,365230,DataDog,branch,emmett.butler/agent-sample-rate,user
433,DeleteEvent,2021-07-16 07:24:37+00:00,80502017,openoereb/pyramid_oereb,18527151,vuilleumierc,47214194,openoereb,branch,1179-change-viewservice,user
434,DeleteEvent,2021-07-16 18:07:18+00:00,122529924,onicagroup/runway,23145462,ITProKyle,36744796,onicagroup,branch,feature/kbenv-uninstall,user
439,DeleteEvent,2023-06-29 07:57:10+00:00,61572326,DataDog/dd-trace-py,277378,juanjux,365230,DataDog,branch,juanjux/insecure-cookies,user
490,DeleteEvent,2023-06-21 22:53:35+00:00,54980593,pypa/setuptools,308610,jaraco,647025,pypa,branch,bugfix/3525-error,user
519,DeleteEvent,2023-05-19 15:26:24+00:00,15634794,browniebroke/deezer-python,29139614,renovate[bot],,,branch,renovate/relekang-python-semantic-release-7.x,user
525,DeleteEvent,2022-09-23 00:47:48+00:00,262422450,scikit-hep/uproot5,1852447,jpivarski,23454624,scikit-hep,branch,aryan-map-forth,user
528,DeleteEvent,2021-07-22 11:30:57+00:00,50646767,raiden-network/raiden,1312091,istankovic,19666847,raiden-network,branch,dependabot/pip/requirements/marshmallow-3.13.0,user
659,DeleteEvent,2023-03-13 16:14:59+00:00,131619646,dagster-io/dagster,654855,sryza,40032576,dagster-io,branch,io-manager-custom-partition-mapping-doc,user
677,DeleteEvent,2023-03-14 07:32:30+00:00,25027539,Clinical-Genomics/scout,28093618,northwestwitch,6412433,Clinical-Genomics,branch,hide_panels_better,user
696,DeleteEvent,2021-08-15 09:02:54+00:00,4127088,Azure/azure-sdk-for-python,53356347,azure-sdk,6844498,Azure,branch,sync-eng/common-feature/add-proxy-common-1909,user
750,DeleteEvent,2022-10-05 10:14:41+00:00,53360534,vmware/alb-sdk,15983253,chaitanyaavi,473334,vmware,branch,jenkins_sync_21.1.6_docs,user
799,DeleteEvent,2023-06-06 09:31:14+00:00,72477752,pulumi/pulumi,26634292,bors[bot],21992475,pulumi,branch,staging.tmp,user
848,DeleteEvent,2021-11-19 19:49:58+00:00,7701103,adamchainz/django-cors-headers,857609,adamchainz,,,branch,remove_codecov,user
865,DeleteEvent,2022-02-18 15:31:30+00:00,40328394,angr/angr,5071575,ltfish,12520807,angr,branch,wip/proximity_view,user
882,DeleteEvent,2021-07-06 10:21:06+00:00,130396768,plus3it/gravitybee,37929162,mergify[bot],15047853,plus3it,branch,autorelease/0.1.85,user
888,DeleteEvent,2023-01-03 04:52:36+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
890,DeleteEvent,2023-01-03 07:14:25+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
969,DeleteEvent,2023-01-19 00:14:04+00:00,190461316,enorganic/oapi,6090326,stephenknoth,91716117,enorganic,branch,feature/client-requests-lru-cache,user
995,DeleteEvent,2023-06-15 06:42:57+00:00,458833658,sanguinariojoe/pip-openexr,41898282,github-actions[bot],,,tag,nightly,user
