,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
6,DeleteEvent,2023-06-15 21:29:32+00:00,83081030,mayeut/pybase64,49699333,dependabot[bot],,,branch,dependabot/pip/pytest-7.3.2,user
45,DeleteEvent,2023-01-02 19:04:15+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
67,DeleteEvent,2023-06-04 11:56:06+00:00,1079822,jodal/pykka,43726,jodal,,,branch,upgrade-actions,user
123,DeleteEvent,2023-05-17 08:28:20+00:00,51040886,Azure/azure-cli,4003950,jiasli,6844498,Azure,branch,disable-mariner-test,user
144,DeleteEvent,2021-07-14 15:25:31+00:00,119988087,bbc/rd-apmm-python-lib-mediagrains,637768,jamesba,828722,bbc,branch,jamesba-readeof,user
194,DeleteEvent,2022-10-28 12:45:25+00:00,71482397,Parsl/parsl,280107,benclifford,26490185,Parsl,branch,benc-tidyup-remove-main-resource-test,user
362,DeleteEvent,2022-09-15 06:14:01+00:00,72477752,pulumi/pulumi,26634292,bors[bot],21992475,pulumi,branch,friel/python-graceful-skip,user
494,DeleteEvent,2023-06-13 21:56:12+00:00,61572326,DataDog/dd-trace-py,8451020,shatzi,365230,DataDog,branch,gab/feat/exc-auto-instrument,user
573,DeleteEvent,2022-10-10 17:54:20+00:00,38982731,home-assistant/frontend,5662298,bramkragten,13844975,home-assistant,branch,add-autocomplete-attribute,user
712,DeleteEvent,2023-06-14 17:01:36+00:00,72477752,pulumi/pulumi,26634292,bors[bot],21992475,pulumi,branch,staging.tmp,user
740,DeleteEvent,2023-06-13 09:56:34+00:00,39515694,ungarj/mapchete,3802285,ungarj,,,branch,cp_threads,user
746,DeleteEvent,2022-10-08 04:55:10+00:00,80519091,camptocamp/c2cwsgiutils,29139614,renovate[bot],28109,camptocamp,branch,renovate/all-minor-versions,user
799,DeleteEvent,2022-11-16 16:15:02+00:00,61572326,DataDog/dd-trace-py,6321485,Kyle-Verhoog,365230,DataDog,branch,futures-riot,user
802,DeleteEvent,2023-05-06 06:34:34+00:00,94247908,ariebovenberg/snug,5999858,ariebovenberg,,,branch,dependabot/pip/requests-2.30.0,user
941,DeleteEvent,2022-11-08 22:37:42+00:00,99260344,asottile/all-repos,1810591,asottile,,,branch,main-branch-name,user
964,DeleteEvent,2023-05-07 12:52:13+00:00,40328394,angr/angr,5071575,ltfish,12520807,angr,branch,feat/decompiler_structuring_phoenix,user
1008,DeleteEvent,2022-10-08 07:51:49+00:00,15999779,codingjoe/django-vies,1772890,codingjoe,,,branch,dependabot/pip/black-22.10.0,user
1024,DeleteEvent,2022-10-23 21:39:21+00:00,83989500,rytilahti/python-miio,3705853,rytilahti,,,branch,feat/device_factory,user
1097,DeleteEvent,2021-11-10 23:14:12+00:00,15592459,SFDO-Tooling/CumulusCI,49699333,dependabot[bot],42554011,SFDO-Tooling,branch,dependabot/pip/snowfakery-2.2,user
1152,DeleteEvent,2023-06-30 20:00:57+00:00,131619646,dagster-io/dagster,654855,sryza,40032576,dagster-io,branch,failure-docs,user
1191,DeleteEvent,2022-11-08 11:30:05+00:00,49802969,wong2/pick,321947,wong2,,,branch,dependabot/pip/mypy-0.990,user
1192,DeleteEvent,2022-11-08 19:38:32+00:00,50359589,girder/girder_worker,8781639,manthey,5150517,girder,branch,background-cleanup,user
1251,DeleteEvent,2021-08-16 11:26:51+00:00,40328505,angr/claripy,2498805,rhelmot,12520807,angr,branch,fix-backend_z3_satisfiable,user
1281,DeleteEvent,2023-03-25 21:18:24+00:00,8177778,koalalorenzo/python-digitalocean,33528,koalalorenzo,,,branch,updates-cicd-python-versions,user
1286,DeleteEvent,2021-04-01 22:33:13+00:00,38982731,home-assistant/frontend,1444314,balloob,13844975,home-assistant,branch,utc-version,user
1292,DeleteEvent,2021-08-24 10:00:54+00:00,26947860,facelessuser/pymdown-extensions,49699333,dependabot[bot],,,branch,dependabot/npm_and_yarn/sass-1.38.0,user
1308,DeleteEvent,2021-08-11 14:19:58+00:00,6982635,plone/mockup,157140,jensens,72034,plone,branch,dependabot/npm_and_yarn/handlebars-4.7.7,user
1314,DeleteEvent,2022-08-10 16:55:21+00:00,42750248,watson-developer-cloud/python-sdk,26935099,apaparazzi0329,10017763,watson-developer-cloud,branch,major-release-q3-2022,user
1345,DeleteEvent,2022-02-03 17:06:08+00:00,71932349,ray-project/ray,14904111,krfricke,22125274,ray-project,branch,e2e/fix-aws,user
1368,DeleteEvent,2021-08-09 18:50:43+00:00,81786752,pre-commit/identify,1810591,asottile,6943086,pre-commit,branch,pre-commit-ci-update-config,user
1374,DeleteEvent,2021-07-27 07:30:19+00:00,16899445,marshmallow-code/webargs,1767010,lafrech,10334301,marshmallow-code,branch,dependabot/pip/sphinx-4.1.2,user
1381,DeleteEvent,2021-04-13 15:20:19+00:00,226992475,googleapis/python-bigquery,247555,tswast,16785467,googleapis,branch,riversnake-603,user
1383,DeleteEvent,2021-04-13 16:44:19+00:00,80561803,Sceptre/sceptre,3697686,zaro0508,46939439,Sceptre,branch,fix-colorama,user
1396,DeleteEvent,2021-08-09 12:35:50+00:00,50646767,raiden-network/raiden,1312091,istankovic,19666847,raiden-network,branch,dependabot/pip/requirements/sphinxcontrib-images-0.9.4,user
1518,DeleteEvent,2021-04-29 00:45:10+00:00,31315021,Kinto/kinto,546692,leplatrem,13413813,Kinto,branch,dependabot/pip/pyramid-2.0,user
1545,DeleteEvent,2023-06-12 15:57:31+00:00,92788255,data61/anonlink,49699333,dependabot[bot],17059450,data61,branch,dependabot/pip/hypothesis-6.77.0,user
1600,DeleteEvent,2022-08-11 05:19:16+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
1675,DeleteEvent,2023-05-18 17:00:33+00:00,760380,jamesturk/scrapelib,49699333,dependabot[bot],,,branch,dependabot/pip/certifi-2022.12.7,user
1708,DeleteEvent,2023-05-09 22:51:50+00:00,747007,django-cms/django-sekizai,1461191,marksweb,69975235,django-cms,branch,dependabot/pip/django-4.1.9,user
1711,DeleteEvent,2022-11-11 15:58:37+00:00,19372146,magmax/python-inquirer,49699333,dependabot[bot],,,branch,2cd4dependabot/pip/dot-github/workflows/nox-poetry-1.0.2,user
1716,DeleteEvent,2023-01-31 20:34:52+00:00,34760603,gocardless/gocardless-pro-python,890117,matthieuprat,790629,gocardless,branch,template-changes,user
1722,DeleteEvent,2022-10-17 16:44:05+00:00,70124554,lablup/backend.ai,2904494,kyujin-cho,11258248,lablup,tag,22.09.2,user
1741,DeleteEvent,2023-05-24 02:36:18+00:00,38982731,home-assistant/frontend,6835241,steverep,13844975,home-assistant,branch,renovate/glob-10.x,user
1826,DeleteEvent,2022-08-09 04:49:06+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,dependabot/pip/asttokens-approx-eq-2.0.7,user
1834,DeleteEvent,2021-11-19 16:51:01+00:00,122529924,onicagroup/runway,23145462,ITProKyle,36744796,onicagroup,branch,dependabot/npm_and_yarn/runway/templates/static-angular/sampleapp.web/lodash-4.17.21,user
1838,DeleteEvent,2022-08-02 13:54:09+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
1840,DeleteEvent,2022-08-02 13:14:11+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
1841,DeleteEvent,2022-08-02 01:33:09+00:00,118278310,inplat/aioapp,5132609,konstantin-stepanov,5583502,inplat,branch,pyup-update-flake8-3.6.0-to-5.0.1,user
1849,DeleteEvent,2023-03-31 19:40:17+00:00,61572326,DataDog/dd-trace-py,62392438,mabdinur,365230,DataDog,branch,munir/otel-support-trace-flags-and-tracestate,user
1861,DeleteEvent,2022-11-15 19:23:51+00:00,131619646,dagster-io/dagster,16431325,rexledesma,40032576,dagster-io,branch,rl/fix-api-docs,user
1864,DeleteEvent,2023-03-24 22:55:15+00:00,6930489,facebook/watchman,49699333,dependabot[bot],69631,facebook,branch,dependabot/npm_and_yarn/website/json5-2.2.3,user
1906,DeleteEvent,2022-02-16 13:53:55+00:00,80502017,openoereb/pyramid_oereb,9261252,jwkaltz,47214194,openoereb,branch,fix_README,user
1947,DeleteEvent,2021-08-05 14:15:17+00:00,8463294,mozilla/treeherder,19615783,sarah-clements,131524,mozilla,branch,renovate/testing-library-react-12.x,user
1985,DeleteEvent,2021-08-06 18:54:20+00:00,69199387,googleapis/google-auth-library-python,60162190,gcf-merge-on-green[bot],16785467,googleapis,branch,update-user-secrets,user
2059,DeleteEvent,2021-04-30 06:50:37+00:00,104584858,Danielhiversen/pyTibber,650502,Danielhiversen,,,branch,style,user
2138,DeleteEvent,2022-08-02 12:06:43+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
2139,DeleteEvent,2022-08-02 14:07:22+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
2142,DeleteEvent,2022-11-02 12:04:42+00:00,123836190,pyjanitor-devs/pyjanitor,25895405,Zeroto521,53411673,pyjanitor-devs,branch,pre-commit-ci-update-config,user
2233,DeleteEvent,2022-08-02 12:24:57+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
2246,DeleteEvent,2021-11-05 05:32:56+00:00,97507840,python-trio/trustme,42327,pquentin,26335827,python-trio,branch,dependabot/pip/py-1.11.0,user
2262,DeleteEvent,2023-01-17 19:25:48+00:00,17689377,pre-commit/pre-commit,1810591,asottile,6943086,pre-commit,branch,swift-language-tests,user
2273,DeleteEvent,2022-09-08 07:58:41+00:00,74055884,betcode-org/flumine,12016537,liampauling,98155038,betcode-org,branch,bugfix/612-simulation-replace,user
2359,DeleteEvent,2022-08-18 07:48:29+00:00,72477752,pulumi/pulumi,30351955,pulumi-bot,21992475,pulumi,branch,mckinstry/revert-#10401,user
2373,DeleteEvent,2023-01-24 16:55:26+00:00,56038964,LedgerHQ/blue-loader-python,80683683,cbouvet-ledger,9784193,LedgerHQ,branch,cbo-change-invalid-api-leve,user
2383,DeleteEvent,2022-11-15 21:16:34+00:00,9289343,svinota/pyroute2,814602,svinota,,,branch,dependabot/github_actions/actions/dependency-review-action-3,user
2432,DeleteEvent,2023-06-23 03:40:12+00:00,22117429,rmjarvis/TreeCorr,623887,rmjarvis,,,branch,remove_dep,user
2457,DeleteEvent,2023-06-20 17:38:03+00:00,48881026,jaraco/hgtools,308610,jaraco,,,tag,v10.0.0,user
2477,DeleteEvent,2023-05-01 16:27:30+00:00,71932349,ray-project/ray,14904111,krfricke,22125274,ray-project,branch,revert-34643-strict-default,user
2479,DeleteEvent,2021-11-01 15:04:30+00:00,20163574,aio-libs/aioredis-py,49699333,dependabot[bot],7049303,aio-libs,branch,dependabot/pip/mkdocs-material-7.3.5,user
2501,DeleteEvent,2023-03-08 22:13:20+00:00,131619646,dagster-io/dagster,2286579,salazarm,40032576,dagster-io,branch,updatePartitionHealthShortCircuit,user
2529,DeleteEvent,2022-09-26 06:38:14+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
2565,DeleteEvent,2022-08-02 15:00:09+00:00,37137879,QCoDeS/Qcodes,26634292,bors[bot],20478252,QCoDeS,branch,staging.tmp,user
2570,DeleteEvent,2023-01-18 19:56:41+00:00,459368113,py-mine/mcstatus,20902250,ItsDrike,76232844,py-mine,branch,dependabot/pip/pytest-7.2.1,user
2609,DeleteEvent,2023-06-20 09:49:21+00:00,145459109,theislab/scvelo,291575,flying-sheep,22319415,theislab,branch,fix-rtd-config,user
2627,DeleteEvent,2022-10-24 08:23:22+00:00,38744670,zalando/patroni,3407345,CyberDem0n,1564818,zalando,branch,compat/prettytable-2.2,user
