,package,github repo
1,django-mptt-admin,mbraak/django-mptt-admin
2,newsapi-python,mattlisiv/newsapi-python
6,django-cursor-pagination,photocrowd/django-cursor-pagination
7,pyvirtualdisplay,ponty/pyvirtualdisplay
8,pysmbc,hamano/pysmbc
9,requests-http-signature,pyauth/requests-http-signature
14,requests-oauthlib,requests/requests-oauthlib
15,mlc-tools,mlc-tools/mlc-tools
18,fastai,fastai/fastai
20,z3,presslabs/z3
21,configobj,DiffSK/configobj
23,sqlalchemy-citext,mahmoudimus/sqlalchemy-citext
24,edc-export,clinicedc/edc-export
26,pyulog,PX4/pyulog
27,hslog,HearthSim/python-hslog/
28,gispython,lvmgeo/GISPython
29,django-rest-framework-mongoengine,umutbozkurt/django-rest-framework-mongoengine
30,aiohttp-wsgi,etianen/aiohttp-wsgi
31,django-audit-log,Atomidata/django-audit-log
32,flask-profiler,muatik/flask-profiler
33,pytest-docker-tools,Jc2k/pytest-docker-tools
35,mimerender,martinblech/mimerender
36,mlens,flennerhag/mlens
37,django-wkhtmltopdf,incuna/django-wkhtmltopdf
38,asn1,andrivet/python-asn1
39,bootstrap-admin,douglasmiranda/django-admin-bootstrap
41,django-localflavor-us,django/django-localflavor-us
42,threadloop,breerly/threadloop
43,flask-pagedown,miguelgrinberg/flask-pagedown
44,kongalib,easybyte-software/kongalib
47,treelite,dmlc/treelite
48,custodian,materialsproject/custodian
50,salesforce-bulk,heroku/salesforce-bulk
51,docx2txt,ankushshah89/python-docx2txt
52,stix2-validator,oasis-open/cti-stix-validator
53,tempocli,awiddersheim/tempocli
55,fh-fablib,feinheit/fh-fablib/
58,varlink,varlink/python
59,typedargs,iotile/typedargs
60,pixivpy,upbit/pixivpy
61,django-phonenumber-field,stefanfoulis/django-phonenumber-field
62,pytest-mockito,kaste/pytest-mockito
64,toil-vg,BD2KGenomics/toil-vg
65,concurrencytest,cgoldberg/concurrencytest
69,pykitti,utiasSTARS/pykitti
70,jaraco-develop,jaraco/jaraco.develop
72,extensionclass,zopefoundation/ExtensionClass
76,case-conversion,AlejandroFrias/case-conversion
78,prompt-toolkit,prompt-toolkit/python-prompt-toolkit
80,reqman,manatlan/reqman
83,invenio-access,inveniosoftware/invenio-access
84,pycld2,aboSamoor/pycld2
88,ptyng,JarryShaw/ptyng
91,gameanalysis,egtaonline/gameanalysis.git
92,django-inline-actions,escaped/django-inline-actions
93,ophyd,bluesky/ophyd
94,zope-ramcache,zopefoundation/zope.ramcache
96,cacheman,MSeal/py_cache_manager
97,pantable,ickc/pantable
99,pyttsx,parente/pyttsx
100,soynlp,lovit/soynlp
101,config-resolver,exhuma/config_resolver
102,pytzdata,sdispater/pytzdata
103,orderedattrdict,sanand0/orderedattrdict
104,statsd,jsocol/pystatsd
105,esdrt-content,eea/esdrt.content/
106,azure-mgmt-authorization,Azure/azure-sdk-for-python
107,pygeoip,appliedsec/pygeoip
108,django-tables2,jieter/django-tables2/
116,astmonkey,mutpy/astmonkey
117,flask-logconfig,dgilland/flask-logconfig
119,categorical-distance,datamade/categorical-distance
120,static-frame,static-frame/static-frame
121,kolibri-exercise-perseus-plugin,learningequality/kolibri-exercise-perseus-plugin
122,barkingowl,thequbit/BarkingOwl
123,identify,pre-commit/identify
124,drep,MrOlm/drep
127,pantsbuild-pants-contrib-codeanalysis,pantsbuild/pants
128,petlx,alimanfoo/petlx
129,azure-cli-core,Azure/azure-cli
131,aws-syncr,delfick/aws_syncr
132,plone-recipe-zope2instance,plone/plone.recipe.zope2instance
134,dotdrop,deadc0de6/dotdrop
135,django-supporttools,uw-it-aca/django-supporttools
136,scopus-wp,the16thpythonist/ScopusWp
139,pytest-logger,aurzenligl/pytest-logger
140,androguard,androguard/androguard
141,levenshtein-search,mattandahalfew/Levenshtein_search
143,metsrw,artefactual-labs/mets-reader-writer/
146,kappy,Kappa-Dev/KappaTools.git
147,mlxtend,rasbt/mlxtend
148,django-excel-response2,django-xxx/django-excel-response2
149,tilecloud,camptocamp/tilecloud
151,clip-py,willyg302/clip.py
152,bitstream,boisgera/bitstream
153,pywb,webrecorder/pywb
154,transaction,zopefoundation/transaction
155,plone-app-vocabularies,plone/plone.app.vocabularies
157,django-rest-assured,ydaniv/django-rest-assured
160,s3io,malexer/s3io
162,coinor-dippy,coin-or/Dip
163,drf-flex-fields,rsinger86/drf-flex-fields
164,hai,valohai/hai
165,pyobjc-framework-notificationcenter,ronaldoussoren/pyobjc
166,guake,Guake/guake
167,aggdraw,pytroll/aggdraw
170,layered-yaml-attrdict-config,mk-fg/layered-yaml-attrdict-config
173,tenant-schemas-celery,maciej-gol/tenant-schemas-celery
174,squid-py,oceanprotocol/squid-py
175,impyla,cloudera/impyla
178,azure-devtools,Azure/azure-python-devtools
180,pyslack,kn/slack
181,metapub,metapub/metapub
183,azure-servicebus,Azure/azure-sdk-for-python
186,argon2,flamewow/argon2_py
187,azure-cli-consumption,Azure/azure-cli
189,dandelion,david-leon/Dandelion
190,gcmapexplorer,rjdkmr/gcMapExplorer
193,urh,jopohl/urh
194,django-debug-toolbar-template-profiler,node13h/django-debug-toolbar-template-profiler
195,bitcoinexchangefh,gavincyi/BitcoinExchangeFH
196,configmaster,SunDwarf/ConfigMaster
198,suds,suds-community/suds
199,disposable-email-domains,disposable-email-domains/disposable-email-domains
201,formats,redodo/formats
202,elastic,jochym/Elastic
204,requests-credssp,jborean93/requests-credssp
206,django-heroku-connect,thermondo/django-heroku-connect
207,errand-boy,greyside/errand-boy
208,parsedatetime,bear/parsedatetime
210,pytest-datafiles,omarkohl/pytest-datafiles
211,pyobjc-framework-mediaplayer,ronaldoussoren/pyobjc
212,purepng,scondo/purepng
214,naz,komuw/naz
215,django-secretballot,bashu/django-secretballot/
216,treecorr,rmjarvis/TreeCorr
217,python-barcode,WhyNotHugo/python-barcode
218,slackclient,slackapi/python-slack-sdk
220,corenlp,kedz/corenlp
221,quantulum3,nielstron/quantulum3
223,more-itertools,more-itertools/more-itertools
224,esmre,wharris/esmre
226,plac,ialbert/plac
227,metrics,finklabs/metrics/
229,pyhive,dropbox/PyHive
231,cr-cube,Crunch-io/crunch-cube/
232,jieba,fxsjy/jieba
234,python-arptable,XayOn/python_arptable
235,cloudformation-validator,rubelw/cloudformation-validator
237,django-override-storage,danifus/django-override-storage
239,napalm,napalm-automation/napalm
241,pyssim,jterrace/pyssim
242,breathe,michaeljones/breathe
243,pyjsparser,PiotrDabkowski/pyjsparser
247,openfisca-country-template,openfisca/country-template
248,nose-ignore-docstring,schlamar/nose-ignore-docstring
252,pyftpsync,mar10/pyftpsync
257,eel,python-eel/Eel
258,gearbox,TurboGears/gearbox
259,pyobjc-framework-imagecapturecore,ronaldoussoren/pyobjc
260,pyobjc-framework-cocoa,ronaldoussoren/pyobjc
261,agile-toolkit,quantmind/agile-toolkit
264,pyfinance,bsolomon1124/pyfinance
265,birdears,iacchus/birdears/
266,maclookup,CodeLineFi/maclookup-python
267,colormath,gtaylor/python-colormath
269,azure-mgmt-relay,Azure/azure-sdk-for-python
274,elit,elitcloud/elit
275,edc-action-item,clinicedc/edc-action-item
276,pyemd,wmayner/pyemd
277,kwargs-only,adamchainz/kwargs-only
279,bddrest,pylover/bddrest
280,pyquil,rigetti/pyquil.git
282,blazeutils,blazelibs/blazeutils/
286,iampoliciesgonewild,monkeysecurity/iampoliciesgonewild
287,crccheck,MartinScharrer/crccheck
288,click-repl,untitaker/click-repl
289,elasticsearch1,elastic/elasticsearch-py
290,tlslite-ng,tlsfuzzer/tlslite-ng
291,stompest,nikipore/stompest
292,telethon,LonamiWebs/Telethon
294,plone-formwidget-autocomplete,plone/plone.formwidget.autocomplete/
296,fasttext,facebookresearch/fastText
299,django-content-editor,matthiask/django-content-editor/
301,epc,tkf/python-epc
302,pypac,carsonyl/pypac
303,smartystreets-py,bennylope/smartystreets.py
305,nodeenv,ekalinin/nodeenv
307,newspaper,codelucas/newspaper/
308,python-gitlab,python-gitlab/python-gitlab
309,google-cloud-tasks,googleapis/python-tasks
310,amici,AMICI-dev/AMICI
312,capy,FrantisekGazo/capy/
313,pywemo,pywemo/pywemo
315,recombee-api-client,Recombee/python-api-client
316,azure-mgmt-recoveryservicesbackup,Azure/azure-sdk-for-python
317,zerorpc,0rpc/zerorpc-python
318,nvgpu,rossumai/nvgpu
319,mediainfo,laodifang/MediaInfo
320,zope-testbrowser,zopefoundation/zope.testbrowser
321,simplesat,enthought/sat-solvers
322,django-etc,idlesign/django-etc
323,warrant-ext,localstack/warrant
324,gherkin-official,cucumber/gherkin-python
326,dataclasses-jsonschema,s-knibbs/dataclasses-jsonschema
328,fastly,fastly/fastly-py
330,edc-visit-tracking,clinicedc/edc-visit-tracking
331,mo-math,klahnakoski/mo-math
333,freezer-web-ui,openstack/freezer-web-ui
335,powerline-status,powerline/powerline
339,plumlightpad,heathbar/plum-lightpad
340,tm1py,cubewise-code/tm1py
341,ilock,symonsoft/ilock
342,python-pushover,Thibauth/python-pushover
343,py-ubjson,Iotic-Labs/py-ubjson
344,djangorestframework-simplejwt,jazzband/djangorestframework-simplejwt
345,arlas-api,gisaia/ARLAS-server
346,ifjcode17-toolkit,thejoeejoee/VUT-FIT-IFJ-2017-toolkit
349,mxnet-cu90,apache/incubator-mxnet
350,sdnotify,bb4242/sdnotify
351,zstd,sergey-dryabzhinsky/python-zstd
352,priority,python-hyper/priority/
355,invenio-admin,inveniosoftware/invenio-admin
358,pyswarm,tisimst/pyswarm
361,pybrowserid,mozilla/PyBrowserID
363,glue-vispy-viewers,glue-viz/glue-3d-viewer
365,nebulapythonsdk,nebula-orchestrator/nebula-python-sdk
366,django-mail-templated,artemrizhov/django-mail-templated
368,chevron,noahmorrison/chevron
369,google-cloud-automl,googleapis/python-automl
370,django-front,mbi/django-front
373,get-mac,GhostofGoes/getmac
374,rauth,litl/rauth
375,angr-management,angr/angr-management
376,pygeoprocessing,natcap/pygeoprocessing
377,pynmea2,Knio/pynmea2
378,fastcache,pbrady/fastcache
380,pyfunceble-dev,funilrys/PyFunceble
381,django-otp,django-otp/django-otp
383,pygments-github-lexers,liluo/pygments-github-lexers
385,gapic-google-cloud-spanner-admin-database-v1,googleapis/googleapis
387,cursor,GijsTimmers/cursor
388,edc-identifier,clinicedc/edc-identifier
389,serverless-wsgi,logandk/serverless-wsgi
390,asammdf,danielhrisca/asammdf
393,azure-cli-cognitiveservices,azure/azure-cli
395,nbval,computationalmodelling/nbval
396,django-auditlog,jazzband/django-auditlog
398,bibtexparser,sciunto-org/python-bibtexparser
399,advancedhttpserver,zeroSteiner/AdvancedHTTPServer
403,django-celery-email,pmclanahan/django-celery-email
404,okonomiyaki,enthought/okonomiyaki
407,posix-ipc,osvenskan/posix_ipc
408,cauldron-notebook,sernst/cauldron
409,uw-restclients,uw-it-aca/uw-restclients
412,pyramid-retry,Pylons/pyramid_retry
413,switch,canni/switch
414,ytmdl,deepjyoti30/ytmdl
415,python-wordpress-xmlrpc,maxcutler/python-wordpress-xmlrpc/
417,squad,Linaro/squad
419,pywatchman,facebook/watchman
420,google-python-cloud-debugger,GoogleCloudPlatform/cloud-debug-python
424,co2mpas,JRCSTU/co2mpas-ta
425,git-pw,getpatchwork/git-pw
426,jsonrpclib,joshmarshall/jsonrpclib
428,pytest-mpl,matplotlib/pytest-mpl
431,django-celery-transactions,fellowshipofone/django-celery-transactions
433,ml-logger,geyang/ml-logger
438,enum34-custom,kissgyorgy/enum34-custom
439,django-request-profiler,yunojuno/django-request-profiler
440,exabgp,Exa-Networks/exabgp
445,python-tado,wmalgadey/PyTado
446,swimlane,swimlane/swimlane-python
448,neunorm,ornlneutronimaging/NeuNorm
450,djangocms-link,django-cms/djangocms-link
455,django-modern-rpc,alorence/django-modern-rpc
456,umongo,touilleMan/umongo
459,hll,ascv/HyperLogLog
461,itk-isotropicwavelets,InsightSoftwareConsortium/ITKIsotropicWavelets
464,essential-generators,shane-mason/essential-document-generator
465,randomwords,tomislater/RandomWords
467,futures-then,dvdotsenko/python-future-then
468,glow-navigator,thoughtcroft/glow_navigator
469,django-uuslug,un33k/django-uuslug
472,imbox,martinrusev/imbox
473,aiologstash,aio-libs/aiologstash
474,snakeoil,pkgcore/snakeoil
475,pyobjc-framework-launchservices,ronaldoussoren/pyobjc
476,azure-mgmt-documentdb,Azure/azure-sdk-for-python
477,eventbrite,eventbrite/eventbrite-sdk-python
479,ribosome,tek/ribosome
480,pyobjc-framework-iosurface,ronaldoussoren/pyobjc
481,pyst2,rdegges/pyst2
482,hdx-data-freshness-emailer,OCHA-DAP/hdx-data-freshness-emailer
483,websocket-server,Pithikos/python-websocket-server
485,graphene-django,graphql-python/graphene-django
486,emport,vmalloc/emport
489,mdf-toolbox,materials-data-facility/toolbox
490,gevent-socketio,abourget/gevent-socketio
491,qtawesome,spyder-ide/qtawesome
492,livejson,controversial/livejson/
493,reverse-geocode,richardpenman/reverse_geocode/
497,odoorpc,OCA/odoorpc
498,fudge,fudge-py/fudge
499,basemountretrieve,bfssi-forest-dussault/BaseMountRetrieve
500,freezegun,spulec/freezegun
502,pyaudioanalysis,tyiannak/pyAudioAnalysis
503,invenio-userprofiles,inveniosoftware/invenio-userprofiles
504,pyobjc-framework-servernotification,ronaldoussoren/pyobjc
505,certbot-apache,certbot/certbot
506,configparser,jaraco/configparser/
509,postgresql-audit,kvesteri/postgresql-audit
510,niapy,NiaOrg/NiaPy
511,python-frontmatter,eyeseast/python-frontmatter
514,area4,area4lib/area4
515,sklearn2pmml,jpmml/sklearn2pmml
516,dockerbuildsystem,hansehe/DockerBuildSystem
517,entrypoints,takluyver/entrypoints
518,tesserocr,sirfz/tesserocr
519,azure-mgmt-managementpartner,Azure/azure-sdk-for-python
520,google-cloud-pubsub,googleapis/python-pubsub
521,pyticketswitch,ingresso-group/pyticketswitch/
524,pytest-console-scripts,kvas-it/pytest-console-scripts
526,pytest-responses,getsentry/pytest-responses
527,pmlb,EpistasisLab/penn-ml-benchmarks
528,python-statsd,WoLpH/python-statsd
529,ndh,nim65s/ndh
530,azure-mgmt-search,Azure/azure-sdk-for-python
532,opentracing-utils,zalando-zmon/opentracing-utils
534,inflector,ixmatus/inflector
537,zope-publisher,zopefoundation/zope.publisher
538,pykmip,OpenKMIP/PyKMIP
539,git-up,msiemens/PyGitUp
541,matrix-client,matrix-org/matrix-python-sdk
543,jadi,ajenti/jadi
544,malss,canard0328/malss/
545,kutana,ekonda/kutana
546,metadata-parser,jvanasco/metadata_parser
548,tensorflow-hub,tensorflow/hub
549,django-money,django-money/django-money
551,scattertext,JasonKessler/scattertext
552,cellpy,jepegit/cellpy
553,flask-seasurf,maxcountryman/flask-seasurf/
