,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
52,PullRequestReviewCommentEvent,2016-07-13 18:04:57+00:00,27924304,cdent/gabbi,34498,cdent,,,created,,ca22b5b40780e4c15e6cc8e7ca2d86060fba9335,False,"The reason for the reordering here is so that when data is passed to replace_template it is a dict or list instead of string. Since replace_template is recursive, each chunk of data will be processed in a small way, so that only chunks which are just a number will become numbers.

However you've just caused me to find a possible bug, or a total flaw in the logic, so there will be at least one more commit.",,161,{}
172,PullRequestReviewCommentEvent,2018-06-20 17:48:46+00:00,20857415,Kuniwak/vint,9766,blueyed,,,created,130518667,7ebf389107e90168f7829e86968ba811da76e243,False,"Better:

> You can see all available options by using `--help`:",CONTRIBUTOR,278,{}
451,PullRequestReviewCommentEvent,2016-12-05 14:51:40+00:00,71381596,mezz64/pyemby,5663312,finish06,,,created,11392146,5dc4f8fc2a3a01bc2458ce3e5b492cbab4e13fbc,False,"Pylint recommends the following:
```
        try:
            response = self.emby_request.get(
                self.server_url + '/Users/{0}/Items/Latest?{1}'.
                format(session['UserId'], query))
```

What would you prefer?",,1,{}
568,PullRequestReviewCommentEvent,2017-04-17 18:19:45+00:00,16331291,davisking/dlib,2297572,reunanen,,,created,33055391,bdb1ae80b7c06a7e812a5681552e0c86bb324881,False,"There's some code duplication here (cf. the previous function). Generating the training data like this could be extracted to a separate function in order to dedupe, however it might also be good to keep the test cases independent in case someone wants to modify one, but not the other.",,540,{}
710,PullRequestReviewCommentEvent,2015-11-03 19:06:55+00:00,19361153,tdryer/hangups,5875257,jamesofarrell,,,created,,978a9dccb977b065c414fb623d1be441e5dfc1fa,False,"yes, yes it should be. Fixed now",,177,{}
717,PullRequestReviewCommentEvent,2017-03-12 02:30:57+00:00,913279,tkrajina/gpxpy,494223,hyperknot,,,created,26435714,7b8902b5053bd130def84aea565966b778b23a8e,False,"I just realised, the next line: `make_str` actually converts to bytes on both Py2 and 3. ",,87,{}
897,PullRequestReviewCommentEvent,2017-08-10 20:48:07+00:00,32190038,ratal/mdfreader,5404948,ratal,,,created,55660394,0fbcb04f04f26507268783cb5d33482ff40d8e09,False,"First, thanks for your pull request !
This section has changed due to introduction of noDataLoading argument.
But the indent is necessary there otherwise the if does not make sense",,76,{}
1028,PullRequestReviewCommentEvent,2015-12-15 21:36:07+00:00,20101515,giampaolo/psutil,2934009,sethp-jive,,,created,,1d2009fd22cf9cc238b3de2ac7574da5a773f8e9,False,"Here I'm testing that the cpu_percent is returning a reasonable default when it was unable to load /proc/stat at import-time.

I suppose it should be safe to check that it's specifically the floating point number 0, but as there is arithmetic going on under the hood I'm not sure we want the test to fail if the immediate post-import call happens to return a very small non-zero number such as `0.00000001`.

If you want to assert that the test always returns precisely 0.0f instead, I'm happy to make that change.",,719,{}
1036,PullRequestReviewCommentEvent,2016-01-28 23:09:47+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,,30b775b3b6b04bb05a8d35c15b52bf9d2c26b515,False,"for consistency, can you please rename this to ""error""?",,747,{}
1038,PullRequestReviewCommentEvent,2016-01-20 12:08:14+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,,0a147bc770a08d0a9a16310d3f1e962eac091e52,False,"Same as for Windows, I would like this to be defined as a separate `psutil_proc_environ` function instead of merging it with cmdline (the merge / refactoring can be done in a separate PR). Also calculating cmdline + environ together is slower thant cmdline alone or environ alone.",,732,{}
