,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
17,DeleteEvent,2017-04-12 23:37:59+00:00,8387179,uiri/toml,364765,uiri,,,branch,pr69,user
19,DeleteEvent,2018-07-14 17:41:45+00:00,8387179,uiri/toml,364765,uiri,,,branch,local-date,user
62,DeleteEvent,2016-04-23 20:08:57+00:00,55258005,jopohl/urh,18219846,jopohl,,,branch,hackrf,user
63,DeleteEvent,2018-03-10 23:45:58+00:00,55258005,jopohl/urh,18219846,jopohl,,,branch,fix_test,user
105,DeleteEvent,2016-06-13 19:10:33+00:00,27924304,cdent/gabbi,34498,cdent,,,branch,build-from-url,user
136,DeleteEvent,2017-03-04 21:42:18+00:00,72066935,cs01/gdbgui,5715368,cs01,,,branch,dev/add-lldb-support,user
140,DeleteEvent,2017-02-07 23:55:02+00:00,72066935,cs01/gdbgui,5715368,cs01,,,branch,dev/add-docs,user
361,DeleteEvent,2018-07-08 11:48:04+00:00,61384494,zeth/inputs,945574,zeth,,,branch,permissive,user
392,DeleteEvent,2018-01-27 12:04:16+00:00,93703838,ahawker/ulid,178002,ahawker,,,branch,pyup/scheduled-update-01-26-2018,user
477,DeleteEvent,2017-07-18 08:49:30+00:00,45509911,hirokiky/ebi,507733,bungoume,,,branch,use-base36,user
735,DeleteEvent,2016-12-24 08:43:29+00:00,17250474,szaghi/FoBiS,1661942,szaghi,,,tag,vbugfix-#91-dangerous_white_spaces_for_fobos_global_variables,user
822,DeleteEvent,2017-01-16 20:00:40+00:00,63429822,ericmjl/nxviz,2631566,ericmjl,,,branch,pyup-pin-pandas-0.19.2,user
939,DeleteEvent,2016-07-15 14:26:16+00:00,27806545,mewwts/addict,1848670,mewwts,,,branch,1.0,user
1010,DeleteEvent,2015-10-23 11:20:37+00:00,10865487,upbit/pixivpy,302680,upbit,,,branch,travis-ci,user
1014,DeleteEvent,2018-04-05 20:43:02+00:00,87572990,willkg/markus,820826,willkg,,,branch,logging-rollup,user
1066,DeleteEvent,2015-11-14 19:52:38+00:00,45362107,Mego/Seriously,853264,Mego,,,branch,dev,user
1324,DeleteEvent,2015-12-07 03:35:59+00:00,31262911,jaraco/keyring,308610,jaraco,,,branch,kernel-keyring,user
1378,DeleteEvent,2018-05-16 15:50:56+00:00,73685532,lawsie/guizero,2329501,martinohanlon,,,branch,events,user
1428,DeleteEvent,2017-11-17 12:51:15+00:00,109303405,pavdmyt/yaspin,10200820,pavdmyt,,,branch,finalizers,user
1472,DeleteEvent,2017-09-28 15:36:10+00:00,41076741,sibson/redbeat,125162,sibson,,,branch,awareness-everywhere,user
1538,DeleteEvent,2017-04-03 11:47:31+00:00,56257335,Rambatino/CHAID,3631109,Rambatino,,,branch,ignore_more_codecov,user
1623,DeleteEvent,2016-12-23 15:22:37+00:00,77148264,deeplook/svglib,1001778,deeplook,,,branch,autofix/wrapped2_to3_fix-0,user
1628,DeleteEvent,2018-08-08 16:05:50+00:00,10047126,dgilland/pydash,1251349,dgilland,,,tag,v4.7.2,user
1818,DeleteEvent,2017-06-10 11:44:00+00:00,13610897,noxdafox/pebble,4214888,noxdafox,,,branch,issue_11,user
2019,DeleteEvent,2015-11-12 15:50:07+00:00,11929631,craffel/mir_eval,417568,craffel,,,branch,beat_corner_cases,user
2167,DeleteEvent,2017-09-21 15:31:15+00:00,23076316,horazont/aioxmpp,271710,horazont,,,branch,feature/stabilise-tests,user
2236,DeleteEvent,2016-11-03 23:26:24+00:00,41117430,mfussenegger/cr8,38700,mfussenegger,,,branch,run-crate,user
2363,DeleteEvent,2017-08-27 13:05:40+00:00,58374888,wkentaro/labelme,4310419,wkentaro,,,branch,fix_app_pyqt_45,user
2554,DeleteEvent,2017-01-17 17:55:36+00:00,5934517,dpkp/kafka-python,843444,dpkp,,,branch,no_sleep_til_brooklyn,user
2592,DeleteEvent,2017-11-28 15:26:40+00:00,78549488,flomotlik/formica,132653,flomotlik,,,branch,remove-separator,user
2615,DeleteEvent,2018-02-06 14:33:02+00:00,120079872,holgern/py-scrypt,2202263,holgern,,,tag,untagged-df5dda4aa640edfef03f,user
2655,DeleteEvent,2016-04-11 18:18:06+00:00,46895564,jtpereyda/boofuzz,244969,jtpereyda,,,branch,release-0.0.1-dev5,user
2707,DeleteEvent,2017-09-21 15:12:31+00:00,30484966,michael-lazar/rtv,5026795,michael-lazar,,,branch,ReshefElisha-toporder,user
2981,DeleteEvent,2018-06-26 03:55:48+00:00,99260344,asottile/all-repos,1810591,asottile,,,branch,github_org,user
3054,DeleteEvent,2015-04-11 11:08:29+00:00,28453253,hughperkins/DeepCL,123560,hughperkins,,,tag,v1.4,user
3068,DeleteEvent,2015-05-30 14:38:43+00:00,28453253,hughperkins/DeepCL,123560,hughperkins,,,tag,v1.19,user
3131,DeleteEvent,2015-07-24 10:07:01+00:00,14656555,micheles/decorator,2463856,micheles,,,branch,futurize,user
3228,DeleteEvent,2017-05-24 01:56:09+00:00,6002572,santoshphilip/eppy,2014885,santoshphilip,,,branch,i67_pythonxy,user
3250,DeleteEvent,2018-07-29 09:21:51+00:00,104761258,terrycain/aioboto3,1986397,terrycain,,,branch,pyup-update-pytest-3.6.0-to-3.6.3,user
3294,DeleteEvent,2016-09-26 09:03:47+00:00,8292338,ultrabug/py3status,56311,tobes,,,branch,color-updates-scratchpad-async,user
3517,DeleteEvent,2018-02-01 01:14:25+00:00,91881484,danni/python-pkcs11,129472,danni,,,branch,pkcs11-2016,user
3522,DeleteEvent,2017-07-21 19:09:07+00:00,7211837,dirk-thomas/vcstool,1335366,dirk-thomas,,,branch,mix_log_limit_options,user
3614,DeleteEvent,2017-08-30 17:42:12+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-botocore-1.5.78-to-1.7.0,user
3616,DeleteEvent,2018-03-22 02:11:00+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-botocore-1.8.21-to-1.9.13,user
3630,DeleteEvent,2018-03-05 07:26:35+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-aiohttp-3.0.5-to-3.0.6,user
3837,DeleteEvent,2018-07-31 08:27:29+00:00,50290651,whtsky/bencoder.pyx,29139614,renovate[bot],,,branch,renovate/tox-2.x,user
3868,DeleteEvent,2015-04-22 10:23:40+00:00,8685799,DRMacIver/hypothesis,28623,DRMacIver,,,branch,verboselogging,user
3937,DeleteEvent,2016-10-06 16:57:39+00:00,59332003,colemanja91/pyeloqua,2940547,colemanja91,,,branch,feature/postDataExceptions,user
4017,DeleteEvent,2017-02-23 17:57:32+00:00,76795266,fhamborg/news-please,18700166,fhamborg,,,branch,server-dev,user
4028,DeleteEvent,2015-04-15 17:57:26+00:00,11379148,jasonish/py-idstools,644115,jasonish,,,branch,travis-ci-fixups,user
4133,DeleteEvent,2017-07-04 19:45:03+00:00,69691394,kragniz/python-etcd3,735008,kragniz,,,branch,pyup-update-pytest-3.1.0-to-3.1.2,user
4141,DeleteEvent,2016-10-11 15:00:06+00:00,69691394,kragniz/python-etcd3,735008,kragniz,,,branch,pyup-pin-hypothesis-3.5.3,user
4244,DeleteEvent,2015-01-31 15:56:45+00:00,120894,michaeljones/breathe,5390,michaeljones,,,branch,compare,user
4295,DeleteEvent,2016-08-17 01:09:23+00:00,11439734,sigmavirus24/betamax,240830,sigmavirus24,,,branch,feature/61,user
4304,DeleteEvent,2016-07-02 06:41:06+00:00,24806180,tariqdaouda/pyArango,7224902,tariqdaouda,,,branch,arangoV3,user
4371,DeleteEvent,2015-03-11 05:38:10+00:00,26672290,Lucretiel/autocommand,1823405,Lucretiel,,,branch,hotfix-1.0.1,user
4473,DeleteEvent,2018-06-30 18:18:40+00:00,131583406,fniessink/next-action,3530545,fniessink,,,branch,issue-141-write-config,user
4543,DeleteEvent,2017-07-18 03:15:48+00:00,24561828,gunthercox/ChatterBot,2030578,gunthercox,,,branch,readme,user
4702,DeleteEvent,2016-01-22 12:03:01+00:00,48577387,taraslayshchuk/es2csv,7491121,taraslayshchuk,,,tag,1.0.1,user
4807,DeleteEvent,2017-07-28 16:27:35+00:00,39780739,adamchainz/pretty-cron,857609,adamchainz,,,branch,upgrade_requirements,user
4863,DeleteEvent,2017-01-24 21:53:57+00:00,74055016,dwolfhub/zxcvbn-python,3383733,dwolfhub,,,branch,moving-scripts,user
4949,DeleteEvent,2017-01-14 21:20:58+00:00,41068823,ppannuto/python-saleae,339422,ppannuto,,,branch,export_data2,user
4965,DeleteEvent,2018-03-18 10:21:23+00:00,124495375,rohanpm/more-executors,26634292,bors[bot],,,branch,staging.tmp,user
5018,DeleteEvent,2017-10-04 07:34:02+00:00,104584858,Danielhiversen/pyTibber,650502,Danielhiversen,,,branch,tests,user
5052,DeleteEvent,2016-10-28 07:56:32+00:00,69878276,Stranger6667/postmarker,1236561,Stranger6667,,,branch,link-tracking-support,user
5066,DeleteEvent,2015-05-17 21:46:29+00:00,30379674,adamchainz/django-mysql,857609,adamchainz,,,branch,lock_held_with_prefix_docs,user
5096,DeleteEvent,2018-01-24 22:53:43+00:00,114611932,asyrjasalo/RESTinstance,555844,asyrjasalo,,,branch,difflog,user
5116,DeleteEvent,2018-07-07 12:47:20+00:00,66065713,chris48s/arcgis2geojson,6025893,chris48s,,,tag,1.2.0,user
5178,DeleteEvent,2016-02-23 12:04:47+00:00,36964309,jantman/awslimitchecker,273454,jantman,,,branch,issues/117perf,user
5183,DeleteEvent,2017-04-21 14:04:50+00:00,47877252,jaraco/jaraco.functools,308610,jaraco,,,branch,skeleton,user
5241,DeleteEvent,2016-04-22 14:06:01+00:00,9933602,mbraak/django-file-form,235558,mbraak,,,branch,requires-io-master,user
5302,DeleteEvent,2018-06-06 01:41:12+00:00,19897931,pydanny/cached-property,62857,pydanny,,,branch,pyup-update-pytest-3.5.0-to-3.6.0,user
5303,DeleteEvent,2018-07-29 06:08:53+00:00,19897931,pydanny/cached-property,62857,pydanny,,,branch,pyup-update-pytest-3.6.1-to-3.6.3,user
5315,DeleteEvent,2017-03-05 23:31:44+00:00,73589616,tadashi-aikawa/owlmixin,9500018,tadashi-aikawa,,,branch,change-architecture,user
5511,DeleteEvent,2016-10-11 18:37:12+00:00,7889772,mbraak/django-mptt-admin,235558,mbraak,,,branch,requires-io-master,user
5542,DeleteEvent,2017-12-06 22:34:48+00:00,59245671,sdrobert/pydrobert-kaldi,7460683,sdrobert,,,tag,v0.4.0,user
5743,DeleteEvent,2018-01-26 02:20:00+00:00,113642983,henry0312/pytest-docstyle,433434,henry0312,,,branch,extras_require,user
5746,DeleteEvent,2017-08-29 03:14:03+00:00,101357472,hydrosquall/tiingo-python,9020979,hydrosquall,,,branch,pyup-pin-tiingo-0.1.2,user
5748,DeleteEvent,2017-02-25 01:20:06+00:00,67307930,indygreg/python-zstandard,342993,indygreg,,,branch,multi-threaded,user
5779,DeleteEvent,2017-07-07 06:01:12+00:00,27742208,jschneier/django-storages,2245080,jschneier,,,branch,fix-dropbox-url,user
5872,DeleteEvent,2017-05-29 15:42:20+00:00,47908408,ryanhiebert/backports.csv,425099,ryanhiebert,,,branch,quote-none,user
5913,DeleteEvent,2018-01-21 01:29:50+00:00,23527183,svenkreiss/html5validator,2775078,svenkreiss,,,branch,test-warning,user
5972,DeleteEvent,2016-11-09 20:35:01+00:00,15634794,browniebroke/deezer-python,861044,browniebroke,,,branch,upgrade/python3.2,user
5976,DeleteEvent,2016-04-27 22:24:08+00:00,48640313,codalab/codalab-worksheets,5249090,klopyrev,,,branch,deploy-rest-server,user
5977,DeleteEvent,2016-02-11 03:52:00+00:00,48640313,codalab/codalab-worksheets,332583,andreweduffy,,,branch,bugfix/poshytip,user
5984,DeleteEvent,2018-03-03 05:23:20+00:00,94358388,edaniszewski/pylint-quotes,1195651,edaniszewski,,,branch,cleanup,user
6022,DeleteEvent,2016-04-08 22:55:39+00:00,30093433,holdenk/spark-testing-base,3827156,mahmoudhanafy,,,branch,release-v1.5.1_0.3.2,user
6076,DeleteEvent,2018-03-01 21:16:41+00:00,31664927,martinpitt/python-dbusmock,200109,martinpitt,,,tag,0.17.2,user
6313,DeleteEvent,2018-02-24 04:09:24+00:00,115766314,peterdemin/pip-compile-multi,1448666,peterdemin,,,branch,trust,user
6413,DeleteEvent,2015-04-03 00:42:56+00:00,1625613,twidi/django-extended-choices,193474,twidi,,,branch,feature/python3.4-support,user
6648,DeleteEvent,2015-10-09 15:12:43+00:00,1643611,daviddrysdale/python-phonenumbers,457208,daviddrysdale,,,branch,release-5.9.1,user
6654,DeleteEvent,2015-10-09 15:11:51+00:00,1643611,daviddrysdale/python-phonenumbers,457208,daviddrysdale,,,branch,release-3.5b2,user
