,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
2,PullRequestReviewCommentEvent,2015-09-04 23:17:52+00:00,20513123,kn/slack,621009,kn,,,created,,040b8b24c26d50b21fee7174d8a5038dd77b4f17,False,"I think this function should take `channel` and `user` in id format and let developers figure out how to grab id from name instead of taking care of it here.

That way we can keep this api client thin and make it independent of individual use cases.",,15,{}
489,PullRequestReviewCommentEvent,2015-06-20 02:26:13+00:00,4576441,kbandla/dpkt,1717834,obormot,,,created,,78e74d947c01c87de44bc43b13c290970a30cc88,False,"@kbandla code golf?  :-)
```
assert len(ip.extension_hdrs)==5
```
I'll get it in with a next round of changes..",,195,{}
508,PullRequestReviewCommentEvent,2015-08-09 18:47:04+00:00,23082318,kipe/enocean,1581122,kipe,,,created,,630955e8fc935de5043a8a9ad28ef1d62d5608a4,False,Comparison should be `if self.__callback is None:` according to PEP8,,3,{}
580,PullRequestReviewCommentEvent,2018-01-03 21:00:59+00:00,33614304,nvbn/thefuck,1810493,davidhart82,,,created,86490089,85e240e7d17476490e0b60ba7d43086d1271852a,False,It's not obvious to me how a) your branch test fixture is used and b) what you expect the branch in test_match_branch to be used for?,CONTRIBUTOR,760,{}
702,PullRequestReviewCommentEvent,2018-05-01 17:56:51+00:00,24005390,tBuLi/symfit,2188968,tBuLi,,,created,116645133,a7a0aba2d3946105b5ffd3fa4386abb66ea5e51d,False,"Actually you are right, I was still thinking about 0.3.x, where the covariance matrix returned by the minimizer is used. Since we now redetermine it in a uniform way my critique does not apply. Nice.",OWNER,151,{}
713,PullRequestReviewCommentEvent,2018-04-06 17:50:52+00:00,76640818,NoneGG/aredis,2584649,pliu,,,created,110152355,e3464294c859d68793ca1151d6c43f94d405d186,False,"I thought a bit about it, but I'm not sure it can be done safely in a backwards compatible manner.

If we add it before *args, it eats into *args so existing zadd calls stop working.
If we add it as a **kwarg, it is POSSIBLE somebody has a key named ""NX"" or ""XX"" (unlikely, but possible).",NONE,73,{}
772,PullRequestReviewCommentEvent,2016-07-29 13:29:00+00:00,63566330,dgilland/zulu,1251349,dgilland,,,created,,631f3f81b79aa45b7be151f08dd4850d6ee744ed,False,"I would probably alias the `start` variable to `next` (here and before the loop) so it's a little clearer that it's not the same thing as the input variable `start`; it's the ""next"" span in the range.",,8,{}
809,PullRequestReviewCommentEvent,2017-09-06 18:25:59+00:00,6810140,gleitz/howdoi,9661732,eoglethorpe,,,created,61006952,1d0386fb6b6df41a627062492e34580aba5107a9,False,"yo - not sure about your alias to be honest and my grasp of how they work is a bit limited. I can see that it works but I don't understand how to command is passed in?

the upswing i can think of my method is that you can start to add in parameter inputs for function inputs like number of responses to give if you were to add that but otherwise seems the same as yours",NONE,166,{}
954,PullRequestReviewCommentEvent,2018-01-13 08:08:46+00:00,17731048,Ape/samsungctl,156318,Ape,,,created,88652164,773c285cfff5abe788c0a38425d7941db85a8fe0,False,"`""Exit Key""` could be just `""Exit""`.",OWNER,70,{}
1125,PullRequestReviewCommentEvent,2017-06-26 18:47:10+00:00,16331291,davisking/dlib,6259399,davisking,,,created,46348378,ecb7095e4aafbc69b3680e886f55f36f9046144e,False,Does this line need to be here?  It looks like it can be removed?,,476,{}
1296,PullRequestReviewCommentEvent,2016-02-09 01:51:23+00:00,8323977,metachris/RPIO,476186,lurch,,,created,,0511bc48f33cd80f8f51b6b6e4b7d32b3d634343,False,Looks like the indentation went a bit funny? ;),,56,{}
1322,PullRequestReviewCommentEvent,2018-06-12 13:49:06+00:00,45875786,nschloe/meshio,4221386,hillyuan,,,created,127972174,1c6c4b4fdf1b41f75f85cf7421493e3d6769f778,False,OK. Modifing it!,NONE,254,{}
1638,PullRequestReviewCommentEvent,2016-02-19 22:35:26+00:00,16558526,kumar303/mohawk,55398,kumar303,,,created,,d0064054a667c83bae622265a008ea8e0db424a4,False,"I think I'd rather leave this off. It will only fail locally if an interpreter is missing, which is easy to ignore in tox output. My worry about adding this in the tox config is that if Travis ever loses an interpreter than the tests would still pass.",,26,{}
1899,PullRequestReviewCommentEvent,2016-11-22 18:58:41+00:00,48399035,broamski/aws-mfa,5578240,broamski,,,created,9733869,cb8af6860213ca283ac642721593040bfaee3805,False,"`args.duration` will still have a value when this is called, so it should still log.",,12,{}
1913,PullRequestReviewCommentEvent,2015-11-16 17:16:09+00:00,21095662,d11wtq/dockerpty,442180,dnephin,,,created,,079ffe8ef683a5a845eb688e6a0f2f467da57f08,False,"This should mostly be the same as `start()` in the base class, right? Other than the two lines here: https://github.com/d11wtq/dockerpty/blob/master/dockerpty/pty.py#L146-L147 are there any differences?

Could we parametrize that as well?",,48,{}
1999,PullRequestReviewCommentEvent,2017-05-19 03:49:36+00:00,10589864,eliben/pycparser,1130906,eliben,,,created,39104326,3f0eb5805bbc4d464755608fce3d79e6aa39b6d5,False,"For this and other stripping of ""__"" -- needs comments and tests",,191,{}
2018,PullRequestReviewCommentEvent,2017-09-05 09:26:51+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,60541135,1e0aa8ffcecdfcf1c3892e2edf1909b9e455549c,False,"Does `ps` list it? If not is there some other task manager on AIX that does? If not I would advice to return `""kernel""`.",OWNER,1123,{}
2032,PullRequestReviewCommentEvent,2016-06-15 14:48:53+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,,ca7c948d2dcb62b3806125079aabbc34559bfe1a,False,"These are from other UNIX platforms (FreeBSD, OSX). psutil exposes them also if you're on Linux. You should take all posible statuses into account. ",,815,{}
2052,PullRequestReviewCommentEvent,2017-04-29 18:04:30+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,35501562,8aa1bd7ad75b4d7812704f89724113bde83d4650,False,"also you should return an error if no args are passed:

```
if not files:
     sys.exit(""usage: %s <FILES...>"" % __name__)
```",,1036,{}
2073,PullRequestReviewCommentEvent,2016-10-11 07:54:45+00:00,23076316,horazont/aioxmpp,271710,horazont,,,created,3625591,a78373a8e0822c67324d00bca0a0fbec7ce01a13,False,I would prefer using the current working directory or the directory the examples are located in. Using ~/.config is not portable (we would have to inspect XDG_CONFIG_HOME on linuxes and who-knows-what on other OSes) and using XDG or appdirs is overkill here.,,27,{}
2182,PullRequestReviewCommentEvent,2018-04-25 16:35:36+00:00,7591383,python273/vk_api,20171143,Helow19274,,,created,115259309,27d6e46d812de6c87bf334d96b6b488b47845488,False,"как прикажете, господин )",NONE,133,{}
2234,PullRequestReviewCommentEvent,2018-04-28 19:01:40+00:00,18892209,tartley/colorama,1686212,wiggin15,,,created,116146161,2efe2897ea1fe7a1de4d348e932675acfcbffd21,False,"I think this will look better if we do:
`if 'PYCHARM_HOSTED' in os.environ: return True` and then leave the original return as it was. This is not important, though - what do you think?",COLLABORATOR,163,{}
2242,PullRequestReviewCommentEvent,2016-10-18 15:51:40+00:00,18892209,tartley/colorama,1686212,wiggin15,,,created,4700227,053989a4fea8d950a5028141b54a747dd5f4abc4,False,"Is it possible to replace the windows release check using the ""platform"" module? platform.win32_ver() or platform.platform()?",,105,{}
2312,PullRequestReviewCommentEvent,2017-08-31 02:02:34+00:00,41179827,Rapptz/discord.py,1695103,Rapptz,,,created,59738436,d748e5aa94b3f109f40321ba664bc671f6ce4bba,False,"I believe this to be incorrect.

There should be one decoder per SSRC.",OWNER,740,{}
2564,PullRequestReviewCommentEvent,2015-03-06 20:12:51+00:00,30484966,michael-lazar/rtv,5026795,michael-lazar,,,created,,0fdae713a5e80ae475abfd589601a09c511561e4,False,"Sorry to be nitpicky, but please change the formatting style to match the rest of the errors.

See https://docs.python.org/2/library/string.html#format-examples for examples of new-style string formatting.",,30,{}
