,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_id,pr_node_id,pr_title,pr_state,pr_locked,pr_number,pr_body,pr_issue_url,pr_merged_at,pr_closed_at,pr_updated_at,pr_commits,pr_additions,pr_deletions,pr_changed_files,pr_author_association,pr_assignees,pr_requested_reviewers,pr_requested_teams,pr_merged_by_login,pr_merged_by_id,pr_merged_by_type,pr_merged_by_site_admin,pr_label,pr_patch_url,pr_commits_url,partition,commit_list
4,PullRequestEvent,2016-11-11 19:02:18+00:00,7470121,wuub/rxv,588857,wuub,,,93363921,,Add tsr-5810 desc sample,closed,False,33,I believe this is the same as rx-v581.,https://api.github.com/repos/wuub/rxv/issues/33,2016-11-11T19:02:17Z,2016-11-11T19:02:17Z,2016-11-11T19:02:17Z,1,3366,0,1,[],[],[],[],wuub,588857.0,User,False,[],https://github.com/wuub/rxv/pull/33.patch,https://api.github.com/repos/wuub/rxv/pulls/33/commits,373,['a06f5d9b1f3a371c4736dd4f3fa38d707e432a58']
11,PullRequestEvent,2017-03-01 22:23:52+00:00,8387179,uiri/toml,2674600,samvasko,,,108642788,,Improve docs and public API,open,False,79,"Hello, I've added comment to all *public* methods. Feel free to add your edits.

Couple more things I would like to do
- [ ] Rename parameters of public functions to be more descriptive
- [ ] Make `dump` accept a filename (like `load`)
- [ ] Add the docs I just added to readme",https://api.github.com/repos/uiri/toml/issues/79,,,2017-03-01T22:23:52Z,1,52,4,1,[],[],[],[],,,,,[],https://github.com/uiri/toml/pull/79.patch,https://api.github.com/repos/uiri/toml/pulls/79/commits,373,"['bd3f842af2de41ea70ccbcce5652bb217e864690', 'ff9e16c6a7d9e5fb2fa64d6a3f8228d54c19e18a', 'b5875bf73330359ed1cddc0dda0375ae1983eff5', '3ca649b38753d1922c9d512dc020ae541f01ba0a', '62df72c1df3d0c5e5b94bfa98735f1cc86305082', 'fc0f755254f2f99897d73e12b179181091746cb4']"
24,PullRequestEvent,2016-09-28 05:21:17+00:00,46566669,jaraco/irc,920298,pefoley2,,,87056331,,Don't use deprecated connection.execute_delayed,open,False,113,,https://api.github.com/repos/jaraco/irc/issues/113,,,2016-09-28T05:21:17Z,1,1,1,1,[],[],[],[],,,,,[],https://github.com/jaraco/irc/pull/113.patch,https://api.github.com/repos/jaraco/irc/pulls/113/commits,373,['735eb50dbcbc85b9888688bbcb1e13d85a98b7a6']
37,PullRequestEvent,2017-05-25 13:08:46+00:00,55258005,jopohl/urh,18219846,jopohl,,,122436596,,Add DSP Filter Button to Interpretation,open,False,277,,https://api.github.com/repos/jopohl/urh/issues/277,,,2017-05-25T13:08:46Z,5,38066,36480,20,[],[],[],[],,,,,[],https://github.com/jopohl/urh/pull/277.patch,https://api.github.com/repos/jopohl/urh/pulls/277/commits,373,"['85089ffd7b52e11e244a2ea01537b6c0b8366f98', 'd258c7e4d7a37a699517f0a62013572ca990e090', '2a706e73e820e51d43ae81f486e9a96ee17324b4', '77b393a8a2f465dbac12a49407876dd53c6f892d', 'a80ace30ccb8377d9887ce211e9e95f4366031f9', '6254965bba2deb942caf09f0e164c11134399c3b', '5e33f6d092cbf63a47583fdb984bd5fe973d1bc3', '395faad6ba567c84682bfcffa470c55e54f7d779', 'bff913f710a85dd4cb91a2bb2ee7b59e9b47d558', '1395ce99ccc8a0890514145a9c423909c4e77c77', 'fba645f5766c2ccdbf46c49942ea491714ff307f', '3175dfd1af9b74642f6403e16882b2b935effd37']"
38,PullRequestEvent,2018-05-01 11:06:13+00:00,55258005,jopohl/urh,18219846,jopohl,,,185159799,,SoundCard Support,open,False,433,Add support for SoundCards with PyAudio.,https://api.github.com/repos/jopohl/urh/issues/433,,,2018-05-01T11:06:13Z,8,254,1,7,OWNER,[],[],[],,,,,[],https://github.com/jopohl/urh/pull/433.patch,https://api.github.com/repos/jopohl/urh/pulls/433/commits,373,"['4cfdfb2ef5f6d2e6c4c34077c91746e6b48444a2', '9f6294eefd969e28142f64c3fbcfe53c077c162d', 'f371a9e614ed7d288d150cfcba8f60e9a8f606c5', 'a12a9cbe720302e0a04afa26825218a48e9dd1c0', '3e531722c08df9cf87183521e2060c6d568a1415', 'cfb806f453195ede2fbbc6340d732abb248e5e66', '51a56ddbe4777dc7ef83c8fa6ed4bf5ff511b94c', 'b5cc6872bf4ae3cb4c96cb08e3c75928c75993c7', '6d8adea70ae7dfbd65b58155e1eae6870d2b651d']"
44,PullRequestEvent,2017-06-02 17:38:35+00:00,55258005,jopohl/urh,18219846,jopohl,,,123765970,,[WIP] crc module,open,False,280,"Goal of this PR is to fix #86 .

We want to make the CRC function more customizable and show CRC errors with colors in the GUI instead only XORing calculated CRC with present bits. For this, following steps are necessary:

- [x] Program backend functions for CRC checking @andynoack 
- [x] Create a draft for CRC configuration dialog @jopohl
- [ ] Review and enhance CRC configure dialog @andynoack 
- [ ] Find a place from where to open CRC configure dialog @andynoack  and  @jopohl
- [ ] Adjust font color of bits depending on CRC correct or not @jopohl
- [ ] In Generation: Visualize CRC bits to show that they get calculated automatically. Gray them out? @jopohl
- [ ] In WSP encoding: remove CRC functionality from here? @andynoack",https://api.github.com/repos/jopohl/urh/issues/280,,,2017-06-02T17:38:35Z,1,106,0,2,[],"[{'login': 'jopohl', 'id': 18219846, 'avatar_url': 'https://avatars1.githubusercontent.com/u/18219846?v=3', 'gravatar_id': '', 'url': 'https://api.github.com/users/jopohl', 'html_url': 'https://github.com/jopohl', 'followers_url': 'https://api.github.com/users/jopohl/followers', 'following_url': 'https://api.github.com/users/jopohl/following{/other_user}', 'gists_url': 'https://api.github.com/users/jopohl/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jopohl/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jopohl/subscriptions', 'organizations_url': 'https://api.github.com/users/jopohl/orgs', 'repos_url': 'https://api.github.com/users/jopohl/repos', 'events_url': 'https://api.github.com/users/jopohl/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jopohl/received_events', 'type': 'User', 'site_admin': False}, {'login': 'andynoack', 'id': 18283204, 'avatar_url': 'https://avatars2.githubusercontent.com/u/18283204?v=3', 'gravatar_id': '', 'url': 'https://api.github.com/users/andynoack', 'html_url': 'https://github.com/andynoack', 'followers_url': 'https://api.github.com/users/andynoack/followers', 'following_url': 'https://api.github.com/users/andynoack/following{/other_user}', 'gists_url': 'https://api.github.com/users/andynoack/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/andynoack/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/andynoack/subscriptions', 'organizations_url': 'https://api.github.com/users/andynoack/orgs', 'repos_url': 'https://api.github.com/users/andynoack/repos', 'events_url': 'https://api.github.com/users/andynoack/events{/privacy}', 'received_events_url': 'https://api.github.com/users/andynoack/received_events', 'type': 'User', 'site_admin': False}]",[],[],,,,,[],https://github.com/jopohl/urh/pull/280.patch,https://api.github.com/repos/jopohl/urh/pulls/280/commits,373,"['126509a379091f7d03263bd9d49c9ead90fd99b5', '1b199ab3d47f8a9c56fdb56ed0985039bc29bcf9', '9fddac11bf86891342ec2c191bdb6f816b5ac834', '98102344b33b3cc67fa625c5fd270d8e98cd7a1d', 'c93cdbb939eef236f45383200ab70438155417b8', '84366ff848ab088653eba4b0792cca31fa69c881', 'f2a1ccfb3caab9b109d65bc112bf543d27451e33', '88369646798125a72f493d78b715fb3d5b47019f', '58da0a067987324a2b264e0ee6f37ca8f2153bf8', 'd05e5728817396d55b63a1070f7c6428f8b6ad51', '83ad9492cd97ca433b67be13f168e154ad0a1bc8', '0019132f1bdc181ec8e8e9f91ab35816424c3b42', '8a506dcec93783cd066b6da5759effd2e3d59740', 'aba813c28006d4d4b4389bc7afd1e5143c2ffece', 'd6c6e36f1d4e0f0e357596e16a1fb56214c39bcf', 'a067aa1b12c55f0bc463bc9c288cea5d3b211051', '96c49e8431c9e919e7533ef9d48a579e2adc0da3', '85177b2de0e4c8b73195212ea5b223884288c3cb', 'fd44bfee754b1eb0714edfe6ca06cb91e0daf68f', 'e1fdd4ba8ee21a691e7fcc8296719e2d16fbac9b', 'cb51dc04d7fdd0808522fcaa20721ebab41c8034', '110f8a19671e313848c6a66a4128343734057635', '9f5116c53c95247f480ceccfb5802ff53820a3c7', '3d0c3dee75a35bbf4b8416df60771db3e8821f22', '2f43e3be1d4a79a60dc606d3cc24a4c7ef37f9ab', '94cacb9eed6693427b7a3a6a82e2a917922808e0', 'e474aa2bda55ffdaa83c49bbf0db4773e40cd5dd', 'c77b663d93a0bf1ab96a8a368f9ee872315052be', 'c51d18e8b21e313c7b2d439484ecd74e9fad3c41', '7f6674bc0fade60a5a1e49707432c2d60c5187a1', '5090e3d77db3f1969529824196dbefa6409c7ced', '8bd1c9f5dec4118aa4542710eafe40b5e83b70b3', '495980d07599209f405bd0b3d54bb975f0fd9143', 'c4aab4ed7a0694c6ee9f5c5aa881bbda73c93d58', '2fe4aa38a390204b6193da84f04f5e555a7f21ab', '6e2ac92926f3555f9d51ef7cd639a266ee71581c', 'fcfd53cd3c9d70571837d8a7f5586796401f2a0e', '9eeebfdefa33b3f49bcc24fefe1686454423b6ae', '187c73df7ffd69c142feed152f540960fac2c4e3', '43b33aee6f5a9c0fde9bb6e8d8634f442c60cb25', 'f52a3dbe6b44c795ebed5fff86313b746dd7de69', 'd234fde1619c685ab1131bee7bc14e5998bd8910', '46ad6cd9bb6011b6e7e84fe55d95dd868cfa1aa4', 'cfd842e7db6aba2b610e6e6e338a6bc3bb38a2be', '80fc2fbc16dc376d54c3a955107662153ceb4a17', '55b8c6d6b08d9e70ac9b491a04d8e468bafdf448', '34bb9d6bdcf6cd70077189ad60c24445ff273c9b', '60061362b560b26fa97d184673c36184a6075f0c', 'c69e752ebd3f49ef9bcd35aaec0cbd82ab9b1f96', 'ee4267f1c821fafd5139c08eb8d1e6552eb0d984', 'a01e9d6aceb86ce9d1c288c25be8aa4922afb5a5', '533f4c8713193d58235fe66bcf378b924589f09a', 'bf8dd4106f1762a8e4c086127275c208476db0f2', 'de5348360576b176d0aef33bf90fe6956cda3653', '0889ac4a9311a778131a13d3b1b306d2287c8bf7', '1923df2eb2ee81e5dc98ffa2e36c879268cd8163', '5ce987878536aaf523b74892636bf724d0404d05', '197c05c7a0634b2e35f9d29bcc57436970b1db92', '0fd08659d4a1de6971260899734f3d264e7da25a', 'e0421218a08681f72784b130d8255251903e5911', '679ce7d9a24ac57a6fd2834e3a76582c5dd55087', 'a77f8ec6a13aa7752de98001b02e4f586df9c6ea', '786407977b711a62d996c1a4661a7588296a3842', '5d4fbcc63ba4ac13cf0a4dd36bd8ee6eea76a30e', 'ebb52383def2eeee00294434830a629d26f6799a', 'b4dc3638d7ddf0481e158748375dd5c7bf9b6727', '6bd6cc38ba0957cfb6e23e9d6eb44f23ad919b4a', '5994ac73d5db1a395703e1d657b7b0ada76d084f', 'f70dfd1d4db26ff85556e0a283d05c3996458469', 'f3d0d08c55f3c32df68198d339f610b42442c6b1', '5f66bb21dfc20bec2306d568b98333c633b0725b', 'ec77b3d006172e665c24926b1e4882aedabd58aa', 'ae47f6d5c792023ea5850640aed650e078f6340a', '378cb8d76784ed0720b18b6ac0dd54bccc2f4ca3', '2a06f381064066a2969d1f8d4deac34d0edd7635', 'd653d5cd337883d073032628757d5fe42836c28e', 'd4b9ec161dae2d7029c0b63a96057be5583a74ba', 'd1ff6077858f8b6a71b8ffe71999dd8ea0141574', 'a4288aaaaa447e36e5e44b32b9fe9d87d977e992', '8e149644b1daf076c32076dbad3e29eddb13151d', 'd9b01a8d636cd013e411d1b7d5b1e93a7e95331f', 'a9cf5e73baf2ccb9f824f215ab210aefda5ab7fa']"
50,PullRequestEvent,2017-06-25 20:57:30+00:00,65411376,lacava/few,5593968,Ohjeah,,,127377958,,use check_random_state,open,False,25,this has to be done for all other uses of np.random,https://api.github.com/repos/lacava/few/issues/25,,,2017-06-25T20:57:30Z,1,7,7,1,[],[],[],[],,,,,[],https://github.com/lacava/few/pull/25.patch,https://api.github.com/repos/lacava/few/pulls/25/commits,373,['b7feea16d60d80d887cae7ed1c603bdb457f90d3']
60,PullRequestEvent,2015-10-16 07:12:40+00:00,20479128,amol-/depot,601423,amol-,,,47375597,,Ability to specify prefix for S3 storage,closed,False,17,"This change adds S3PrefixedStorage class which extends S3Storage with ""prefix"" required argument.
I thought it would be nice to be ale to store all files within one folder in S3. So, I implemented it after reviewing this discussion:
https://github.com/amol-/depot/issues/13#issuecomment-142432557
As suggested, prefix here is set in storage, not in the file field.

Can you please review and provide feedback? One thing I am not sure about in this implementation is that prefix ends up in UploadedFile['file_id']. Perhaps it would be more clear to not leak prefix outside of the storage class.",https://api.github.com/repos/amol-/depot/issues/17,2015-10-16T07:12:40Z,2015-10-16T07:12:40Z,2015-10-16T07:12:40Z,10,59,23,3,[],[],[],[],amol-,601423.0,User,False,[],https://github.com/amol-/depot/pull/17.patch,https://api.github.com/repos/amol-/depot/pulls/17/commits,373,"['dacae094a53f8401b24335c7c7d7156c0328e08e', 'acc85ae0ae2bde31f9544fabc550777b9d8c7bcb', 'cc0d1848f2dcb0fd33b19c6ee36babbac0ce2450', '1697f2a9fc632c1e22aea5bf0a73c46e84a2915e', '29d35808352245f08aa4ca49ce42807d2b395e08', '286e819407cd93a961c1cee0801776b61e7b3f07', '2c3cf6a3f7a94157c1decc782d1aa5af79b5c384', '114ba09b820b92143b18fbb8217df7e161b0d066', '696d92303f6857fd52856afc6f6b16b52e2f2807', '960cd5caa4aca3ffdbfc2a0d84f4494646698aab']"
124,PullRequestEvent,2017-11-07 05:00:26+00:00,95191952,rainx/pytdx,6207775,JaysonAlbert,,,151025508,,把流量统计封装到send和recv中，下一步打算把send，recv改成asyncio版本试试,open,False,96,,https://api.github.com/repos/rainx/pytdx/issues/96,,,2017-11-07T05:00:26Z,1,27,23,2,CONTRIBUTOR,[],[],[],,,,,[],https://github.com/rainx/pytdx/pull/96.patch,https://api.github.com/repos/rainx/pytdx/pulls/96/commits,373,"['5173aca41366142ae3117fe16f680c5bb5a8ede5', 'be8935d4c5df3ee95e9575bbcc792545afb4e7e3']"
135,PullRequestEvent,2017-10-27 14:03:00+00:00,16644126,vasole/fisx,5636251,vasole,,,149128663,,Debian packaging,closed,False,21,"For the moment, it seems to work with debian 8. It fails when trying to sign packages, to be investigated (probably a problem with my gpg key). 

Debian 9 not done yet.",https://api.github.com/repos/vasole/fisx/issues/21,2017-10-27T14:02:59Z,2017-10-27T14:02:59Z,2017-10-27T14:02:59Z,10,935,15,30,NONE,[],[],[],vasole,5636251.0,User,False,[],https://github.com/vasole/fisx/pull/21.patch,https://api.github.com/repos/vasole/fisx/pulls/21/commits,373,"['e710784e09c0ed8bb109f3e593ba1bdaf16a095e', '587f332ee7ed2d8bc82074277686c7d3b56a4501', '86751111059b90998a6a16f69f08b9b49d057b94', '662e23215606289b83576d014aead55be66d06c3', '4e1a2c42ca0aa4852729fd1ad5631e7cc2185f39', '68ccae4d06563a4467dbee37e17ab578dfb064f8', '572380fbead7114589a78a67f40344e28e9e64fa', 'b2df9599d396085ee9031a28a9a6231fd6c98364', '25ee4a407f40b4d7b92432838396a3d9c3a3cfb3', '28fc57dac3840368691a4077d453b9925e2d8bb3']"
