,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
43,DeleteEvent,2017-06-11 19:26:32+00:00,55258005,jopohl/urh,18219846,jopohl,,,branch,win_precompile,user
71,DeleteEvent,2017-08-01 05:12:17+00:00,72066935,cs01/gdbgui,5715368,cs01,,,branch,tree-show-simple-children-inline,user
72,DeleteEvent,2017-05-22 18:31:36+00:00,72066935,cs01/gdbgui,5715368,cs01,,,branch,use-stator-new,user
168,DeleteEvent,2018-08-25 09:58:11+00:00,61384494,zeth/inputs,945574,zeth,,,branch,unittest-ref,user
181,DeleteEvent,2018-04-09 12:05:20+00:00,93703838,ahawker/ulid,178002,ahawker,,,branch,pyup/scheduled-update-2018-04-08,user
362,DeleteEvent,2016-12-21 11:25:25+00:00,12535703,csparpa/pyowm,5172190,csparpa,,,branch,feature/#129_air_pollution_api,user
365,DeleteEvent,2018-02-26 03:49:17+00:00,63429822,ericmjl/nxviz,2631566,ericmjl,,,branch,pyup-update-hypothesis-3.45.4-to-3.45.5,user
371,DeleteEvent,2017-09-19 23:52:41+00:00,63429822,ericmjl/nxviz,2631566,ericmjl,,,branch,pyup-update-hypothesis-3.28.3-to-3.29.0,user
433,DeleteEvent,2017-10-21 23:10:20+00:00,22937749,rasbt/mlxtend,5618407,rasbt,,,branch,sfs-stopping,user
605,DeleteEvent,2018-07-23 19:33:55+00:00,129309504,leonardt/fault,3766436,leonardt,,,branch,pep8-80-chars,user
619,DeleteEvent,2018-08-15 10:33:55+00:00,109303405,pavdmyt/yaspin,10200820,pavdmyt,,,branch,getattr-magic,user
646,DeleteEvent,2017-01-06 04:11:13+00:00,41076741,sibson/redbeat,125162,sibson,,,branch,toxify,user
703,DeleteEvent,2016-04-19 10:30:22+00:00,43131469,bjodah/pyodesys,485936,bjodah,,,branch,backend,user
709,DeleteEvent,2018-03-07 22:08:07+00:00,8633399,cenkalti/kuyruk,661618,cenkalti,,,tag,v8.4.3,user
915,DeleteEvent,2016-06-09 01:48:12+00:00,11929631,craffel/mir_eval,1190540,bmcfee,,,branch,label_hierarchy,user
991,DeleteEvent,2017-12-10 16:03:51+00:00,23076316,horazont/aioxmpp,271710,horazont,,,branch,feature/muc-transient-occupants,user
1016,DeleteEvent,2018-06-19 18:41:12+00:00,41117430,mfussenegger/cr8,38700,mfussenegger,,,branch,spinner,user
1024,DeleteEvent,2017-07-27 03:26:42+00:00,95870855,mlouielu/twstock,28770408,mlouielu,,,branch,update_install_step,user
1149,DeleteEvent,2017-12-30 07:20:06+00:00,115767936,corydodt/Crosscap,121705,corydodt,,,tag,release-0.4.990,user
1179,DeleteEvent,2017-01-17 17:53:59+00:00,5934517,dpkp/kafka-python,843444,dpkp,,,branch,coordinator_del,user
1231,DeleteEvent,2016-09-05 07:14:29+00:00,46895564,jtpereyda/boofuzz,244969,jtpereyda,,,branch,release0.0.5,user
1334,DeleteEvent,2017-03-16 00:27:28+00:00,78548891,rm-hull/luma.core,1915543,rm-hull,,,branch,qa-deps,user
1638,DeleteEvent,2017-02-09 21:46:00+00:00,12548255,barseghyanartur/ska,4925587,barseghyanartur,,,tag,stable,user
1641,DeleteEvent,2016-02-18 06:35:48+00:00,5776030,bear/python-twitter,1267,bear,,,branch,feature/ratelimiting,user
1708,DeleteEvent,2017-11-15 22:38:07+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-aiobotocore-0.4.5-to-0.5.1,user
1989,DeleteEvent,2011-09-12 05:38:28+00:00,1113646,kurtmckee/feedparser,39996,kurtmckee,,,branch,replace_userdict,
2176,DeleteEvent,2016-11-30 04:20:52+00:00,24561828,gunthercox/ChatterBot,2030578,gunthercox,,,branch,docs,user
2182,DeleteEvent,2016-11-24 17:09:51+00:00,24561828,gunthercox/ChatterBot,2030578,gunthercox,,,branch,issue_382,user
2421,DeleteEvent,2016-07-08 08:52:09+00:00,30243109,Danielhiversen/pyRFXtrx,650502,Danielhiversen,,,branch,pep257,user
2443,DeleteEvent,2015-05-10 11:00:49+00:00,30379674,adamchainz/django-mysql,857609,adamchainz,,,branch,isort_tests_too,user
2593,DeleteEvent,2017-04-07 06:01:15+00:00,40718289,byt3bl33d3r/CrackMapExec,5151193,byt3bl33d3r,,,branch,v4.0,user
2625,DeleteEvent,2017-08-13 08:25:36+00:00,43920784,hackebrot/pytest-cookies,6024445,hackebrot,,,branch,specify-template-to-bake,user
2673,DeleteEvent,2018-06-06 16:46:14+00:00,92439132,vovanbo/aiohttp_json_api,877240,vovanbo,,,branch,pyup-update-astroid-1.6.3-to-1.6.4,user
2674,DeleteEvent,2018-01-21 10:27:48+00:00,92439132,vovanbo/aiohttp_json_api,877240,vovanbo,,,branch,pyup-update-yarl-0.16.0-to-1.0.0,user
2855,DeleteEvent,2017-08-20 06:12:22+00:00,28577939,CamDavidsonPilon/lifetimes,6563045,aprotopopov,,,branch,model_routines,user
2955,DeleteEvent,2017-08-02 17:56:21+00:00,96721073,asottile/add-trailing-comma,1810591,asottile,,,branch,correct_link,user
2993,DeleteEvent,2018-08-14 23:28:53+00:00,76801332,RobinNil/file_read_backwards,330836,RobinNil,,,branch,pyup-update-cryptography-2.2.2-to-2.3,user
3005,DeleteEvent,2017-04-23 21:11:03+00:00,85780522,fgmacedo/python-statemachine,281007,fgmacedo,,,branch,pyup-update-sphinx-1.5.3-to-1.5.5,user
3037,DeleteEvent,2017-07-05 08:41:37+00:00,78106937,strizhechenko/netutils-linux,3813830,strizhechenko,,,branch,numa-modular,user
