,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
8,DeleteEvent,2015-10-09 19:14:08+00:00,28550291,cdown/srt,660663,cdown,,,branch,f/hypothesis,user
11,DeleteEvent,2015-09-27 09:03:20+00:00,28550291,cdown/srt,660663,cdown,,,branch,feature/no_magic_numbers,user
29,DeleteEvent,2018-05-26 18:48:36+00:00,2918192,epsy/clize,685865,epsy,,,branch,drop3.3,user
65,DeleteEvent,2017-03-02 17:42:26+00:00,55258005,jopohl/urh,18219846,jopohl,,,tag,v0.9.5.3,user
77,DeleteEvent,2017-09-18 06:43:46+00:00,55258005,jopohl/urh,18219846,jopohl,,,tag,v1.6.1.5,user
167,DeleteEvent,2017-07-03 02:10:57+00:00,10031150,emre/kaptan,26336,tony,,,branch,pyup-update-sphinx-1.6.2-to-1.6.3,user
344,DeleteEvent,2017-11-04 13:07:56+00:00,20857415,Kuniwak/vint,1124024,Kuniwak,,,branch,fix-issue-238,user
346,DeleteEvent,2015-01-01 08:33:19+00:00,20857415,Kuniwak/vint,1124024,Kuniwak,,,branch,refactor-2nd,user
374,DeleteEvent,2018-02-23 16:02:15+00:00,76012224,ayemos/akagi,2426082,ayemos,,,branch,pyup-update-sphinx-1.5.5-to-1.7.0,user
475,DeleteEvent,2015-09-25 20:14:34+00:00,4576441,kbandla/dpkt,4806709,brifordwylie,,,branch,jenkins_coverall_fix,user
804,DeleteEvent,2016-12-12 19:17:21+00:00,63429822,ericmjl/nxviz,2631566,ericmjl,,,branch,pyup-update-cryptography-1.5-to-1.6,user
938,DeleteEvent,2016-09-15 13:24:35+00:00,22937749,rasbt/mlxtend,5618407,rasbt,,,branch,column-selector,user
1096,DeleteEvent,2015-09-08 21:58:45+00:00,6982384,cdown/tzupdate,660663,cdown,,,branch,root_warning,user
1262,DeleteEvent,2017-03-06 18:36:40+00:00,48170794,jepegit/cellpy,16334959,jepegit,,,branch,feature/fixing_error_with_readthedocs_import_of_pyodbc,user
