,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,issue_action,issue_title,issue_labels,issue_assignees,issue_count,issue_body,issue_reactions,issue_reason
5,IssuesEvent,2016-02-19 14:07:41+00:00,3462960,lazka/pgi,991986,lazka,,,closed,Importing PackageKitGLib fails on recent versions,[],[],5,"When using latest pgi to import PackageKitGlib i see the following stack trace when building tests on Travis.  When I use version 0.0.10.1 the problem does not occur.  I was further unable to reproduce the problem on Debian unstable machine with both version (0.0.10.1 and 0.0.11.1).  This could be an issue with Travis' build environment but since an older version is working, I thought I would report the problem.

Failing build with 0.0.11.1:
https://travis-ci.org/freedombox/Plinth/jobs/109517303
Passing build with 0.0.10.1
https://travis-ci.org/SunilMohanAdapa/Plinth/jobs/109901088

```
======================================================================
ERROR: plinth.modules.config.tests.test_config (unittest.loader.ModuleImportFailure)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""/opt/python/3.4.2/lib/python3.4/unittest/case.py"", line 58, in testPartExecutor
    yield
  File ""/opt/python/3.4.2/lib/python3.4/unittest/case.py"", line 577, in run
    testMethod()
  File ""/opt/python/3.4.2/lib/python3.4/unittest/loader.py"", line 32, in testFailure
    raise exception
ImportError: Failed to import test module: plinth.modules.config.tests.test_config
Traceback (most recent call last):
  File ""/opt/python/3.4.2/lib/python3.4/unittest/loader.py"", line 312, in _find_tests
    module = self._get_module_from_name(name)
  File ""/opt/python/3.4.2/lib/python3.4/unittest/loader.py"", line 290, in _get_module_from_name
    __import__(name)
  File ""/home/travis/build/freedombox/Plinth/plinth/modules/config/__init__.py"", line 22, in <module>
    from . import config
  File ""/home/travis/build/freedombox/Plinth/plinth/modules/config/config.py"", line 36, in <module>
    from plinth.modules.firewall import firewall
  File ""/home/travis/build/freedombox/Plinth/plinth/modules/firewall/__init__.py"", line 22, in <module>
    from . import firewall
  File ""/home/travis/build/freedombox/Plinth/plinth/modules/firewall/firewall.py"", line 28, in <module>
    from plinth import package
  File ""/home/travis/build/freedombox/Plinth/plinth/package.py"", line 31, in <module>
    packagekit = import_from_gi('PackageKitGlib', '1.0')
  File ""/home/travis/build/freedombox/Plinth/plinth/utils.py"", line 37, in import_from_gi
    return importlib.import_module(package_name + '.repository.' + library)
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/importlib/__init__.py"", line 109, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 2254, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 2237, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 2226, in _find_and_load_unlocked
  File ""<frozen importlib._bootstrap>"", line 1191, in _load_unlocked
  File ""<frozen importlib._bootstrap>"", line 1161, in _load_backward_compatible
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/site-packages/pgi/importer.py"", line 179, in load_module
    const.PREFIX[0] + '.' + dep.split(""-"")[0])
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/importlib/__init__.py"", line 109, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 2254, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 2237, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 2226, in _find_and_load_unlocked
  File ""<frozen importlib._bootstrap>"", line 1191, in _load_unlocked
  File ""<frozen importlib._bootstrap>"", line 1161, in _load_backward_compatible
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/site-packages/pgi/importer.py"", line 179, in load_module
    const.PREFIX[0] + '.' + dep.split(""-"")[0])
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/importlib/__init__.py"", line 109, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""<frozen importlib._bootstrap>"", line 2254, in _gcd_import
  File ""<frozen importlib._bootstrap>"", line 2237, in _find_and_load
  File ""<frozen importlib._bootstrap>"", line 2226, in _find_and_load_unlocked
  File ""<frozen importlib._bootstrap>"", line 1191, in _load_unlocked
  File ""<frozen importlib._bootstrap>"", line 1161, in _load_backward_compatible
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/site-packages/pgi/importer.py"", line 182, in load_module
    proxy = overrides.load_overrides(introspection_module)
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/site-packages/pgi/overrides/__init__.py"", line 121, in load_overrides
    override_mod = importlib.import_module(override_package_name)
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/importlib/__init__.py"", line 109, in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/site-packages/pgi/overrides/GObject.py"", line 57, in <module>
    globals()[name] = getattr(GLib, name)
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/site-packages/pgi/overrides/__init__.py"", line 32, in __getattr__
    return getattr(self._introspection_module, name)
  File ""/home/travis/virtualenv/python3.4.2/lib/python3.4/site-packages/pgi/module.py"", line 84, in __getattr__
    (self.__class__.__name__, name))
AttributeError: 'GLib' module has not attribute 'uri_list_extract_uris'
```",{},{}
8,IssuesEvent,2018-07-12 16:06:27+00:00,1673145,FSX/misaka,4039449,samuelcolvin,,,opened,Error with SaferHtmlRenderer,[],[],0,"Problem is at 

https://github.com/FSX/misaka/blob/dcf87c8a062d0416d702541e544cd4285a1459c0/misaka/api.py#L345

Should be relatively simple to fix with 

```py
return ('<a href=""%s""%s>'  % (url, maybe_title))  + content + '</a>'
```

Or similar

Example of the error:

```
In [1]: from misaka import Markdown, SaferHtmlRenderer

In [2]: safer_markdown = Markdown(SaferHtmlRenderer())

In [3]: s='[![xxx](http://www.example.com/?v=%s)](http://www.example.com/])'

In [4]: safer_markdown(s)
From cffi callback <function cb_link at 0x7f7a0cd83598>:
Traceback (most recent call last):
  File ""/home/samuel/code/nosht/env/lib/python3.6/site-packages/misaka/callbacks.py"", line 301, in cb_link
    result = renderer.link(content, link, title)
  File ""/home/samuel/code/nosht/env/lib/python3.6/site-packages/misaka/api.py"", line 345, in link
    return ('<a href=""%s""%s>' + content + '</a>') % (url, maybe_title)
TypeError: not enough arguments for format string
Out[4]: '<p>[<img src=""http://www.example.com/?v=%s"" alt=""xxx"" />](http://www.example.com/])</p>\n'
```",{},{}
10,IssuesEvent,2018-05-10 00:03:42+00:00,69408336,MrOlm/drep,13424205,MrOlm,,,closed,'missing' genome,[],[],3,"Hi,

I ran dRep on a bunch or MAGs. If I am reading your explanations right, genomes with > 75% completness and < 24% redundancy (contamination) should be kept. Yet, I found that some MAGs with completness at 83 - 89 (and contamination 3.6 - 3.9) according to CheckM are not included among the winning dereplicated MAGs. Is there something about these MAGs that excludes them that I missed while reading the documents?

I ran this analysis in febrauary on the previous dRep version that was up. I recently updated, so I will re-run the analysis if this has been addressed already.

Camilla
The bins in fasta (added .txt to name to upload them)
[UASBVU0Maxbin.001.fasta.txt](https://github.com/MrOlm/drep/files/1989285/UASBVU0Maxbin.001.fasta.txt)
[UASBVU03megahit.metabat.bin.41.fasta.txt](https://github.com/MrOlm/drep/files/1989286/UASBVU03megahit.metabat.bin.41.fasta.txt)

",{},{}
20,IssuesEvent,2015-11-20 14:45:39+00:00,46566669,jaraco/irc,308610,jaraco,,,closed,irccat.py pings out,[],[],0,"If you play around with irccat long enough, it will eventually ping timeout.

----------------------------------------
- Bitbucket: https://bitbucket.org/jaraco/irc/issue/30
- Originally reported by: Anonymous
- Originally created at: 2013-10-09T20:45:09.400
",{},{}
24,IssuesEvent,2017-03-20 09:57:46+00:00,55258005,jopohl/urh,18283204,andynoack,,,opened,Shall we implement a Windows/OSX installer? (Thumbs up for yes),"[{'id': 380137422, 'url': 'https://api.github.com/repos/jopohl/urh/labels/discussion', 'name': 'discussion', 'color': '0e8a16', 'default': False}, {'id': 546048675, 'url': 'https://api.github.com/repos/jopohl/urh/labels/installation', 'name': 'installation', 'color': '006b75', 'default': False}, {'id': 558813578, 'url': 'https://api.github.com/repos/jopohl/urh/labels/osx', 'name': 'osx', 'color': 'e99695', 'default': False}, {'id': 351288963, 'url': 'https://api.github.com/repos/jopohl/urh/labels/question', 'name': 'question', 'color': 'cc317c', 'default': True}, {'id': 558813511, 'url': 'https://api.github.com/repos/jopohl/urh/labels/windows', 'name': 'windows', 'color': '5319e7', 'default': False}]",[],0,"The question is whether the current installation routine is too complicated on Windows and OSX. If you really need a installer or think, that might be useful, leave a comment or thumbs up.",{},{}
28,IssuesEvent,2017-03-07 13:08:16+00:00,55258005,jopohl/urh,18219846,jopohl,,,closed,"Add support for rtl_tcp ""virtual"" dongle","[{'id': 351288960, 'url': 'https://api.github.com/repos/jopohl/urh/labels/feature', 'name': 'feature', 'color': '84b6eb', 'default': False}, {'id': 543918708, 'url': 'https://api.github.com/repos/jopohl/urh/labels/sdr', 'name': 'sdr', 'color': '0052cc', 'default': False}]","[{'login': 'andynoack', 'id': 18283204, 'avatar_url': 'https://avatars2.githubusercontent.com/u/18283204?v=3', 'gravatar_id': '', 'url': 'https://api.github.com/users/andynoack', 'html_url': 'https://github.com/andynoack', 'followers_url': 'https://api.github.com/users/andynoack/followers', 'following_url': 'https://api.github.com/users/andynoack/following{/other_user}', 'gists_url': 'https://api.github.com/users/andynoack/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/andynoack/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/andynoack/subscriptions', 'organizations_url': 'https://api.github.com/users/andynoack/orgs', 'repos_url': 'https://api.github.com/users/andynoack/repos', 'events_url': 'https://api.github.com/users/andynoack/events{/privacy}', 'received_events_url': 'https://api.github.com/users/andynoack/received_events', 'type': 'User', 'site_admin': False}]",4,"Can you please add support for the ""RTL over TCP virtual dongle"" device ? it allows to stream IQ sample from a computer to an other, by using tcp.
More info here : http://osmocom.org/projects/sdr/wiki/rtl-sdr#rtl_tcp
Some SDR program already have this option (SDR# for example).
More info here : http://www.hamradioscience.com/raspberry-pi-as-remote-server-for-rtl2832u-sdr/
",{},{}
102,IssuesEvent,2018-03-25 04:16:44+00:00,6007295,fxsjy/jieba,19896512,yiyinying,,,opened,"为什么会建立一个缓存文件,单独一个0.889秒,会不会每次都建立缓存.",[],[],0,,{},{}
132,IssuesEvent,2016-03-13 19:52:45+00:00,4946406,mher/flower,691049,mher,,,closed,test_pool_restart fails on Debian unstable,[],[],1,"The test_pool_restart test fails on Debian unstable:
```
$ python2.7 setup.py test
======================================================================
ERROR: test_pool_restart (tests.api.test_control.WorkerControlTests)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""/usr/lib/python2.7/dist-packages/tornado/testing.py"", line 120, in __call__
    result = self.orig_method(*args, **kwargs)
  File ""/build/flower-XP5LM3/flower-0.8.2+dfsg/tests/api/test_control.py"", line 37, in test_pool_restart
    celery.control.broadcast.assert_called_once()
  File ""/usr/lib/python2.7/dist-packages/mock/mock.py"", line 721, in __getattr__
    raise AttributeError(name)
AttributeError: assert_called_once

----------------------------------------------------------------------
```
Installed Python packages:
python 2.7.9-1
python-all 2.7.9-1
python-amqp 1.4.6-3
python-anyjson 0.3.3-1
python-babel 1.3+dfsg.1-5
python-babel-localedata 1.3+dfsg.1-5
python-billiard 3.3.0.20-1
python-celery 3.1.18-1
python-celery-common 3.1.18-1
python-chardet 2.3.0-1
python-colorama 0.3.3-1
python-concurrent.futures 2.2.0-1
python-dateutil 2.2-2
python-distlib 0.2.1-1
python-docutils 0.12+dfsg-1
python-funcsigs 0.4-1
python-html5lib 0.999-3
python-jinja2 2.8-1
python-kombu 3.0.26-1
python-mailer 0.7-1
python-markupsafe 0.23-2
python-memcache 1.56-1
python-minimal 2.7.9-1
python-mock 1.3.0-2.1
python-pbr 0.11.0-1
python-pip 1.5.6-6
python-pkg-resources 18.0.1-2
python-pycurl 7.19.5.1-1
python-pygments 2.0.1+dfsg-1.1
python-pyparsing 2.0.3+dfsg1-1
python-requests 2.7.0-3
python-roman 2.0.0-1
python-setuptools 18.0.1-2
python-six 1.9.0-3
python-sphinx 1.2.3+dfsg-1
python-support 1.0.15
python-tornado 4.2.0-1
python-tz 2012c+dfsg-0.1
python-urllib3 1.10.4-1
",{},{}
141,IssuesEvent,2017-11-06 00:57:03+00:00,95191952,rainx/pytdx,101971,rainx,,,closed,哪个函数可以得到完整历史分钟k线 ?,[],[],1,"get_history_minute_time_data 只有 price/volume, 没有 Open/High/Low
哪个函数可以得到完整历史分钟k线 (Open/High/Low/Close/Volume/Count) ?",{},{}
152,IssuesEvent,2017-09-01 08:13:52+00:00,82588597,youfou/wxpy,12572050,EverCurse,,,opened,我自己扫码 然后能拿到自己的微信号吗,[],[],0,希望能拿到微信号 谢谢，这功能现在有吗,{},{}
