,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
1133,PullRequestReviewCommentEvent,2017-09-23 17:26:20+00:00,9289343,svinota/pyroute2,814602,svinota,,,created,64743783,60d72608cfd6cc3b47bc4265acca20987c717628,False,"so, the rest is simply concatenated packed IPv6 addresses?",OWNER,425,{}
1192,PullRequestReviewCommentEvent,2017-03-11 21:19:11+00:00,35655230,adamchainz/patchy,857609,adamchainz,,,created,26431504,d8900454a4a21aa4f45a6eb519282333024a4c00,False,the explanation should point out that it's `super()` that's Python 3 only,,68,{}
1384,PullRequestReviewCommentEvent,2015-01-18 00:13:43+00:00,10472606,qubole/qds-sdk-py,695290,mindprince,,,created,,f9403a2e2d7007eb8e6cb80b0f132bf626656fe4,False,"Also, I think we should ask for a program file here instead of program code.
No one is going to type all the program code in the command line.
There is an example of this type of interaction - search for `custom_config_file`.",,78,{}
1389,PullRequestReviewCommentEvent,2017-10-18 21:43:19+00:00,78548891,rm-hull/luma.core,305679,thijstriemstra,,,created,70368550,4baef1ad824c8b7ad66831947194e0728d642638,False,and double-qoutes instead,COLLABORATOR,102,{}
1400,PullRequestReviewCommentEvent,2018-07-10 16:15:03+00:00,19595428,schollii/pypubsub,2598808,schollii,,,created,135901958,ae19555294966503f5d882fed8a43e8737717099,False,"Once the test is converted to be run by pytest, the ""main"" block will be obsolete. 
",OWNER,13,{}
1409,PullRequestReviewCommentEvent,2015-02-01 15:56:37+00:00,13423891,softvar/json2html,4180800,softvar,,,created,,876162b03db45934476d6280d68fd7b36ce6969a,False,"Please check once, this will make the tag `<table <table border=""1"">>` as you have used ```table_init_markup = ""<table %s>"" %(table_attributes)
a=a+ table_init_markup```

Please replace this with `table_attributes = 'border=""1""'`",,2,{}
1437,PullRequestReviewCommentEvent,2017-10-05 17:26:02+00:00,68545771,MichaelAquilina/S4,2650040,MichaelAquilina,,,created,67451343,ca3eda4c56736344b9229ab0466c8c8eb404ac34,False,maybe move this to the constructor to be more consistent,OWNER,78,{}
1475,PullRequestReviewCommentEvent,2015-01-30 17:41:47+00:00,5879214,berkerpeksag/astor,26338,berkerpeksag,,,created,,ff1fb4d045d712463dd72a60ada35272a587b17e,False,"Thanks! Can't we do `PIP_FIND_LINKS=$PWD/wheelhouse` a global env? e.g.

```yml
env:
  global:
    - PIP_FIND_LINKS=$PWD/wheelhouse
```",,15,{}
1543,PullRequestReviewCommentEvent,2017-07-07 22:39:27+00:00,12116802,lavr/python-emails,300211,vfaronov,,,created,48733298,70b4ef03c529fb2f0cb2292c05c9d62df32466ae,False,"Sounds good to me. Well then, I’ll withdraw this PR for now.",,90,{}
1558,PullRequestReviewCommentEvent,2017-08-01 18:03:53+00:00,59235,mkleehammer/pyodbc,27421,mkleehammer,,,created,53585510,2e9459560acaee5411af7f95b02377931a3a9120,False,Small suggestion here - I'm moving to using no spaces (like it was before) for PEP8 compliance.  I'm now using flake8 (via flycheck in Spacemacs) which flags these.,,256,{}
1608,PullRequestReviewCommentEvent,2016-12-20 02:43:34+00:00,56998522,skorokithakis/catt,23648,skorokithakis,,,created,13684562,5a83529ac31751a7963f20b034e710e0b1753a55,False,"It doesn't distinguish though, does it? If you specify a device name it always says ""Specified not found"", otherwise ""None found"". If you specify a device name and it finds no devices, it will still say ""Specified not found"". Or do you mean in case you specified a device in the config and forgot about it? It could be useful then, I agree.",,17,{}
1614,PullRequestReviewCommentEvent,2016-02-24 03:19:15+00:00,3722317,thesharp/daemonize,613511,knsd,,,created,,45e8897276ced5418744a8e0f5bc27dd33a4ec0d,False,"`FileNotFoundError` exception was introduced in Python 3.3, see PEP 3151, so it's broken almost always. ",,44,{}
1631,PullRequestReviewCommentEvent,2017-09-04 19:10:20+00:00,8292338,ultrabug/py3status,852504,lasers,,,created,60460872,f9b8c76bcfa44229fd3b8d665250ea671edf2e88,False,"```
    {button} button to open/close or change the displayed module
    {module} module name or type, eg github
    {optional} module's optionally given name, eg py3status
    {internal} module's internally used name, eg _anon_module_0
    {output} module's output, eg (new output here)
```
?",CONTRIBUTOR,1044,{}
1636,PullRequestReviewCommentEvent,2018-08-20 12:44:29+00:00,8292338,ultrabug/py3status,852504,lasers,,,created,147625824,c41fc42c7ab0430208dc8af360337f93ab913921,False,"@maximbaz Okay, the solution is make `format_notification = None`, but we won't document `{output_full}` placeholder so only you and few others will know about it... The rest can use `{output}` (aka 1line) or `{line}` (aka count_lines).

If/when we break this module someday, we could do it at that time.

So you just have to implement `format_notification`. Pass `self.py3.safe_form...` object to `self.py3.notifiy_user()`` instead of `self.output` string. ",COLLABORATOR,1439,{}
1639,PullRequestReviewCommentEvent,2017-01-27 11:10:52+00:00,8292338,ultrabug/py3status,56311,tobes,,,created,18817821,408f875805c04f2ca4c864702aa82a49b8d50124,False,python2 uses `urlparse.urlsplit`,,696,{}
1641,PullRequestReviewCommentEvent,2017-12-05 20:55:08+00:00,8292338,ultrabug/py3status,56311,tobes,,,created,81332237,4491477796bf53556a91f8a52526c1c207952b54,False,"This seems very harsh!

We should allow py3status to run at a minimum just to display a nice error to the user.  Personally I'd like use to run but without the gevent, but add a small warning 'module' that can be clicked to hide.",COLLABORATOR,1186,{}
1645,PullRequestReviewCommentEvent,2018-05-01 20:08:31+00:00,8292338,ultrabug/py3status,852504,lasers,,,created,116685092,fffac635a899d426a4b70fc44ef478da55c00e1b,False,I hadn't touched this module so I don't know what the output should look like. I'll ask @inigoserna for `setxkbmap -query` output... and one more output again... with >1 layout if possible?,CONTRIBUTOR,1335,{}
1676,PullRequestReviewCommentEvent,2018-03-14 23:27:42+00:00,101940687,SamLau95/nbinteract,21207095,Calebs97,,,created,104033881,823ee05e3098bb78250f3a4d052c6f43d580c584,False,done!,COLLABORATOR,65,{}
1823,PullRequestReviewCommentEvent,2017-10-22 20:52:42+00:00,67834502,lk-geimfari/mimesis,15812620,lk-geimfari,,,created,71043936,dc7e3f9128695e37da506bfadcaae1cdc5bf677a,False,"As i say, i have created type for json. Look at `mimesis.typing`. branch: `type-hinting`.",OWNER,261,{}
1824,PullRequestReviewCommentEvent,2017-10-22 13:08:40+00:00,67834502,lk-geimfari/mimesis,15812620,lk-geimfari,,,created,71032807,97da44ffadef87961080751af5a9b7c8138437c9,False,I have collected all types in this module and import ones from it. Is it good idea?,OWNER,260,{}
1917,PullRequestReviewCommentEvent,2017-10-21 22:00:40+00:00,15879082,AndrewAnnex/SpiceyPy,1558679,drbitboy,,,created,71018249,2560a5f015ce8a24d282050d2ebb49afe61042de,False,yes.  I meant to change it but this dropped through the cracks.,CONTRIBUTOR,218,{}
1918,PullRequestReviewCommentEvent,2017-10-22 17:16:15+00:00,15879082,AndrewAnnex/SpiceyPy,1423011,murashin,,,created,71039137,00442f141d181dfa0bb1d6594f10d4d0c8c6cf09,False,This line seems wrong...,NONE,220,{}
1935,PullRequestReviewCommentEvent,2015-09-23 07:09:51+00:00,8685799,DRMacIver/hypothesis,857609,adamchainz,,,created,,a20c183a7a22a9220db4861002c183a5024a7a78,False,Done! ,,160,{}
1964,PullRequestReviewCommentEvent,2015-03-25 08:10:58+00:00,13265524,balloob/pychromecast,394461,am0s,,,created,,673077f779d0626121822254f35a12064f2b70ec,False,"Are you sure this will break?

Won't the protobuf library support strings as well as bytes in the payload_utf8 field?
ie. it will convert (unicode) strings itself?

After testing the json output a bit I think it might be an idea to change the dumps to:

    json.dumps(data, ensure_ascii=False)

That way unicode characters will be encoded to utf-8 and not encoded as the ASCII equivalent, this will be more space efficient.
",,42,{}
2009,PullRequestReviewCommentEvent,2017-06-23 02:43:19+00:00,84045805,jendrikseipp/vulture,213955,jendrikseipp,,,created,45888457,2a9bd389576bf8fdf3d6702a265c6d91a91398dc,False,"Please add `from core import Vulture` above __version__. As a side effect, we don't have to change the imports in the test files.",,54,{}
2011,PullRequestReviewCommentEvent,2018-06-05 13:06:09+00:00,84045805,jendrikseipp/vulture,15556382,RJ722,,,created,125958692,f910066a11bc8a569a1f86a0ffcbe36a0f774885,False,"Would it still be a good idea to leave `DIR`, `REPO` and `WHITELISTS` in `__init__.py`?",CONTRIBUTOR,121,{}
2070,PullRequestReviewCommentEvent,2018-07-31 23:37:27+00:00,70314805,kyuupichan/electrumx,3319176,kyuupichan,,,created,142184036,8c2e15032b8e53a32650af81b204d944620bacde,False,"Why type(self) in these 3 lines?  just ""self."" should work fine.

I hope this doesn't have much impact on speed.",OWNER,548,{}
2124,PullRequestReviewCommentEvent,2017-07-28 06:32:45+00:00,6054289,niklasf/python-chess,402777,niklasf,,,created,52853519,f9ca5fe79432b40daff8acd353dc07464c2ce219,False,"This should probably be `return self.set_post(True)`, so that it can return a `Future` depending on `async_callback`.",,148,{}
2176,PullRequestReviewCommentEvent,2017-05-24 09:26:06+00:00,30367893,EntilZha/PyFunctional,11416908,ameier38,,,created,39971593,2abc4adac62ea5ba22df631413b80b82c41cc66f,False,https://github.com/PyCQA/pylint/issues/1318#issuecomment-300897448,,104,{}
2181,PullRequestReviewCommentEvent,2017-08-03 10:05:09+00:00,69198756,RazerM/sqlalchemy_aio,944077,massimiliano-della-rovere,,,created,54047706,df114b9d720bec564a55cdaaf62aeb758f98267f,False,you're right: removed.,,3,{}
2183,PullRequestReviewCommentEvent,2018-03-15 14:32:19+00:00,66557611,Stranger6667/pyoffers,1236561,Stranger6667,,,created,104211359,683c262599d3028df916fb2a26c480d784cf8529,False,"Just put 2 keys here, instead of ``ValuesDictz``",OWNER,64,{}
2514,PullRequestReviewCommentEvent,2015-12-21 21:04:07+00:00,30379674,adamchainz/django-mysql,857609,adamchainz,,,created,,9c67a31a375ec47582505e0d3240ea19c6040f78,False,lowercase `note` ?,,185,{}
2569,PullRequestReviewCommentEvent,2017-11-03 18:25:10+00:00,1778869,jsocol/django-ratelimit,180459,jsocol,,,created,74173523,3be186a5d002e97974399b6d338e3473fcd18334,False,"That's fair, but the version we're installing still needs to be `2.0b1` for now, I think",OWNER,131,{}
2731,PullRequestReviewCommentEvent,2017-10-18 21:39:33+00:00,43920784,hackebrot/pytest-cookies,169933,michaeljoseph,,,created,70367571,2a37faec0c197fd16c0570931f02ea07bd471afa,False,`happened` here too please 🙏 ,COLLABORATOR,17,{}
