,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
7253,DeleteEvent,2016-03-02 00:26:43+00:00,26516210,letsencrypt/letsencrypt,6504915,bmw,9289019,letsencrypt,branch,release-help,user
7262,DeleteEvent,2015-08-17 20:50:00+00:00,26516210,letsencrypt/letsencrypt,1581662,jdkasten,9289019,letsencrypt,branch,update-contr-docs,user
7382,DeleteEvent,2018-03-02 20:07:24+00:00,42750248,watson-developer-cloud/python-sdk,23145351,trishamoyer,10017763,watson-developer-cloud,branch,codegen/discovery-v1,user
7387,DeleteEvent,2017-04-10 14:18:53+00:00,84609153,descarteslabs/descarteslabs-python,3392975,justinwp,10055430,descarteslabs,branch,python3,user
7391,DeleteEvent,2018-03-07 23:07:37+00:00,84609153,descarteslabs/descarteslabs-python,3392975,justinwp,10055430,descarteslabs,branch,release/v0.8.0,user
7395,DeleteEvent,2017-08-15 23:55:11+00:00,27610253,ubyssey/dispatch,2547035,psiemens,10091792,ubyssey,branch,restructure,user
7396,DeleteEvent,2015-10-06 23:03:50+00:00,27610253,ubyssey/dispatch,887504,blx,10091792,ubyssey,branch,little-refactors,user
7458,DeleteEvent,2016-10-23 14:19:34+00:00,34624554,marshmallow-code/marshmallow-sqlalchemy,2379650,sloria,10334301,marshmallow-code,branch,pyup-pin-sphinx-1.4.8,user
7572,DeleteEvent,2018-08-23 21:53:17+00:00,53442595,globality-corp/microcosm-flask,477722,jessemyers,11172782,globality-corp,branch,feature/stored-query,user
7575,DeleteEvent,2017-04-18 23:56:03+00:00,54516201,globality-corp/microcosm-pubsub,477722,jessemyers,11172782,globality-corp,branch,hotfix/0.27.2,user
7678,DeleteEvent,2018-04-26 16:26:42+00:00,97163149,NeverBounce/NeverBounceApi-Python,2349344,mmollick,11777381,NeverBounce,branch,run-sample,user
7714,DeleteEvent,2018-07-17 20:22:29+00:00,42593972,b12io/orchestra,3481095,adbharadwaj,12401025,b12io,branch,revert-version-bump,user
7744,DeleteEvent,2017-05-30 23:45:33+00:00,37496521,nteract/nteract,836375,rgbkrk,12401040,nteract,branch,greenkeeper/eslint-plugin-flowtype-2.34.0,user
7758,DeleteEvent,2018-04-03 04:15:40+00:00,37496521,nteract/nteract,836375,rgbkrk,12401040,nteract,branch,renovate/docker-node-8,user
7788,DeleteEvent,2017-06-11 05:21:11+00:00,40328394,angr/angr,5071575,ltfish,12520807,angr,branch,fix/function_missing_last_block,user
7853,DeleteEvent,2018-04-13 02:03:52+00:00,51397392,pytroll/satpy,1828519,davidh-ssec,13004956,pytroll,branch,bugfix-float-geotiff,user
7990,DeleteEvent,2018-07-10 14:41:17+00:00,39663289,4Catalyzer/flask-resty,3112159,taion,13967986,4Catalyzer,branch,upgrade-apispec,user
