,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
8,PullRequestReviewCommentEvent,2018-08-29 06:17:10+00:00,8387179,uiri/toml,364765,uiri,,,created,150415128,af3c403334a93a67b3e560f40b7fa372257c1a90,False,Hm. Is there a reason this should really be linking to a specific version at all?,OWNER,182,{}
58,PullRequestReviewCommentEvent,2016-03-18 16:44:33+00:00,27924304,cdent/gabbi,1382556,Lukasa,,,created,,8a8af66eee6d5b9936419d037aadaf37e829cedb,False,The urllib3 Retry class lets you do all of that. It's remarkably configurable: [take a look](https://urllib3.readthedocs.org/en/latest/helpers.html#urllib3.util.retry.Retry).,,121,{}
354,PullRequestReviewCommentEvent,2018-07-07 20:54:49+00:00,33614304,nvbn/thefuck,9711846,scolby33,,,created,135214121,d52765ff842e4110397908c1d337985b75053a2f,False,I wouldn't have considered the case of more than one `cat`. I added a test for this as well.,NONE,823,{}
373,PullRequestReviewCommentEvent,2016-11-29 16:33:52+00:00,24005390,tBuLi/symfit,2188968,tBuLi,,,created,10572903,77a14ea59f9ec3565039af4acc0ecbc8f4349579,False,I would prefer to define the `model_dict` separately _and_ in the same style as found elsewhere in the docs.,,93,{}
407,PullRequestReviewCommentEvent,2016-09-29 13:09:31+00:00,18313451,dsoprea/PySvn,167235,daa,,,created,2133749,b96c9e85d56b3a4aa2b3a6c191bc05707fc65557,False,"``os.environ.copy()`` should be enough because keys and values are strings and there is no nesting, doesn't it?",,71,{}
416,PullRequestReviewCommentEvent,2017-10-25 01:45:07+00:00,30492678,facetoe/zenpy,1366896,facetoe,,,created,71722155,24b640d17ccffcbbc47bfbdd723d4ca07ac8b544,False,The other endpoints that accept `start_time/end_time` accept either a string or a `datetime` object. There is an example of this here - https://github.com/facetoe/zenpy/blob/master/zenpy/lib/endpoint.py#L156. It might be worth refactoring that snippet out into a function and using it here also to allow users to pass `datetime` objects as well as Unix timestamps.,OWNER,161,{}
481,PullRequestReviewCommentEvent,2018-06-29 21:37:27+00:00,22937749,rasbt/mlxtend,5618407,rasbt,,,created,133385085,134012336787751c92305de2a1589a52e2818f4b,False,Looks like this got duplicated,OWNER,403,{}
630,PullRequestReviewCommentEvent,2016-08-14 23:40:40+00:00,52478762,etingof/pysnmp,17447359,etingof,,,created,,7367571a5a04263c28e7e75a248ad0f6a39d5ecd,False,Why importing these functions given the whole `localkey` module is already imported?,,11,{}
657,PullRequestReviewCommentEvent,2018-04-24 12:27:49+00:00,31262911,jaraco/keyring,1381584,mitya57,,,created,114757308,73535ad2e9b2ec62212049f1ee4d3d6ed217e379,False,"I was reviewing the keyring SecretService integration code and noticed this line.

`item.unlock()` [returns a boolean](https://secretstorage.readthedocs.io/en/latest/item.html#secretstorage.item.Item.unlock) and it has been so since the introduction of that method in mitya57/secretstorage@0f194a5f3cb1f1ca2c82049618e478365b07c25d.

@mathstuf Why did you use `[0]` here?",COLLABORATOR,226,{}
672,PullRequestReviewCommentEvent,2017-04-17 13:38:21+00:00,1408162,jpadilla/pyjwt,472350,mark-adams,,,created,33004040,d50e53bc5743523ac419be6fab5592915ba93d65,False,No need to add this version section here. We do that whenever we make new releases.,,246,{}
738,PullRequestReviewCommentEvent,2018-06-02 19:00:35+00:00,41076741,sibson/redbeat,526707,bmjjr,,,created,125373926,db7fa8906e4eaab078ca6fb7e98682def6faa751,False,"Either way, this definitely an issue. Would be great to accept this PR vs. no fix at all.
",NONE,89,{}
741,PullRequestReviewCommentEvent,2017-06-29 03:46:21+00:00,19361153,tdryer/hangups,857374,tdryer,,,created,47021098,55580507fb8fc4dc446c86a14b205767f6fbbd1b,False,"How about a pattern like this? Only one try/except block for converting to hangups exceptions, and we ensure the response is released without using `locals`.
```python
try:
    response = yield from aiohttp.request('GET', TEST_URL)
    try:
        text = yield from response.text()
    finally:
        response.release()
except aiohttp.ClientError:
    raise ValueError('some hangups error')
```",,326,{}
802,PullRequestReviewCommentEvent,2018-03-23 16:37:08+00:00,2369386,esheldon/fitsio,138060,rainwoodman,,,created,106565511,390c966e3cb8cbfd07fcda06b3e7611c75a90ba8,False,See here.,CONTRIBUTOR,38,{}
841,PullRequestReviewCommentEvent,2016-05-05 19:04:39+00:00,25171290,jrkerns/pylinac,4803336,jrkerns,,,created,,926a3d2cba21f3f76762ffbba3460cabbcb7c896,False,"Okay, that's fine. I just wanted to make sure this wasn't just your machine and no one else's. I'll merge this and add some tests and release a bugfix update. Thanks for your contribution!",,67,{}
849,PullRequestReviewCommentEvent,2017-05-10 10:22:35+00:00,4477733,kevin1024/vcrpy,413772,graingert,,,created,37264865,c09dab3564cfd0be1421f2ae23bbdbf513c6358b,False,"please remove these comments, and convert them into unit tests.",,307,{}
1051,PullRequestReviewCommentEvent,2015-02-06 17:39:20+00:00,20101515,giampaolo/psutil,578872,mindw,,,created,,41aaa27e67177e14a3011e47140d1ce19ba1a99d,False,"PyCharm.
",,581,{}
1138,PullRequestReviewCommentEvent,2017-09-07 23:12:59+00:00,9289343,svinota/pyroute2,825042,AZaugg,,,created,61377495,c5c7826b85c07d9d763100f4919e7190b2c32003,False,"In addition, I think we should leave the type as a string, this way we can reuse the loop for all etypes.",CONTRIBUTOR,415,{}
1245,PullRequestReviewCommentEvent,2016-02-09 09:32:11+00:00,46906439,diafygi/acme-tiny,297578,Glandos,,,created,,966d4b47932c87d7213e98b3dbc2108e8eddb674,False,"What if the directory is not writable for the user running acme-tiny?
The final file might be writable, but not the directory itself.",,85,{}
1249,PullRequestReviewCommentEvent,2017-02-09 20:24:56+00:00,5934517,dpkp/kafka-python,2292114,Mephius,,,created,21110497,532c4986ac9f8e5029f4e8e75ab9264a076e8b27,False,"Upstream doesn't have this fix, but I've filed a pull request: https://github.com/benjaminp/six/pull/176",,979,{}
1339,PullRequestReviewCommentEvent,2015-10-14 21:55:24+00:00,30484966,michael-lazar/rtv,10156699,zambonin,,,created,,21d5c7acca46179d4f51063608567f1845158a13,False,"If I understood correctly what you meant, the last change addresses this.",,156,{}
1497,PullRequestReviewCommentEvent,2017-03-17 17:33:37+00:00,5879214,berkerpeksag/astor,1690697,kirbyfan64,,,created,27644379,b294c448846752d550ab35c41b35d9945390057a,False,"@berkerpeksag I don't think they're needed on the final PyPy entry, but they are on these. Without them, YAML parses the Python version number as a decimal instead of a string.",,56,{}
1561,PullRequestReviewCommentEvent,2018-01-17 01:30:34+00:00,79885480,lixxu/sanic-jinja2,264487,lixxu,,,created,89305513,3299a9687dc4a960c3bde6eb4dae20e92cda7696,False,`request.app` is dict-like? I can't see it in sanic source code.,OWNER,20,{}
1633,PullRequestReviewCommentEvent,2017-12-14 07:25:38+00:00,8292338,ultrabug/py3status,56311,tobes,,,created,83415140,a2d571b8b77321b9b2475640abd6506672425f45,False,I think that it is the focused window is the important thing,COLLABORATOR,1147,{}
1634,PullRequestReviewCommentEvent,2017-01-18 10:19:12+00:00,8292338,ultrabug/py3status,852504,lasers,,,created,17188341,d3e1c5b5ab24ce22839c2dadb579098faac92ae0,False,"If it's ready, tag yellow `hold` for discussion regarding `msg_`, `format_`, `string_`.",,631,{}
1651,PullRequestReviewCommentEvent,2017-07-29 07:45:22+00:00,8292338,ultrabug/py3status,56311,tobes,,,created,53071802,8d4150885453e32edb6fa77dcc9aa709360a05df,False,"> icons = {xxx:x} 

please don't go here",,930,{}
1653,PullRequestReviewCommentEvent,2018-02-08 16:18:29+00:00,8292338,ultrabug/py3status,10179652,AnwariasEu,,,created,95136320,39b222861653a6b6ff2a6959cf01c220bbfec6bb,False,I guess this change only makes sense if the undocumented modifiers like `\?if`  are used?,CONTRIBUTOR,1275,{}
1736,PullRequestReviewCommentEvent,2017-01-09 09:37:23+00:00,12406971,bastibe/PySoundFile,649181,bastibe,,,created,15666601,a367046b99742fa7ae573af9fe0d03b3b2b4eb00,False,I do not want pysoundfile to leak CFFI data structures. I would much prefer a `bytes` or `bytearray` object instead of a cffi buffer.,,182,{}
1764,PullRequestReviewCommentEvent,2017-07-31 06:32:06+00:00,41542522,cztomczak/cefpython,1187415,cztomczak,,,created,53135017,db2d000eee1ed8f0f8b9d79556103e1276ffbdf5,False,"LoadHandler class doessn't have a blank line here, so this one shouldn't too to be consistent.",,379,{}
1783,PullRequestReviewCommentEvent,2016-03-09 02:02:11+00:00,49332088,guykisel/inline-plz,6760519,guykisel,,,created,,eeb4fb334e1ac0b3633b01bf18bdb84083ffaf2a,False,i think you need to handle the prefix with this use case,,99,{}
