,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
14,DeleteEvent,2017-03-31 20:22:47+00:00,63408036,grst/geos,7051479,grst,,,branch,feature/kmltestWorldwide,user
29,DeleteEvent,2017-12-21 05:05:48+00:00,8387179,uiri/toml,364765,uiri,,,branch,refactor-testing,user
38,DeleteEvent,2017-12-11 02:20:08+00:00,69408336,MrOlm/drep,13424205,MrOlm,,,branch,v2,user
149,DeleteEvent,2016-02-01 23:10:26+00:00,48198706,dschep/ntfy,667763,dschep,,,tag,0.7.0,user
331,DeleteEvent,2017-11-07 19:07:37+00:00,11737385,Dav1dde/glad,255721,Dav1dde,,,tag,runtimecore_1652,user
335,DeleteEvent,2015-01-24 07:21:59+00:00,20857415,Kuniwak/vint,1124024,Kuniwak,,,branch,travis-no-sudo,user
351,DeleteEvent,2017-06-26 00:20:59+00:00,93703838,ahawker/ulid,178002,ahawker,,,branch,issues/17,user
368,DeleteEvent,2018-07-09 15:54:21+00:00,76012224,ayemos/akagi,2426082,ayemos,,,branch,pyup-update-tox-2.7.0-to-3.0.0,user
771,DeleteEvent,2017-09-18 14:07:24+00:00,63429822,ericmjl/nxviz,2631566,ericmjl,,,branch,pyup-update-pytest-3.2.1-to-3.2.2,user
788,DeleteEvent,2017-04-29 17:37:02+00:00,30492678,facetoe/zenpy,1366896,facetoe,,,branch,oauth_support,user
840,DeleteEvent,2015-09-16 06:17:04+00:00,27025717,jaedb/spotmop,1711444,jaedb,,,branch,feature/play-all,user
927,DeleteEvent,2017-11-07 06:32:44+00:00,22937749,rasbt/mlxtend,5618407,rasbt,,,branch,counter-docs,user
937,DeleteEvent,2016-09-15 13:24:33+00:00,22937749,rasbt/mlxtend,5618407,rasbt,,,branch,appveyor2,user
1264,DeleteEvent,2015-01-04 08:43:28+00:00,17308448,jquast/blessed,972584,jquast,,,branch,break-really-long-words,user
1266,DeleteEvent,2015-10-10 05:43:50+00:00,17308448,jquast/blessed,972584,jquast,,,branch,push-pop-idiom,user
1323,DeleteEvent,2017-05-15 14:02:34+00:00,45875786,nschloe/meshio,181628,nschloe,,,branch,more-ansys,user
1449,DeleteEvent,2017-11-26 23:32:39+00:00,7927051,ahawker/crython,178002,ahawker,,,branch,pyup/scheduled-update-11-26-2017,user
1537,DeleteEvent,2016-04-28 10:07:45+00:00,9316339,ggozad/behaving,183103,ggozad,,,branch,FEAT-storage-clear,user
1564,DeleteEvent,2016-10-31 08:57:40+00:00,1206729,hhatto/autopep8,150309,hhatto,,,branch,improve-travis-test,user
1658,DeleteEvent,2016-09-09 05:29:43+00:00,8819472,mar10/pyftpsync,41663,mar10,,,branch,maintain_0.2,user
1714,DeleteEvent,2015-01-05 16:47:43+00:00,8804864,pjkundert/cpppo,290924,pjkundert,,,branch,feature-history-files,user
1726,DeleteEvent,2017-04-02 07:10:24+00:00,46593500,rasbt/biopandas,5618407,rasbt,,,branch,updatetravis,user
1796,DeleteEvent,2017-03-08 09:09:02+00:00,23023249,thefab/tornadis,303097,thefab,,,branch,writetimeout,user
1889,DeleteEvent,2017-06-08 12:45:56+00:00,67859516,chezou/tabula-py,916653,chezou,,,branch,add-pandas-opt,user
1983,DeleteEvent,2018-07-06 17:53:06+00:00,78573084,flennerhag/mlens,19593480,flennerhag,,,branch,pad,user
2085,DeleteEvent,2016-05-13 23:20:54+00:00,41117430,mfussenegger/cr8,38700,mfussenegger,,,branch,to_int,user
2168,DeleteEvent,2017-11-21 11:28:34+00:00,55208383,renskiy/fabricio,3508656,renskiy,,,branch,docker-stacks,user
2341,DeleteEvent,2017-12-17 10:14:42+00:00,112461400,axnsan12/drf-yasg,6382979,axnsan12,,,branch,query-serializer,user
2417,DeleteEvent,2017-07-12 03:14:47+00:00,5934517,dpkp/kafka-python,483314,jeffwidman,,,branch,protocol_updates,user
2501,DeleteEvent,2017-06-09 19:21:51+00:00,21240523,glennmatthews/cot,5603551,glennmatthews,,,branch,man_better,user
2504,DeleteEvent,2016-10-27 20:15:09+00:00,21240523,glennmatthews/cot,5603551,glennmatthews,,,branch,feature/extra-files,user
2555,DeleteEvent,2016-03-07 01:12:27+00:00,41279279,jsvine/pdfplumber,534702,jsvine,,,branch,version-0.1.1,user
2718,DeleteEvent,2015-03-20 22:04:26+00:00,32283257,philpep/testinfra,387511,philpep,,,branch,wip-rc,user
2997,DeleteEvent,2018-06-27 15:47:57+00:00,54931215,klen/flask-restler,90699,klen,,,branch,pyup-update-peewee-2.10.2-to-3.5.0,user
3025,DeleteEvent,2016-12-13 09:07:31+00:00,1904815,mbi/django-rosetta,131808,mbi,,,branch,pr/166,user
3079,DeleteEvent,2018-08-12 08:48:58+00:00,79981521,raghur/easyblogger,516267,raghur,,,branch,pyup-update-tox-3.1.3-to-3.2.1,user
3119,DeleteEvent,2016-01-20 10:43:42+00:00,5806020,rueckstiess/mtools,99221,rueckstiess,,,branch,spastorelli-bugfix-354-mlaunch-list,user
3133,DeleteEvent,2018-02-10 13:57:50+00:00,56998522,skorokithakis/catt,19859003,theychx,,,branch,cleanup-n-freeze,user
3174,DeleteEvent,2015-01-23 13:49:51+00:00,28882767,tkem/mopidy-mobile,2833077,tkem,,,branch,dev/collection-repeat,user
3246,DeleteEvent,2017-10-11 14:07:18+00:00,90007962,wdecoster/NanoPlot,11660522,wdecoster,,,branch,nanoplot_util,user
3272,DeleteEvent,2017-07-15 18:45:24+00:00,65155092,ClimbsRocks/auto_ml,7017045,ClimbsRocks,,,branch,prediction_intervals,user
3281,DeleteEvent,2016-09-09 19:48:29+00:00,55278637,Grk0/python-libconf,9025497,Grk0,,,tag,0.9.2,user
3381,DeleteEvent,2016-05-25 11:25:33+00:00,5776030,bear/python-twitter,4955149,jeremylow,,,branch,feature/blocks_mutes,user
3424,DeleteEvent,2017-06-05 02:41:13+00:00,91881484,danni/python-pkcs11,129472,danni,,,branch,aes-wrapping,user
3444,DeleteEvent,2016-04-07 18:11:44+00:00,49332088,guykisel/inline-plz,6760519,guykisel,,,branch,zero-line-number,user
3451,DeleteEvent,2018-02-09 22:42:16+00:00,69090889,hardbyte/python-can,855189,hardbyte,,,branch,sendpacket-return,user
3495,DeleteEvent,2017-05-05 08:02:55+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup-update-async-timeout-1.2.0-to-1.2.1,user
3499,DeleteEvent,2018-03-06 22:57:38+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-botocore-1.8.21-to-1.9.3,user
3510,DeleteEvent,2018-05-07 20:15:17+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-aiobotocore-0.6.0-to-0.7.0,user
3525,DeleteEvent,2018-08-27 05:10:17+00:00,33601400,klen/aioauth-client,90699,klen,,,branch,pyup-update-pytest-3.2.1-to-3.7.2,user
