,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
42,DeleteEvent,2018-05-12 15:40:10+00:00,55258005,jopohl/urh,18219846,jopohl,,,tag,untagged-e5f7693905f316c05cd0,user
91,DeleteEvent,2016-05-19 17:42:33+00:00,48198706,dschep/ntfy,667763,dschep,,,branch,bug-fixes,user
155,DeleteEvent,2015-09-05 16:26:28+00:00,41618046,r9y9/pysptk,1220272,r9y9,,,branch,news,user
177,DeleteEvent,2017-03-15 16:37:26+00:00,82588597,youfou/wxpy,16631068,youfou,,,tag,0.1.1,user
209,DeleteEvent,2017-05-16 14:23:43+00:00,76012224,ayemos/akagi,2426082,ayemos,,,branch,pyup-update-sphinx-1.5.5-to-1.5.6,user
220,DeleteEvent,2017-09-02 17:52:45+00:00,73606074,boxed/mutmut,332428,boxed,,,tag,remove,user
251,DeleteEvent,2016-09-16 18:25:12+00:00,6662075,joke2k/faker,89607,fcurella,,,branch,projectname,user
506,DeleteEvent,2015-01-04 16:27:05+00:00,13943006,MrYsLab/PyMata,5189838,MrYsLab,,,branch,PyMata2.0,user
649,DeleteEvent,2017-04-21 16:38:05+00:00,48170794,jepegit/cellpy,16334959,jepegit,,,branch,pyup-pin-pyodbc-4.0.16,user
978,DeleteEvent,2011-05-23 17:50:32+00:00,667289,daler/pybedtools,115406,daler,,,branch,bedpy,
1003,DeleteEvent,2017-07-25 19:52:29+00:00,83015707,ecoron/SerpScrap,3024450,ecoron,,,branch,0.8.0,user
1010,DeleteEvent,2017-11-05 19:44:30+00:00,78573084,flennerhag/mlens,19593480,flennerhag,,,branch,readme,user
1097,DeleteEvent,2017-08-07 19:27:31+00:00,7591383,python273/vk_api,3097956,python273,,,tag,v9.0,user
1280,DeleteEvent,2017-03-30 08:30:02+00:00,51599057,jaraco/rst.linker,308610,jaraco,,,tag,1.9,user
1307,DeleteEvent,2017-09-25 09:15:04+00:00,93045038,liiight/notifiers,4374581,liiight,,,branch,email,user
1316,DeleteEvent,2017-11-07 12:52:50+00:00,94133125,metachris/logzero,116939,metachris,,,branch,pyup-update-coverage-4.4.1-to-4.4.2,user
1379,DeleteEvent,2016-02-22 19:41:56+00:00,4690111,nikipore/stompest,640781,nikipore,,,branch,revert-31-master,user
1695,DeleteEvent,2015-05-18 17:11:06+00:00,12406971,bastibe/PySoundFile,705404,mgeier,,,branch,setup-formatting,user
1766,DeleteEvent,2017-09-12 18:28:28+00:00,62165703,kalaspuff/tomodachi,89139,kalaspuff,,,branch,pyup/update-botocore-1.7.5-to-1.7.8,user
1773,DeleteEvent,2017-11-15 17:22:17+00:00,27434828,klen/peewee_migrate,90699,klen,,,branch,pyup-update-pytest-3.2.3-to-3.2.4,user
1878,DeleteEvent,2018-06-29 09:47:13+00:00,123609278,adamchainz/apig-wsgi,857609,adamchainz,,,branch,upgrade_requirements,user
2071,DeleteEvent,2017-11-25 15:02:52+00:00,28310771,sloria/sphinx-issues,2379650,sloria,,,tag,0.4.0,user
2135,DeleteEvent,2018-03-31 23:14:14+00:00,116723724,beezz/ddtrace-graphql,1500654,beezz,,,branch,format-error,user
