,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
88,PullRequestReviewCommentEvent,2016-01-20 02:46:03+00:00,48198706,dschep/ntfy,667763,dschep,,,created,,8b1227439f9b435a519a5ac6b3cdac240ec25d6d,False,"Oh wait, you're switching to https://pypi.python.org/pypi/emoji so it doesn't matter.",,10,{}
210,PullRequestReviewCommentEvent,2017-09-03 06:07:30+00:00,68560140,cs01/pygdbmi,5715368,cs01,,,created,60288826,2818bdb78c4e2ae5309351d4dfa5ff667827fcaf,False,"I think ensuring the buffering works in a randomized way is a good approach, since the controller needs to be able to deal with output that's randomly truncated, but I do not understand why this file is structured as dictionaries and not a large string of gdb output that is read from 1 to n bytes at a time until the entire string is consumed.",OWNER,15,{}
522,PullRequestReviewCommentEvent,2018-02-21 06:38:25+00:00,109304350,Kane610/deconz,24575746,Kane610,,,created,98086536,03295e22fb1a1b5ddd73b5abbd7ae648c27a88e9,False,"copy paste issue I just saw, this should be called _water not _open.",OWNER,5,{}
613,PullRequestReviewCommentEvent,2015-03-16 23:02:55+00:00,16425613,dgilland/alchy,1251349,dgilland,,,created,,b9b9f5ffe188622cbe68d0df6e5159769b8610aa,False,"Previously, each `__table_args__` from all class bases were merged with `__local_table_args__`. Is that no longer what's happening here? It seems like only the `__local_table_args__` are being merged together and any `__table_args__` are discarded. Is that your intention? Or am I reading this incorrectly?",,16,{}
857,PullRequestReviewCommentEvent,2016-10-24 12:50:14+00:00,8307391,mahmoud/boltons,2320029,induane,,,created,5440595,0f9581cd85f26db00904497bbdb209df6407a504,False,"@mahmoud  @markrwilliams 

It's hard to say. I tried for quite a while without success to get the StreamReader/Writer working but with little success. I don't know it as well though so it's probable I got something messed up due to lack of familiarity. Well it isn't that I didn't get it working, it's that it broke the tests in horrible ways and I couldn't figure out [quickly] how to go about rewriting things so that they worked as expected.

Also @markrwilliams  with regards to the len property, you're right. There I'm returning the actual file size in one form or another. The variable byte width of utf-8 of course does mean exactly what you imply. I'm wondering though if this really is the best approach.

I've gone the route of using len to indicate actual size, but implemented seek, tell, etc... in a way that moves across the code points rather than individual bytes (so that you couldn't seek to a point in the middle of a character so to speak).

Maybe the smart approach here is to make it work as you suggest as that more closely matches what StringIO does.",,99,{}
901,PullRequestReviewCommentEvent,2016-01-17 08:47:42+00:00,20744134,pahaz/sshtunnel,1394025,pahaz,,,created,,4a52f9cde477517aa77318eeb0f526e91a33aebd,False,unittest.skipIf,,40,{}
1066,PullRequestReviewCommentEvent,2018-06-20 22:13:08+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,130606043,10b9a26c9bf8f9c4a9789b3ebf09b9ba88593235,False,"Suggestion: these lines (from `py_tuple` to here) are recurring and can be put in a utility function like `int _append_pair(PyObject *py_retlist, char key, char value)` ",OWNER,1284,{}
1069,PullRequestReviewCommentEvent,2018-03-16 06:24:44+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,104464067,bc88abe7b4b9e6eed2d9d3152769008cd8de211b,False,why is this necessary?,OWNER,1248,{}
1152,PullRequestReviewCommentEvent,2017-03-07 16:02:25+00:00,7106250,spulec/freezegun,61387,hltbra,,,created,25551995,b23129ebe8cfe4cb1c256eb08208ba425813377e,False,@spulec: in the `_freeze_time.start` method I saw a similar logic (`if mod_name is None or module is None`) but I didn't understand the `None` checks and didn't put them here. When are they `None`?,,175,{}
1154,PullRequestReviewCommentEvent,2017-09-01 18:00:43+00:00,9289343,svinota/pyroute2,825042,AZaugg,,,created,60204288,c5c7826b85c07d9d763100f4919e7190b2c32003,False,"I wanted to keep it consistent with the how ""entry"" was being used, it looks like that its always of type string. I know strict typing is mandatory, but I thought it would be easier to maintain. 

Let me know if you still want me to change it? I am happy to do so.
",CONTRIBUTOR,415,{}
