,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
16,PullRequestReviewCommentEvent,2016-03-30 12:18:27+00:00,54391698,jd/pifpaf,2644,jd,,,created,,cd076f66b56b5c37ab35ae6b6fac083655ad6b44,False,don't pass stdout=True if you don't care about the output.,,1,{}
17,PullRequestReviewCommentEvent,2016-04-07 05:59:23+00:00,54391698,jd/pifpaf,200878,sileht,,,created,,31ba1eeac0117ded29e0fbdcdb3e5b0c82e292df,False,Done,,3,{}
18,PullRequestReviewCommentEvent,2016-09-13 08:33:52+00:00,54391698,jd/pifpaf,2644,jd,,,created,,81119deb8d5a73f49e87e94bb8956a5f51cec076,False,could have been a class variable I guess,,25,{}
117,PullRequestReviewCommentEvent,2017-12-09 10:46:29+00:00,27924304,cdent/gabbi,3515,FND,,,created,82321913,fd1eae06a2c77c71cb7070e5604c485b74e08b24,False,"FWIW, I don't understand this note.",COLLABORATOR,229,{}
261,PullRequestReviewCommentEvent,2016-07-20 13:07:20+00:00,30243627,klen/muffin,5291018,drgarcia1986,,,created,,f31f0f5adf5140e2c3571be59f09ccaac731c0b1,False,"I don't follow for now, I try to using same approach of aiohttp",,48,{}
293,PullRequestReviewCommentEvent,2016-09-02 19:44:01+00:00,1347652,scoder/lupa,717176,jbinary,,,created,,d7ef0151416245bea6d37aee2fa15b0b67a1527b,False,"We have to put something on stack for lua to raise instead of python's exception then, and I'm not sure what? ""error during Python call"" again?",,78,{}
406,PullRequestReviewCommentEvent,2016-10-23 10:05:30+00:00,342640,byroot/pysrt,44640,byroot,,,created,5362983,cb62de38c71ce5ed14ad7dc1ab528a063d81a7a7,False,Why not call `__idiv__` instead of copying the code?,,64,{}
501,PullRequestReviewCommentEvent,2017-06-01 13:43:07+00:00,4576441,kbandla/dpkt,200847,kbandla,,,created,41512405,fad3d74548ff73e73a367c623e25fa09bde499b5,False,"Just noticed that i did not account for append modes, your suggestion takes care of that too. ",,369,{}
664,PullRequestReviewCommentEvent,2015-08-13 16:36:25+00:00,33614304,nvbn/thefuck,3751788,mcarton,,,created,,c08a8bddc9ff448d31da6b3a4c7dc9c9259df9e3,False,"Last comment and I stop annoying you for today: all the other items start with a verb conjugated at the 3rd person and with a lower case letter, and all but the last items end with a ';' not a '.'.",,333,{}
682,PullRequestReviewCommentEvent,2017-02-27 15:47:54+00:00,57714220,rabitt/pysox,8169843,rabitt,,,created,24017280,f1570474fc2a68cd84aa25c314d5692644c6f675,False,Paramters --> Parameters,,38,{}
704,PullRequestReviewCommentEvent,2018-07-05 13:03:23+00:00,24005390,tBuLi/symfit,2188968,tBuLi,,,created,134639142,701dfd567f66403cd8137d8096ab94d0d6ff698d,False,"It's depricated, but still one of the futures now right? So it should be pickalable, no?",OWNER,158,{}
710,PullRequestReviewCommentEvent,2018-07-24 08:35:55+00:00,24005390,tBuLi/symfit,2188968,tBuLi,,,created,139785960,9a5180b97b033a2d8bf1edae9366a4cddf0e6e2c,False,"In `support.py`, I check for the python version. If this is py3.5 or later, `partial` is defined as `functools.partial`. Otherwise, this gives you `repeatable_partial` as `partial`.",OWNER,168,{}
