,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_id,pr_node_id,pr_title,pr_state,pr_locked,pr_number,pr_body,pr_issue_url,pr_merged_at,pr_closed_at,pr_updated_at,pr_commits,pr_additions,pr_deletions,pr_changed_files,pr_author_association,pr_assignees,pr_requested_reviewers,pr_requested_teams,pr_merged_by_login,pr_merged_by_id,pr_merged_by_type,pr_merged_by_site_admin,pr_label,pr_patch_url,pr_commits_url,partition,commit_list
30,PullRequestEvent,2017-02-26 19:58:16+00:00,55258005,jopohl/urh,12119776,mehdideveloper,,,108019068,,added SDRPlay and AirSpy,open,False,165,"I've tested it with both SDRPlay RSP1 and AirSpy R2 and it works (I tested the Spectrum Analyzer)
Are there any tests that can be done to make sure everything is working perfectly?",https://api.github.com/repos/jopohl/urh/issues/165,,,2017-02-26T19:58:15Z,1,3630,1,8,[],[],[],[],,,,,[],https://github.com/jopohl/urh/pull/165.patch,https://api.github.com/repos/jopohl/urh/pulls/165/commits,267,"['b4a166114afd4ca12cdb573a7b69658b12cbe599', '9d4aa3b93b508d8c05bdf8d42a6b8cc056eb31c2']"
37,PullRequestEvent,2016-04-23 20:08:43+00:00,55258005,jopohl/urh,18219846,jopohl,,,67617110,,Hackrf,closed,False,11,,https://api.github.com/repos/jopohl/urh/issues/11,2016-04-23T20:08:42Z,2016-04-23T20:08:42Z,2016-04-23T20:08:42Z,68,60506,251,59,[],[],[],[],jopohl,18219846.0,User,False,[],https://github.com/jopohl/urh/pull/11.patch,https://api.github.com/repos/jopohl/urh/pulls/11/commits,267,"['07eb4f8af7fd9b9ff4a0d9141f3e0a77a6324bd0', 'a13c25793f76fa3026e743cbffe03bce0be7213a', '566d7e4733aab45e4d9dddce18ba8152f76a59c6', '674dd4b2278db5f506932297bb3f6024f1ae9609', 'faeda72ff18f70c42f143eeedf49f6e05e6f7dac', '57834a4cae3644c2885bdc729f2e66d79cb61532', '13ed870b8852cd3d49778275421b22be0d9c2f7d', '062c6f9eb31a43d657b403b3a8cb4e6b4ab77f60', '9ce1458ca6ccd4c8ce810e1fd83e3f70cf108485', 'b415c8e7347581a177cd1f9d93c7425e230d52a3', 'a27f29f5b5cfe7eb7cb3f3eb52d902fa30f57799', '37b4d60e436c9cf6536ddf44557ba4ef91dde597', '0a7c346e985ecbfbe6707887a83f325cd2dad402', '046698aaddbf0441ae7da6a2e2028537a0eac153', '5bdf6a1e14bfe7fa19d1d8ef53508b88d82d6802', 'beb8eb72e465646072048310249ce13e41512f4a', '2178fe17e94a804423fbceb7fa007ccacde06024', '4b0d9e0e529fdc0398eeacac501215026f91d3d6', '160c64f2c3586e968fd1781d763d3fbd7b0c1bb7', '479b7265a4c6b11a449e4247aa32855ad58849e8', '5a44aa64c71bf99208f00264595e4cebd676ae0e', '97e7b8ff751eb7de5ee9c42593dd6996aee180ac', '4e3ca829ca423728a60f24c0769c47d513c8defd', '86fad6e94efe2ad84ce830c1392a4be8fe45dd1c', '62b71e0cf5a42fa8ef2896732b5367d0335137b2', '609f2f9d3c8c82b692abf47933c6770cb39c4927', '7e9fd95e07f2056188d632511f46cbd3414f37d1', '34a910321cb26305f4f2864845ab7da33c31a6d7', 'b448d7a17484da0ca6fd1b056b633d1764d79747', '27c3c4665125ebc466d4a20191130fa3204d4b6d', 'd8b0acd6c57cc3e4d77c99550a46c06ef244cf98', 'eba001f968e989e571adc67f147ed71820231284', '17f7454853ab9eabdbe506936888bc8c2cf33a0a', 'fc50e114bed4a850d0e0bd00ce2d5846cb8dac9a', '4115ba9c2bf32cdaabf062b75d9dc961907ba86e', '77f3f2a8bc0f44547f4c105743e574c3467f034a', 'bb18bd8fb6171a3f3afae3c1fca39b682505169f', '93236be9e6ce759e327548e78d314894985ae78a', 'd87b18e349b7140eca79f0374355eb32dd6de12e', '08f98ea263dd0b90b54813affbbb0992a2d3c2db', '196c8a6964a02c676d159ffc4b3a17958c347127', 'eda74bc7c2d1142ba088230d6029e6211ef496f8', '16f8920b3d455f8a44d9d8ef5a4c8877ff40bde3', '55ed40ec88e00ae3a928ded5cfb3406c43325797', 'c45b9dbe970ad31f8ff8ea9369d63059c21f3936', '9b418c10d46479e5a084a1e6f418a5372c0b2558', '900c37e55889004ab750b9cacb141054111be2e5', 'a338fede1d247f2c067d4f6baf9194dc55172db0', 'c50ac2e31f0778447c7c0b32681e574f19546e59', '30c4c77698583a3c9e295b302062e576de2588dd', 'd1ff83b4d914bcfdc4e243a7fe15ccaab0c081fc', '4a36a0e848608e94cf6b3a9372a4349e265bd2e0', 'f56cbc1103fef32dc4545ed577ec980d38413348', '48ca89cb2725feb09ac3a096c8b922830c7a2f1d', '8c1fe45985231e2d8d9fa6a0d16d06ff3b798794', 'c96e5ff0f54f923d4f7ac6ea1a5c46c2a0d18ce2', '06953eb14679a7f504c6433587a10be38d550c6f', '78b14119eefcd4dba0ff308baf977a09e9dcdec6', '3700f33bbd8b3b3f10fbc785effc0c42434e02d4', '61c1dad6dfd8e9e33f7442bbc021bacd29b9c1b1', 'ab5109def496342bbfd609b3053d91a36485eebf', '1c0fad524185c398784cfb93cb4194aa33794219', 'ac65c6a46a53872b7733610bf092764ece05a13b', 'b43e28dfffd03ba755f68455f3f0107207224aec', '31a7b4cdff7e422ad829cb3743cfec42b5ea2491', '1ad4bcc4de57db0060da9bf32d24e7753ce8276b', '1c2659bb51d15dbe0af36e6cd8c2a373266d68ce', '6cf7610caac195f389f34bafa40e5ff1697ff0d2']"
46,PullRequestEvent,2017-06-12 22:37:35+00:00,65411376,lacava/few,23729965,rgupta90,,,125244657,,Parent Pressure for selection,open,False,21,,https://api.github.com/repos/lacava/few/issues/21,,,2017-06-12T22:37:34Z,3,10,3,2,[],[],[],[],,,,,[],https://github.com/lacava/few/pull/21.patch,https://api.github.com/repos/lacava/few/pulls/21/commits,267,"['dc8130ee8cb18f3d2a9856bfcff173bf2aa60afa', 'e0bfd683e59f9a66513f838bbc97986cc09c0b87', '863587669c365cd34dc87880645984693bc1154a']"
48,PullRequestEvent,2017-08-11 12:47:41+00:00,4686401,myint/yolk,1235108,myint,,,135322573,,Don't crash on missing PKG_INFO,closed,False,12,"A small fix to catch an issue that can arise when the Python path contains libraries without PKG_INFO, which triggers a `ValueError` when trying to retrieve the version. For example, I tend to add my git repos to the Python path, but these don't have PKG_INFO, and hence I noticed this problem.

(Incidentally, this seems like a bug in the `pkg_resource` library too, because trying to retrieve a non-existent version should, if anything, result in an `AttributeError`, not a `ValueError`.)",https://api.github.com/repos/myint/yolk/issues/12,2017-08-11T12:47:41Z,2017-08-11T12:47:41Z,2017-08-11T12:47:41Z,1,20,3,1,[],[],[],[],myint,1235108.0,User,False,[],https://github.com/myint/yolk/pull/12.patch,https://api.github.com/repos/myint/yolk/pulls/12/commits,267,['3f0f245f56ae566294577e6be7864149a5c10473']
52,PullRequestEvent,2016-03-11 11:08:59+00:00,18603138,WoLpH/mt940,494758,benkonrath,,,62528551,,Create new transaction for TransactionReferenceNumber tag.,open,False,19,See #18 for explanation.,https://api.github.com/repos/WoLpH/mt940/issues/19,,,2016-03-11T11:08:59Z,1,6,0,1,[],[],[],[],,,,,[],https://github.com/WoLpH/mt940/pull/19.patch,https://api.github.com/repos/WoLpH/mt940/pulls/19/commits,267,['eb3faf7d2ecbc591e511679fa57b9aec95f9efd5']
186,PullRequestEvent,2017-01-16 06:09:33+00:00,20857415,Kuniwak/vint,1281736,lcd047,,,101634581,,Fix typo in policy rule name,open,False,200,"The name of the policy rule ""ProhibitImplicitScopeBuiltinVariable"" is
actually implemented as ""ProhibitImplicitScopeBuitlinVariable"" (""t"" and
""l"" in Builtin are swapped).",https://api.github.com/repos/Kuniwak/vint/issues/200,,,2017-01-16T06:09:32Z,1,9,9,2,[],[],[],[],,,,,[],https://github.com/Kuniwak/vint/pull/200.patch,https://api.github.com/repos/Kuniwak/vint/pulls/200/commits,267,"['f195db1cbd8814b2606e24c4fd7404cf96b46695', '86f051d0efe300a859d8011960ecefa1191a7a3b']"
222,PullRequestEvent,2017-01-20 13:34:29+00:00,44054354,dabeaz/curio,350836,dabeaz,,,102460575,,EpicQueue now UniversalQueue everywhere including monitor,closed,False,158,"EpicQueue got renamed, but this one was missed in the monitor.",https://api.github.com/repos/dabeaz/curio/issues/158,2017-01-20T13:34:29Z,2017-01-20T13:34:29Z,2017-01-20T13:34:29Z,1,1,1,1,[],[],[],[],dabeaz,350836.0,User,False,[],https://github.com/dabeaz/curio/pull/158.patch,https://api.github.com/repos/dabeaz/curio/pulls/158/commits,267,['8a1a7088ff3b4589a2726e36c2d802467615c5e7']
224,PullRequestEvent,2018-03-10 16:55:02+00:00,44054354,dabeaz/curio,350836,dabeaz,,,174176275,,Fix example in documentation,closed,False,253,,https://api.github.com/repos/dabeaz/curio/issues/253,2018-03-10T16:55:01Z,2018-03-10T16:55:01Z,2018-03-10T16:55:01Z,1,3,2,1,NONE,[],[],[],dabeaz,350836.0,User,False,[],https://github.com/dabeaz/curio/pull/253.patch,https://api.github.com/repos/dabeaz/curio/pulls/253/commits,267,['66decccc27dd0766fe4124654da403a08653f402']
226,PullRequestEvent,2016-06-16 07:47:41+00:00,44054354,dabeaz/curio,857609,adamchainz,,,74035856,,Convert readthedocs links for their .org -> .io migration for hosted projects,open,False,65,"As per [their blog post of the 27th April](https://blog.readthedocs.com/securing-subdomains/) ‘Securing subdomains’:

> Starting today, Read the Docs will start hosting projects from subdomains on the domain readthedocs.io, instead of on readthedocs.org. This change addresses some security concerns around site cookies while hosting user generated data on the same domain as our dashboard.

Test Plan: Manually visited all the links I’ve modified.",https://api.github.com/repos/dabeaz/curio/issues/65,,,2016-06-16T07:47:41Z,1,4,4,2,[],[],[],[],,,,,[],https://github.com/dabeaz/curio/pull/65.patch,https://api.github.com/repos/dabeaz/curio/pulls/65/commits,267,['f9b10e433e8ab0489f08c1165977b87a5f383487']
233,PullRequestEvent,2016-08-04 00:31:15+00:00,5021892,hgrecco/pint,278566,hgrecco,,,61713434,,Quantity.to_compact now returns self and raises a warning when magnit…,closed,False,340,…ude is not numerical.,https://api.github.com/repos/hgrecco/pint/issues/340,,2016-08-04T00:31:15Z,2016-08-04T00:31:15Z,1,21,1,2,[],[],[],[],,,,,[],https://github.com/hgrecco/pint/pull/340.patch,https://api.github.com/repos/hgrecco/pint/pulls/340/commits,267,['afff318e62011f5852672fa06234c808e0d543d6']
