,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
244,PullRequestReviewCommentEvent,2015-06-19 04:58:04+00:00,4576441,kbandla/dpkt,5916357,sunhao2014,,,created,,40906c2a3bb1c4a4fe762d123abb3e38d5efdff0,False,"Good suggestion, however for this point the logic is a little bit tricky. Actually it covers two cases (please see the comment in the updated source file), and I think it would be clearer if we keep this part as two  lines of code.",,181,{}
442,PullRequestReviewCommentEvent,2018-08-21 13:03:50+00:00,7568434,paulfitz/daff,118367,paulfitz,,,created,148047744,353b74013ef284b5c1a7872402452ad51d10df9e,False,"I'm not against it, but I don't see the value of doing so - the escaped material is not placed anywhere where quotation marks would be significant?  Do you see a concrete problem without quotes=True?

Maybe I chose a misleading name for the variable...",OWNER,110,{}
480,PullRequestReviewCommentEvent,2016-06-22 15:17:24+00:00,15938073,JelteF/PyLaTeX,1162278,JelteF,,,created,,72918efd6117b6f20a0d29636431eeb7a9e0983c,False,Ah ok. So it does not work with a new line? In that case it's probably better to change the Environment class to not create a newline after the Command. This is also suggested in #116 and it is indeed probably better.,,126,{}
749,PullRequestReviewCommentEvent,2018-02-10 18:03:59+00:00,67870999,exhuma/puresnmp,3742423,remdragon,,,created,95628969,7c6d4bf7563495f49018b798a17a7f221e4403e4,False,"I'm going to respond here in general to your multiple questions about bytes. I ran into 2 problems with bytes when converting the code to Python 2:

1) bytes(int) behaves very difficult in py2 than py3. However, bytearray(int) behaves the same way, so it seemed the simplest fix.

2) I like your suggestion of overriding bytes() better than using bytearray, so I will get to work making that change.",NONE,32,{}
760,PullRequestReviewCommentEvent,2017-04-29 23:55:52+00:00,54787116,guyzmo/git-repo,6997928,kounoike,,,created,35506634,da86444ec5da602b961edbefe7aad4769f8fd27d,False,"Thanks, I do it.
But it contains 'Change local branch name to remote repo name.' commit.
I think it is not related change for ssh:// URL things.",,144,{}
989,PullRequestReviewCommentEvent,2016-01-20 11:58:04+00:00,20101515,giampaolo/psutil,681260,giampaolo,,,created,,0a147bc770a08d0a9a16310d3f1e962eac091e52,False,why?,,732,{}
1001,PullRequestReviewCommentEvent,2017-04-11 11:53:35+00:00,23076316,horazont/aioxmpp,152464,sebastianriese,,,created,32083836,af1a278f07bc6ce430d0dc150bef05a138245115,False,"Ok, I restate this, nick changes are problematic with tracking in all cases. You convinced me dropping `from_` is the way to go, it seems to be the most robust heuristic.",,70,{}
1002,PullRequestReviewCommentEvent,2017-03-28 11:01:35+00:00,23076316,horazont/aioxmpp,152464,sebastianriese,,,created,29418114,f143e4585def1f3628dd25ffe264efcc1e80c27f,False,"No, it is not deepcopy: The DependencyGraphNode objects are not copied, will use __copy__ and copy.copy.",,55,{}
1090,PullRequestReviewCommentEvent,2017-09-01 19:41:11+00:00,9289343,svinota/pyroute2,17849937,ffourcot,,,created,60225773,c5c7826b85c07d9d763100f4919e7190b2c32003,False,"@svinota entry here can have several types, actually all kind of values that ipset modules can contains. It means:
 * interface names (as string)
 * IP addresses/network (with or without netmask)
 * MAC addresses
 * marks/ports (as int)

And we can mix sometimes both or three of them. We know the real type of each value thanks to ""etype"" parameter, based on ""stype"" of ipset (example: one ipset stype=""hash:net,iface"" will take one entry etype=""net,iface"").

The code was at beginning only written for ip or networks one single dimensions, so strings was not so curious. When we added several dimensions support, the split/zip made easier (at the beginning only, probably) to understand how to call the function.

In my opinion, it's perfectly fine to use a tuple when there are several values, and avoid cast when not necessary (like ""mark"" and ""port"" type). We probably should check ""entry"" variable type at the beginning and split on comma only when it's a string (and only when etype contains several types)

However, it's begin to be more funky when a type (like port here) can take one or more argument. Entry will be a tuple for two reasons:

 > entry = (""10.10.10.10/32"", 10) # entry for net,port ipsets
 > entry = (50, 80) # for a bitmap:port, it's a range of ports
 > entry = (""10.0.0.1/32"", (50, 80) # for a bitmap:ip,port ipset (it does not exist today I think, but there are sometimes really curious ipsets)

It will be hard to discriminate between normal tuples (because of several types) and port tuple (or other range tuple, we need a least to support IP ranges). In case of range, I vote for a tuple of tuple, so to change the second example by:

  > entry = ((50, 80),)  # easier to iterate on the list of values. It's of course a range
  > entry = (""192.168.0.1"", ""192.168.0.254"")  # it's for a hash:net,net ipset
  > entry = ((192.168.0.1"", ""192.168.0.254""), ) # it's for a bitmap:ip ipset (with a range)

So, if it's ok for you, that will be something like:

def _entry_to_data_attrs(self, entry, etype, family):
  attrs = []
  [...}
  types = etype.split("","")
  if len(types) > 1 and isinstance(entry, str):
    entry = entry.split("","")
    assert len(entry) == len(types)
  # back to previous code
  for e, t in zip(entry, types):
    [...]
    if t == ""port"":
      if isinstance(e, (tuple, list)):
        # do a range
     else:
        # do a single port

",COLLABORATOR,415,{}
1106,PullRequestReviewCommentEvent,2018-03-30 13:52:43+00:00,58374888,wkentaro/labelme,4310419,wkentaro,,,created,108336671,a0648ff9909a3222d13c6828b177eaa118c9ff7f,False,Could you re-check this?,OWNER,96,{}
