,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
96,ReleaseEvent,2018-08-30 09:15:26+00:00,31894637,amol-/dukpy,601423,amol-,,,published,0.2.1,Version 0.2.1,"* State compatibility with Python 3.7
* Provide wheels for Python 3.7
* Fix building wheel from source distribution"
461,ReleaseEvent,2018-01-14 09:53:32+00:00,105886450,ivknv/yadisk,5551920,ivknv,,,published,v1.2.1,Release 1.2.1,&#8212; Fixed auto retries not working. Whoops.
642,ReleaseEvent,2017-08-16 09:30:44+00:00,33614304,nvbn/thefuck,1114542,nvbn,,,published,3.20,,"* exception while ""run fuck second time for configuring it automatically."" #658 
* fuck can't configure itself automatically on bash #662"
828,ReleaseEvent,2016-11-20 01:10:22+00:00,74008159,ickc/pantable,10970208,ickc,,,published,v0.0.5,Test Travis deploy PyPI,
1613,ReleaseEvent,2017-11-09 21:06:16+00:00,76513276,kislyuk/domovoi,862013,kislyuk,,,published,v1.4.0,v1.4.0,"- Add support for CloudWatch Logs subscription filter events
    
    - Expand docs for step function / state machine examples"
1690,ReleaseEvent,2018-08-03 15:53:15+00:00,25129800,mikf/gallery-dl,5375314,mikf,,,published,v1.5.0,,"- Added support for:
  - `behance` - https://www.behance.net/
  - `myportfolio` - https://www.myportfolio.com/ (#95)
- Added custom format string options to handle long strings (#92, #94)
  - Slicing: `""{field[10:40]}""`
  - Replacement: `""{field:L40/too long/}""`
- Improved frame rate handling for ugoira conversions
- Improved private access token usage on `deviantart`
- Fixed metadata extraction for some images on `nijie`
- Fixed chapter extraction on `mangahere`
- Removed `whatisthisimnotgoodwithcomputers`
- Removed support for Python 3.3
"
1919,ReleaseEvent,2016-09-18 17:45:21+00:00,58268745,cmbruns/pyopenvr,2649705,cmbruns,,,published,1.0.0202,PyOpenvr version 1.0.0202,"See the front page for documentation and more information https://github.com/cmbruns/pyopenvr
Please report problems and suggestions at our issues page https://github.com/cmbruns/pyopenvr/issues

Release Notes:
* Incorporate recent contributions exercising Linux functionality.
* Incorporate recent contributions exercising cyglfw3 library for OpenGL management.
* Rename Windows OpenVR DLLs to begin with ""lib"" prefix, like on Mac and Linux.

Installation:
* ensure you have either Python 2.7+ or Python 3.5+ installed
* ensure SteamVR is installed and working correctly
* either 'pip install ovpenvr', or use installer below

"
2000,ReleaseEvent,2016-10-28 10:04:02+00:00,49729482,fukuball/fuku-ml,646843,fukuball,,,published,v0.3.3,FukuML v0.3.3,Linear Blending for Classification
2075,ReleaseEvent,2015-12-26 13:54:46+00:00,40316600,kblomqvist/yasha,206775,kblomqvist,,,published,1.4,1.4,"- Added SCons Builder, which enables C-file generation with SCons. See the instructions from the bottom of README."
2601,ReleaseEvent,2015-05-29 03:57:31+00:00,30484966,michael-lazar/rtv,5026795,michael-lazar,,,published,v1.4,v1.4,"Features

* Unicode support has been vastly improved and is now turned on by default. Ascii only mode can be toggled with the `--ascii` command line flag.
* Added pageup and pagedown with the `m` and `n` keys.
* Support for terminal based webbrowsers such as links and w3m.
* Browsing history is now persistant and stored in `$XDG_CACHE_HOME`.

Bugfixes

* Several improvements for handling unicode.
* Fixed crash caused by resizing the window and exiting a submission."
