,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
69,ReleaseEvent,2017-07-07 14:36:21+00:00,78888191,kislyuk/yq,862013,kislyuk,,,published,v2.2.0,v2.2.0,- Stringify datetimes loaded from YAML. Fixes #5
743,ReleaseEvent,2017-12-04 15:02:07+00:00,36242853,bjodah/chempy,485936,bjodah,,,published,v0.5.7,chempy-0.5.7,"SHA256(chempy-0.5.7.tar.gz)= dcdb6b334457865b9d64c54c37392178d278e9ae06d772e935000925aacfab11
"
814,ReleaseEvent,2017-06-23 02:48:50+00:00,37556070,gplepage/gvar,1808545,gplepage,,,published,v8.3.2,gvar version 8.3.2,"Didn't quite get the ``json`` right for ``gvar.dump``, *etc.* in the previous release (v8.3.1). Now fixed."
816,ReleaseEvent,2015-03-06 18:15:27+00:00,4461331,ifduyue/xxtea,568900,ifduyue,,,published,v0.2.1,,"- Fixed: memory leaks

---

Full list of changes: https://github.com/ifduyue/xxtea/compare/v0.2.0...v0.2.1"
902,ReleaseEvent,2015-10-16 23:40:09+00:00,12848640,paulgb/runipy,3019665,jakirkham,,,published,v0.1.4,v0.1.4: Various compatibility and other fixes,"* Compatibility fixes.
  * Fixed fresh install w/o iPython present. ( https://github.com/paulgb/runipy/pull/79 )
  * Added Jupyter/iPython 4.x support. ( https://github.com/paulgb/runipy/pull/67 )
  * Added Python 3.5 support. ( https://github.com/paulgb/runipy/pull/76 )
  * Updated codebase to be Python 2/3 compatible. ( https://github.com/paulgb/runipy/pull/65 )
  * Worked around a deprecation warning related to the notebook format. ( https://github.com/paulgb/runipy/pull/53 )

* Testing fixes.
  * Added continuous integration with Travis CI. ( https://github.com/paulgb/runipy/pull/64 )
  * Added code coverage measurement with Coveralls. ( https://github.com/paulgb/runipy/pull/75 )
  * Fixed broken or platform dependent tests. ( https://github.com/paulgb/runipy/pull/65 )
  * Configured code coverage measurement for testing. ( https://github.com/paulgb/runipy/pull/74 )
  * Provided proper `setup.py` test suite. ( https://github.com/paulgb/runipy/pull/73 )

* Documentation fixes.
  * Demonstrate use of environment variable from a Python script in the README. ( https://github.com/paulgb/runipy/pull/81 )

* Style fixes
  * Formatting and style fixes. ( https://github.com/paulgb/runipy/pull/66 )
  * Added badges to the README and a chatroom. ( https://github.com/paulgb/runipy/pull/72 ) ( https://github.com/paulgb/runipy/pull/70 )

* Miscellaneous
  * Use [`versioneer`]( https://github.com/warner/python-versioneer ) to provide a sane versioning scheme based on `git`. ( https://github.com/paulgb/runipy/pull/71 )"
2055,ReleaseEvent,2015-08-23 11:25:25+00:00,40316600,kblomqvist/yasha,206775,kblomqvist,,,published,1.1,,"- Made yasha to work with stdin too.
- Changed `-MM -MT` options to `-MD`. This creates Makefile compatible .d files alongside rendering.
- Changed short option of `--variables` from `-a` to `-v`.
- `import yasha.parser` is now `import yasha.parsers`"
2505,ReleaseEvent,2018-01-25 14:05:02+00:00,83010650,kakulukia/pypugjs,96352,kakulukia,,,published,v5.1.2,,
3281,ReleaseEvent,2018-07-03 08:11:17+00:00,34061246,Sung-Huan/ANNOgesic,6706987,Sung-Huan,,,published,v.0.7.28,ANNOgesic version 0.7.28,ANNOgesic version 0.7.28
3474,ReleaseEvent,2018-05-04 10:34:39+00:00,106929485,ikalchev/HAP-python,25887324,ikalchev,,,published,2.0.0,v2.0.0,"Release 2.0.0:

- Added support for async Accessories
- QRCode is now optional, install pip install HAP-python[QRCode]
- A few breaking changes and improvements, please refer to the CHANGELOG file"
4568,ReleaseEvent,2016-10-17 16:05:44+00:00,71151117,rcmalli/keras-vggface,7341604,rcmalli,,,published,v1.0,v1.0,
4639,ReleaseEvent,2017-01-08 23:45:27+00:00,58070676,thombashi/sqlitebiter,15517661,thombashi,,,published,v0.6.1,,
4700,ReleaseEvent,2016-03-16 17:10:42+00:00,43719692,xeBuz/Flask-Validator,662916,xeBuz,,,published,v1.2.1,Requirements updated,
5400,ReleaseEvent,2015-11-22 21:07:22+00:00,40718289,byt3bl33d3r/CrackMapExec,5151193,byt3bl33d3r,,,published,v2.1,CrackMapExec v2.1,"- PowerView integration
- Added options for controlling Window services
- Added options for limiting failed login attempts
- Added option for specifying the HTTP/HTTPS server port
- Bug fixes and output formatting fixes
 "
6046,ReleaseEvent,2016-04-08 22:54:18+00:00,30093433,holdenk/spark-testing-base,3827156,mahmoudhanafy,,,published,v0.3.2,v0.3.2,
6067,ReleaseEvent,2017-06-23 23:31:33+00:00,39518221,kbytesys/django-recaptcha2,1544245,kbytesys,,,published,v1.0.3,V1.0.3,
6403,ReleaseEvent,2017-11-20 20:04:52+00:00,46224121,nonamenix/babel-vue-extractor,634394,nonamenix,,,published,1.4.1,Fix ci,
